Name,[Fe/H],Zn I,Y II,La II,Eu II,Pb I
BD-01 0306,-1.13,3.57,1.05,0.12,-0.27,<1.2
BD-01 2582,-2.21,2.51,0.17,-0.05,-1.03,0.77
BD-18 5550,-3.05,1.94,-1.81,-2.52,-2.81,
BD+01 2916,-1.92,,-0.21,-0.87,-1.22,-0.2
BD+04 2621,-2.52,,-0.69,-2.29,-2.63,
BD+06 0648,-2.14,,-0.09,-0.95,-1.5,<0.0
BD+08 2856,-2.12,2.59,-0.15,-1.03,-1.16,
BD+10 2495,-2.31,2.32,-0.52,-1.36,-1.69,<0.88
BD+17 3248,-2.08,2.58,0.04,-0.55,-0.78,<0.27
BD+19 1185,-1.09,3.38,0.85,0.06,-0.23,0.77
BD+29 2356,-1.59,3.05,0.52,-0.47,-0.69,0.35
BD+30 2611,-1.5,2.87,0.41,-0.24,-0.36,0.56
BD+52 1601,-1.4,3.35,0.71,-0.13,-0.51,<0.6
BS 16477-003,-3.36,1.42,-1.2,,,
BS 17569-049,-2.88,1.95,-0.63,-1.4,-1.64,
CD-36 1052,-1.79,2.88,0.34,-0.4,-0.82,<2.47
CD-38 0245,-4.19,1.1,-2.43,,,
CS 22169-035,-3.04,1.66,-1.21,,,
CS 22172-002,-3.86,1.23,-2.63,,,
CS 22186-025,-3.0,1.92,-1.1,-1.71,-1.94,
CS 22189-009,-3.49,1.57,-2.11,,,
CS 22873-055,-2.99,1.87,-1.31,-2.36,-2.64,
CS 22873-166,-2.97,1.81,-0.89,-2.64,-2.75,
CS 22878-101,-3.25,1.75,-1.32,-2.57,-2.79,
CS 22891-209,-3.29,1.76,-1.18,-2.47,-2.86,
CS 22892-052,-3.1,1.59,-0.42,-0.87,-0.96,<-0.15
CS 22896-154,-2.69,2.17,-0.33,-1.17,-1.31,
CS 22897-008,-3.41,1.86,-1.08,,,
CS 22948-066,-3.14,1.83,-1.98,,,
CS 22952-015,-3.43,1.42,-2.12,,,
CS 22953-003,-2.84,1.91,-0.49,-1.08,-1.27,
CS 22956-050,-3.33,1.57,-1.61,,,
CS 22966-057,-2.62,2.24,-0.67,-1.27,-1.69,
CS 22968-014,-3.56,1.46,,-2.57,,
CS 29491-053,-3.04,1.83,-1.14,,-2.94,
CS 29491-069,-2.6,2.3,-0.17,-0.75,-0.96,<0.35
CS 29495-041,-2.82,1.93,-1.02,-2.17,-2.39,
CS 29497-004,-2.66,2.2,0.3,-0.38,-0.45,
CS 29516-024,-3.06,1.74,-1.59,-2.57,-2.79,
CS 29518-051,-2.78,2.17,-0.63,-2.17,,
CS 30306-132,-2.42,,-0.07,-0.78,-1.02,<0.5
CS 31078-018,-2.84,2.13,-0.43,-1.0,-1.17,<0.25
CS 31082-001,-2.9,1.88,-0.23,-0.62,-0.72,-0.55
G005-001,-1.24,3.5,0.73,-0.09,-0.38,<1.35
G009-036,-1.17,3.14,0.31,0.26,-0.16,1.25
G017-025,-1.54,3.4,0.87,,,0.64
G023-014,-1.64,3.05,0.46,-0.33,-0.58,<0.75
G028-043,-1.64,3.03,0.39,-0.22,-0.53,0.69
G029-025,-1.09,3.81,1.14,0.19,-0.23,0.8
G040-008,-0.97,3.9,1.05,,,1.13
G058-025,-1.4,3.2,0.76,-0.03,-0.66,1.29
G059-001,-0.95,4.04,1.23,0.13,-0.29,1.64
G063-046,-0.9,3.86,1.26,0.27,-0.05,<1.65
G068-003,-0.76,4.12,1.35,0.49,0.16,1.19
G074-005,-1.05,3.56,0.92,0.11,-0.23,<1.35
G090-025,-1.78,2.83,0.11,-0.51,-0.97,<0.9
G095-057A,-1.22,3.7,1.34,0.43,-0.23,1.14
G095-057B,-1.06,3.74,1.3,,,1.39
G102-020,-1.25,3.47,0.78,-0.02,-0.32,0.79
G102-027,-0.59,4.36,1.62,0.69,0.4,1.64
G113-022,-1.18,3.64,1.38,0.42,-0.13,1.19
G122-051,-1.43,3.26,0.58,-0.1,-0.27,0.34
G123-009,-1.25,3.45,1.15,0.21,-0.21,1.13
G126-036,-1.06,3.76,1.59,0.87,0.04,1.67
G126-062,-1.59,2.86,0.36,,,<1.55
G140-046,-1.3,3.65,1.46,0.54,-0.41,1.19
G153-021,-0.7,4.06,1.46,0.59,0.34,<1.65
G176-053,-1.34,3.18,0.63,-0.08,-0.32,<1.05
G179-022,-1.35,3.34,0.79,0.02,-0.22,0.39
G180-024,-1.34,3.23,0.72,-0.19,-0.58,<1.65
G188-022,-1.52,3.24,0.94,-0.12,-0.6,<1.3
G191-055,-1.63,2.78,0.23,-0.41,-0.89,<1.1
G192-043,-1.5,3.12,0.71,-0.02,-0.25,<1.6
G221-007,-0.98,3.65,1.02,0.28,-0.11,1.69
HD 2665,-1.99,2.49,-0.42,-0.92,-1.15,<0.3
HD 2796,-2.47,2.37,-0.51,-1.47,-1.84,
HD 8724,-1.91,2.9,0.25,-0.49,-0.86,0.0
HD 3008,-2.08,2.52,-0.3,-0.79,-1.09,-0.56
HD 6268,-2.42,,-0.38,-1.05,-1.37,<0.08
HD 6755,-1.68,2.87,0.31,-0.29,-0.5,0.32
HD 6833,-0.85,3.77,1.22,0.34,0.1,1.69
HD 13979,-2.92,1.79,-1.3,-2.3,-2.59,<0.45
HD 21581,-1.71,2.99,0.44,-0.42,-0.81,<0.5
HD 23798,-2.26,2.39,-0.19,-1.01,-1.36,-0.21
HD 25329,-1.67,3.0,0.67,-0.05,,
HD 25532,-1.34,3.52,1.05,-0.13,-0.64,<1.15
HD 26297,-1.98,3.07,0.4,-0.85,-1.22,-0.11
HD 29574,-2.0,2.67,0.19,-0.37,-0.63,-0.06
HD 37828,-1.62,3.18,0.7,-0.12,-0.53,0.77
HD 44007,-1.72,2.83,0.26,-0.51,-0.94,0.31
HD 63791,-1.9,2.87,0.23,-0.55,-0.92,0.22
HD 74462,-1.52,3.12,0.51,-0.17,-0.39,0.49
HD 82590,-1.32,3.03,0.71,-0.11,-0.46,<1.6
HD 85773,-2.62,2.56,-0.93,-1.56,-1.84,<-0.15
HD 88609,-3.07,1.77,-0.97,-2.75,-2.89,
HD 101063,-1.33,3.3,0.85,0.21,0.0,<1.1
HD 103036,-2.04,2.8,0.13,-0.62,-1.09,<0.1
HD 103545,-2.45,2.2,-0.5,-1.18,-1.56,<-0.05
HD 105546,-1.48,3.29,0.74,-0.13,-0.56,<0.8
HD 105755,-0.83,3.98,1.18,0.33,0.02,1.43
HD 106516,-0.81,3.94,1.28,0.31,-0.04,1.56
HD 107752,-2.78,1.93,-0.9,-1.59,-1.99,<0.3
HD 108317,-2.18,2.4,-0.39,-1.01,-1.32,0.17
HD 108577,-2.38,2.56,-0.52,-1.24,-1.48,
HD 110184,-2.72,2.14,-0.65,-1.47,-1.71,<-0.2
HD 115444,-2.9,1.9,-0.82,-1.42,-1.64,<-0.45
HD 119516,-2.26,2.32,-0.43,-1.08,-1.43,<1.52
HD 121135,-1.54,3.37,0.69,-0.33,-0.7,0.38
HD 122563,-2.77,1.97,-0.92,-2.4,-2.75,<-0.42
HD 122956,-1.95,2.87,0.16,-0.48,-0.79,-0.13
HD 124358,-1.91,2.64,-0.22,-0.68,-0.94,<0.45
HD 126587,-2.93,,-0.53,-1.75,-1.97,<-0.38
HD 128279,-2.51,2.15,-1.04,-1.77,-2.27,<1.05
HD 132475,-1.86,2.96,0.56,-0.38,-0.92,<1.0
HD 135148,-2.17,2.58,-0.25,-0.76,-0.95,-0.17
HD 141531,-1.79,2.79,0.11,-0.45,-0.72,0.2
HD 166161,-1.23,3.46,1.11,0.23,-0.48,0.84
HD 171496,-0.67,4.11,1.4,0.51,0.11,1.41
HD 175305,-1.73,2.96,0.3,-0.6,-0.89,-0.28
HD 184266,-1.43,3.19,0.69,-0.11,-0.43,<1.6
HD 186478,-2.56,2.23,-0.45,-1.32,-1.53,<-0.26
HD 187111,-1.97,2.84,0.16,-0.57,-0.88,-0.1
HD 188510,-1.32,3.01,0.44,-0.14,-0.52,<1.2
HD 193901,-1.08,3.36,0.83,0.19,-0.1,<1.45
HD 194598,-1.08,3.4,0.9,0.08,-0.28,<1.4
HD 201891,-1.09,3.55,0.88,0.12,-0.22,1.25
HD 204543,-1.87,,0.12,-0.63,-1.05,0.05
HD 206739,-1.72,2.98,0.36,-0.32,-0.62,0.38
HD 210295,-1.46,3.37,0.85,-0.1,-0.34,0.72
HD 214362,-1.87,2.71,0.32,-0.48,-0.82,<1.0
HD 214925,-2.08,,,-0.86,-1.09,-0.5
HD 216143,-2.32,2.57,-0.12,-1.21,-1.24,<-0.1
HD 218857,-1.9,2.64,-0.19,-1.16,-1.42,<0.55
HD 220838,-1.8,,0.47,-0.76,-0.93,0.05
HD 221170,-2.16,2.51,-0.08,-0.73,-0.86,-0.09
HD 233666,-1.79,2.88,0.22,-0.68,-1.03,<0.4
HD 235766,-1.93,,,-0.6,-0.86,0.1
HD 237846,-3.29,1.69,-1.56,,-3.1,0.29
HE 0430-4901,-2.72,,-0.45,,-1.05,
HE 0432-0923,-3.19,,-0.44,,-1.43,
HE 1127-1143,-2.73,,-0.27,,-1.14,
HE 1219-0312,-2.97,1.78,-0.4,-0.75,-0.98,<0.53
HE 1523-0901,-2.95,,-0.27,-0.63,-0.62,<-0.2
HE 2224+0143,-2.58,2.29,-2.22,-0.77,-1.02,
HE 2327-5642,-2.79,1.83,-0.69,-1.1,-1.29,
M5 IV-81,-1.28,3.21,1.15,0.11,-0.31,0.35
M5 IV-82,-1.33,3.21,1.0,0.11,-0.23,0.25
M13 L598,-1.56,,0.55,-0.34,-0.58,0.09
M13 L629,-1.63,,0.63,-0.35,-0.61,0.12
M13 L70,-1.59,,0.5,-0.23,-0.58,0.09
M13 L973,-1.61,,0.55,-0.27,-0.51,-0.01
M15 K341,-2.54,2.04,-0.49,-1.28,-1.52,
M15 K462,-2.55,2.0,-0.41,-1.03,-1.2,
M15 K583,-2.58,1.99,-0.63,-1.52,-1.8,
M92 VII-18,-2.29,,-0.2,-1.29,-1.45,
NGC 6752 B702,-1.58,,0.67,-0.39,-0.78,0.27
NGC 6752 B708,-1.63,,0.62,-0.5,-0.83,0.17
NGC 6752 PD1,-1.62,,0.66,-0.45,-0.78,0.03
NGC 6752 B1630,-1.6,,0.65,-0.45,-0.74,0.25
NGC 6752 B3589,-1.59,,0.72,-0.41,-0.72,0.18
UMi COS82,-1.42,2.82,1.22,0.52,0.34,
