Name,Ion,Species,l_logepsX,logepsX
BD+01 2916,Fe I,26.0,,-9.42
BD+01 2916,Zn I,30.0,,
BD+01 2916,Y II,39.1,,-0.21
BD+01 2916,La II,57.1,,-0.87
BD+01 2916,Eu II,63.1,,-1.22
BD+01 2916,Pb I,82.0,,-0.2
BD+04 2621,Fe I,26.0,,-10.02
BD+04 2621,Zn I,30.0,,
BD+04 2621,Y II,39.1,,-0.69
BD+04 2621,La II,57.1,,-2.29
BD+04 2621,Eu II,63.1,,-2.63
BD+04 2621,Pb I,82.0,,
BD+06 0648,Fe I,26.0,,-9.64
BD+06 0648,Zn I,30.0,,
BD+06 0648,Y II,39.1,,-0.09
BD+06 0648,La II,57.1,,-0.95
BD+06 0648,Eu II,63.1,,-1.5
BD+06 0648,Pb I,82.0,<,0.0
BD+08 2856,Fe I,26.0,,-9.62
BD+08 2856,Zn I,30.0,,2.59
BD+08 2856,Y II,39.1,,-0.15
BD+08 2856,La II,57.1,,-1.03
BD+08 2856,Eu II,63.1,,-1.16
BD+08 2856,Pb I,82.0,,
BD+10 2495,Fe I,26.0,,-9.81
BD+10 2495,Zn I,30.0,,2.32
BD+10 2495,Y II,39.1,,-0.52
BD+10 2495,La II,57.1,,-1.36
BD+10 2495,Eu II,63.1,,-1.69
BD+10 2495,Pb I,82.0,<,0.88
BD+17 3248,Fe I,26.0,,-9.58
BD+17 3248,Zn I,30.0,,2.58
BD+17 3248,Y II,39.1,,0.04
BD+17 3248,La II,57.1,,-0.55
BD+17 3248,Eu II,63.1,,-0.78
BD+17 3248,Pb I,82.0,<,0.27
BD+19 1185,Fe I,26.0,,-8.59
BD+19 1185,Zn I,30.0,,3.38
BD+19 1185,Y II,39.1,,0.85
BD+19 1185,La II,57.1,,0.06
BD+19 1185,Eu II,63.1,,-0.23
BD+19 1185,Pb I,82.0,,0.77
BD+29 2356,Fe I,26.0,,-9.09
BD+29 2356,Zn I,30.0,,3.05
BD+29 2356,Y II,39.1,,0.52
BD+29 2356,La II,57.1,,-0.47
BD+29 2356,Eu II,63.1,,-0.69
BD+29 2356,Pb I,82.0,,0.35
BD+30 2611,Fe I,26.0,,-9.0
BD+30 2611,Zn I,30.0,,2.87
BD+30 2611,Y II,39.1,,0.41
BD+30 2611,La II,57.1,,-0.24
BD+30 2611,Eu II,63.1,,-0.36
BD+30 2611,Pb I,82.0,,0.56
BD+52 1601,Fe I,26.0,,-8.9
BD+52 1601,Zn I,30.0,,3.35
BD+52 1601,Y II,39.1,,0.71
BD+52 1601,La II,57.1,,-0.13
BD+52 1601,Eu II,63.1,,-0.51
BD+52 1601,Pb I,82.0,<,0.6
BD-01 0306,Fe I,26.0,,-8.63
BD-01 0306,Zn I,30.0,,3.57
BD-01 0306,Y II,39.1,,1.05
BD-01 0306,La II,57.1,,0.12
BD-01 0306,Eu II,63.1,,-0.27
BD-01 0306,Pb I,82.0,<,1.2
BD-01 2582,Fe I,26.0,,-9.71
BD-01 2582,Zn I,30.0,,2.51
BD-01 2582,Y II,39.1,,0.17
BD-01 2582,La II,57.1,,-0.05
BD-01 2582,Eu II,63.1,,-1.03
BD-01 2582,Pb I,82.0,,0.77
BD-18 5550,Fe I,26.0,,-10.55
BD-18 5550,Zn I,30.0,,1.94
BD-18 5550,Y II,39.1,,-1.81
BD-18 5550,La II,57.1,,-2.52
BD-18 5550,Eu II,63.1,,-2.81
BD-18 5550,Pb I,82.0,,
BS 16477-003,Fe I,26.0,,-10.86
BS 16477-003,Zn I,30.0,,1.42
BS 16477-003,Y II,39.1,,-1.2
BS 16477-003,La II,57.1,,
BS 16477-003,Eu II,63.1,,
BS 16477-003,Pb I,82.0,,
BS 17569-049,Fe I,26.0,,-10.38
BS 17569-049,Zn I,30.0,,1.95
BS 17569-049,Y II,39.1,,-0.63
BS 17569-049,La II,57.1,,-1.4
BS 17569-049,Eu II,63.1,,-1.64
BS 17569-049,Pb I,82.0,,
CD-36 1052,Fe I,26.0,,-9.29
CD-36 1052,Zn I,30.0,,2.88
CD-36 1052,Y II,39.1,,0.34
CD-36 1052,La II,57.1,,-0.4
CD-36 1052,Eu II,63.1,,-0.82
CD-36 1052,Pb I,82.0,<,2.47
CD-38 0245,Fe I,26.0,,-11.69
CD-38 0245,Zn I,30.0,,1.1
CD-38 0245,Y II,39.1,,-2.43
CD-38 0245,La II,57.1,,
CD-38 0245,Eu II,63.1,,
CD-38 0245,Pb I,82.0,,
CS 22169-035,Fe I,26.0,,-10.54
CS 22169-035,Zn I,30.0,,1.66
CS 22169-035,Y II,39.1,,-1.21
CS 22169-035,La II,57.1,,
CS 22169-035,Eu II,63.1,,
CS 22169-035,Pb I,82.0,,
CS 22172-002,Fe I,26.0,,-11.36
CS 22172-002,Zn I,30.0,,1.23
CS 22172-002,Y II,39.1,,-2.63
CS 22172-002,La II,57.1,,
CS 22172-002,Eu II,63.1,,
CS 22172-002,Pb I,82.0,,
CS 22186-025,Fe I,26.0,,-10.5
CS 22186-025,Zn I,30.0,,1.92
CS 22186-025,Y II,39.1,,-1.1
CS 22186-025,La II,57.1,,-1.71
CS 22186-025,Eu II,63.1,,-1.94
CS 22186-025,Pb I,82.0,,
CS 22189-009,Fe I,26.0,,-10.99
CS 22189-009,Zn I,30.0,,1.57
CS 22189-009,Y II,39.1,,-2.11
CS 22189-009,La II,57.1,,
CS 22189-009,Eu II,63.1,,
CS 22189-009,Pb I,82.0,,
CS 22873-055,Fe I,26.0,,-10.49
CS 22873-055,Zn I,30.0,,1.87
CS 22873-055,Y II,39.1,,-1.31
CS 22873-055,La II,57.1,,-2.36
CS 22873-055,Eu II,63.1,,-2.64
CS 22873-055,Pb I,82.0,,
CS 22873-166,Fe I,26.0,,-10.47
CS 22873-166,Zn I,30.0,,1.81
CS 22873-166,Y II,39.1,,-0.89
CS 22873-166,La II,57.1,,-2.64
