Li  I   6707.70 0.00   0.17    s   0.00 0.30 0.10 0.01
O   I   6300.31 0.00  -9.82    s   6.93 0.10 0.03 0.01
O   I   6363.78 0.02 -10.30    s   7.23 0.10 0.03 0.01
Na  I   5682.63 2.09  -0.70  58    4.84 0.03 0.07 0.02
Na  I   5688.21 2.09  -0.45  82    4.91 0.02 0.09 0.03
Mg  I   5528.40 4.34  -0.62 120    5.57 0.00 0.11 0.06
Ca  I   5261.70 2.52  -0.59  67    4.51 0.04 0.08 0.04
Ca  I   5588.75 2.53   0.31 100    4.07 0.02 0.10 0.07
Ca  I   5594.46 2.52   0.05 102    4.36 0.02 0.10 0.08
Ca  I   6102.72 1.88  -0.86  85    4.05 0.06 0.09 0.04
Ca  I   6122.22 1.89  -0.38 167    4.66 0.05 0.15 0.09
Sc II   5526.79 1.77   0.02 100    1.27 0.00 0.13 0.08
Sc II   5657.90 1.51  -0.60  70    1.08 0.02 0.16 0.04
Sc II   5684.20 1.51  -1.07  55    1.15 0.03 0.16 0.02
Ti  I   4981.73 0.85   0.50 180    3.26 0.11 0.14 0.15
Ti  I   4999.50 0.83   0.25  95    2.14 0.11 0.10 0.07
Ti  I   5020.03 0.84  -0.41  84    2.66 0.12 0.10 0.05
Ti  I   5024.84 0.82  -0.60  47    2.30 0.14 0.08 0.02
Ti  I   5036.46 1.44   0.13  60    2.63 0.11 0.09 0.03
Ti  I   5173.74 0.00  -1.11 135    2.83 0.15 0.08 0.12
Ti  I   5210.38 0.05  -0.88 120    2.44 0.15 0.09 0.09
Ti II   4865.61 1.12  -2.67  51    2.78 0.04 0.15 0.02
Ti II   5336.77 1.58  -1.63  97    3.01 0.00 0.14 0.08
Ti II   6491.56 2.05  -1.79  33    2.74 0.02 0.17 0.01
Cr  I   5247.57 0.96  -1.64  66    2.99 0.12 0.09 0.03
Cr  I   5296.69 0.98  -1.40  95    3.18 0.11 0.10 0.07
Cr  I   5345.80 1.00  -0.98 139    3.44 0.10 0.11 0.12
Cr  I   5348.31 1.00  -1.29  64    2.66 0.12 0.09 0.03
Cr  I   5409.77 1.03  -0.72 120    2.91 0.10 0.10 0.10
Mn  I   5394.68 0.00  -3.50  70    2.61 0.18 0.06 0.03
Mn  I   5432.55 0.00  -3.79  54    2.70 0.18 0.06 0.02
Fe  I   4891.49 2.85  -0.11 160    4.81 0.04 0.14 0.11
Fe  I   4966.09 3.32  -0.87  94    5.22 0.04 0.07 0.08
Fe  I   5001.86 3.88   0.01  88    5.01 0.02 0.06 0.07
Fe  I   5194.94 1.55  -2.08 156    4.90 0.09 0.06 0.16
Fe  I   5195.47 4.21  -0.08  57    5.05 0.04 0.04 0.03
Fe  I   5215.18 3.27  -0.87 100    5.17 0.04 0.07 0.08
Fe  I   5225.53 0.11  -4.78 128    4.97 0.15 0.01 0.12
Fe  I   5242.49 3.63  -0.96  50    5.04 0.06 0.03 0.02
Fe  I   5307.36 1.61  -2.98  93    4.84 0.11 0.04 0.07
Fe  I   5586.76 3.36  -0.12 133    4.97 0.03 0.09 0.10
Fe  I   6546.24 2.76  -1.53 103    4.97 0.08 0.02 0.07
Fe II   5197.58 3.23  -2.09  55    5.03 0.05 0.18 0.03
Fe II   5234.63 3.22  -2.23  45    4.96 0.04 0.18 0.02
Ni  I   4980.17 3.60   0.00  95    4.62 0.01 0.04 0.08
Ni  I   5424.64 1.95  -2.77  85    4.84 0.08 0.00 0.06
Ni  I   6108.11 1.67  -2.45  52    3.59 0.11 0.01 0.02
Ni  I   6314.65 1.92  -1.77  62    3.39 0.10 0.01 0.03
Ni  I   6643.63 1.67  -2.30  75    3.69 0.11 0.01 0.04
Zn  I   4810.53 4.07  -0.13  30    2.19 0.02 0.12 0.01
Y  II   5200.41 0.99  -0.57    s   0.00 0.05 0.10 0.01
Y  II   5205.73 1.03  -0.34    s   0.00 0.05 0.10 0.01
Zr II   6127.48 0.15  -1.06    s < 0.50 0.30 0.30 0.01
Zr II   6134.59 0.00  -1.28    s < 0.50 0.30 0.30 0.01
Ba II   4934.08 0.00  -0.15    s  -1.20 0.10 0.10 0.01
Ba II   5853.68 0.60  -0.91    s  -0.50 0.15 0.20 0.10
Ba II   6141.73 0.70  -0.03    s  -0.90 0.10 0.10 0.10
Eu II   6645.09 1.38   0.12    s <-1.50 0.70 0.50 0.01
