Name,RA_deg,DEC_deg,MJD,Instrument,Vel,f_Vel,e_Vel,Ref
TucII-006,342.92942,-58.54269,57221.3,M2FS,-126.0,b,0.7,2
TucII-006,342.92942,-58.54269,57278.0,M2FS,-125.4,b,0.8,2
TucII-006,342.92942,-58.54269,57228.0,IMACS,-126.4,,1.0,3
TucII-006,342.92942,-58.54269,57534.4,IMACS,-125.0,,1.6,3
TucII-006,342.92942,-58.54269,57638.2,IMACS,-127.6,,1.2,3
TucII-006,342.92942,-58.54269,57629.7,MIKE,-123.3,,1.2,4
TucII-006,342.92942,-58.54269,57981.2,MIKE,-126.4,,1.3,5
TucII-011,342.95950,-58.62783,57221.3,M2FS,-125.1,,0.5,2
TucII-011,342.95950,-58.62783,57278.0,M2FS,-124.5,b,0.5,2
TucII-011,342.95950,-58.62783,57228.0,IMACS,-126.6,,1.0,3
TucII-011,342.95950,-58.62783,57534.4,IMACS,-127.4,,1.5,3
TucII-011,342.95950,-58.62783,57638.2,IMACS,-126.0,,1.2,3
TucII-011,342.95950,-58.62783,57629.7,MIKE,-124.1,,1.2,4
TucII-011,342.95950,-58.62783,57981.1,MIKE,-125.7,,1.2,5
TucII-022,343.08908,-58.51869,57221.3,M2FS,-117.7,b,2.0,2
TucII-022,343.08908,-58.51869,57228.0,IMACS,-120.8,,1.1,3
TucII-022,343.08908,-58.51869,57534.4,IMACS,-120.6,,2.7,3
TucII-022,343.08908,-58.51869,57638.2,IMACS,-121.3,,1.3,3
TucII-022,343.08908,-58.51869,58699.4,MagE,-123.3,,3.3,3
TucII-033,342.78467,-58.55225,57221.3,M2FS,-123.9,b,0.5,2
TucII-033,342.78467,-58.55225,57278.0,M2FS,-126.0,b,0.5,2
TucII-033,342.78467,-58.55225,57630.2,MIKE,-126.4,,1.2,4
TucII-033,342.78467,-58.55225,57981.3,MIKE,-126.3,,1.2,5
TucII-033,342.78467,-58.55225,58701.2,MagE,-129.1,,3.1,5
TucII-052,342.71513,-58.57569,57221.3,M2FS,-120.3,b,0.7,2
TucII-052,342.71513,-58.57569,57278.0,M2FS,-121.4,b,0.9,2
TucII-052,342.71513,-58.57569,57630.2,MIKE,-121.1,,1.2,4
TucII-052,342.71513,-58.57569,57981.2,MIKE,-121.1,,1.2,5
TucII-074,343.27779,-58.52111,57221.3,M2FS,-123.5,b,1.5,2
TucII-074,343.27779,-58.52111,57278.0,M2FS,-127.8,b,1.8,2
TucII-078,342.67112,-58.51897,57221.3,M2FS,-132.5,b,0.9,2
TucII-078,342.67112,-58.51897,57278.0,M2FS,-133.3,b,0.8,2
TucII-078,342.67112,-58.51897,57980.1,MIKE,-124.5,,1.2,5
TucII-085,343.31625,-58.53128,57221.3,M2FS,-128.3,b,8.9,2
Star12,342.87278,-58.51841,57228.0,IMACS,-128.3,,2.8,3
Star12,342.87278,-58.51841,57534.4,IMACS,-135.1,,5.2,3
Star12,342.87278,-58.51841,57638.2,IMACS,-134.8,,1.8,3
Star68,343.13634,-58.60846,57228.0,IMACS,-128.0,,1.2,3
Star68,343.13634,-58.60846,57534.4,IMACS,-131.6,,2.2,3
Star68,343.13634,-58.60846,57638.2,IMACS,-126.5,,1.4,3
Star68,343.13634,-58.60846,58701.2,MagE,-123.0,,3.3,3
TucII-203,342.53696,-58.49975,57979.6,MIKE,-126.3,,1.2,5
TucII-206,343.65279,-58.61608,58036.5,MIKE,-122.8,,1.2,5
TucII-301,342.68790,-58.93902,58701.0,MagE,-128.0,,3.3,3
TucII-301,342.68790,-58.93902,59426.3,MIKE,-125.5,,0.9,1
TucII-301,342.68790,-58.93902,59493.2,MIKE,-122.6,,1.1,1
TucII-303,343.27164,-57.90751,58700.1,MagE,-130.0,,3.5,3
TucII-303,343.27164,-57.90751,59133.3,MIKE,-128.7,,0.9,1
TucII-303,343.27164,-57.90751,59185.1,MIKE,-129.4,,0.9,1
TucII-305,344.44525,-57.72758,58701.3,MagE,-124.5,,3.1,3
TucII-305,344.44525,-57.72758,59132.2,MIKE,-125.3,,0.9,1
TucII-306,342.90425,-58.89377,58700.1,MagE,-120.2,,3.1,3
TucII-306,342.90425,-58.89377,59426.4,MIKE,-118.8,,0.9,1
TucII-306,342.90425,-58.89377,59493.1,MIKE,-119.2,,0.9,1
TucII-309,342.35287,-58.34651,58700.3,MagE,-133.8,,3.1,3
TucII-309,342.35287,-58.34651,59133.1,MIKE,-126.1,,0.9,1
TucII-309,342.35287,-58.34651,59373.2,MIKE,-124.0,,0.9,1
TucII-309,342.35287,-58.34651,59493.2,MIKE,-125.0,,0.9,1
TucII-310,343.19740,-58.76781,58700.2,MagE,-124.6,,3.5,3
TucII-320,342.75384,-58.53725,58699.3,MagE,-115.6,,3.2,3
