Name,Species,Ion,l_logepsX,logepsX,e_[X/Fe],e_[X/H]
LMC-003,12.0,Mg I,,5.01,0.2,
LMC-003,20.0,Ca I,,3.56,0.2,
LMC-003,26.0,Fe I,,4.53,,0.2
LMC-003,63.1,Eu II,<,-2.21,0.2,
LMC-003,106.0,C-H,,5.08,0.2,
LMC-100,12.0,Mg I,,5.32,0.22,
LMC-100,20.0,Ca I,,3.92,0.22,
LMC-100,26.0,Fe I,,4.83,,0.22
LMC-100,63.1,Eu II,<,-1.78,0.22,
LMC-100,106.0,C-H,,5.48,0.22,
LMC-104,12.0,Mg I,,5.38,0.21,
LMC-104,20.0,Ca I,,3.97,0.21,
LMC-104,26.0,Fe I,,4.94,,0.21
LMC-104,63.1,Eu II,,-1.86,0.21,
LMC-104,106.0,C-H,,5.25,0.21,
LMC-109,12.0,Mg I,,5.18,0.2,
LMC-109,20.0,Ca I,,3.72,0.2,
LMC-109,26.0,Fe I,,4.65,,0.2
LMC-109,63.1,Eu II,,-1.85,0.2,
LMC-109,106.0,C-H,,5.03,0.2,
LMC-119,12.0,Mg I,,3.87,,
LMC-119,20.0,Ca I,,2.66,0.2,
LMC-119,26.0,Fe I,,3.35,,0.2
LMC-119,63.1,Eu II,<,-2.59,0.2,
LMC-119,106.0,C-H,<,3.93,0.2,
LMC-124,12.0,Mg I,,5.12,0.21,
LMC-124,20.0,Ca I,,3.74,0.21,
LMC-124,26.0,Fe I,,4.53,,0.21
LMC-124,63.1,Eu II,<,-1.98,0.21,
LMC-124,106.0,C-H,,5.13,0.21,
LMC-204,12.0,Mg I,,5.08,0.27,
LMC-204,20.0,Ca I,,3.6,0.27,
LMC-204,26.0,Fe I,,4.67,,0.27
LMC-204,63.1,Eu II,<,-1.68,0.27,
LMC-204,106.0,C-H,,5.45,0.27,
LMC-206,12.0,Mg I,,4.99,0.24,
LMC-206,20.0,Ca I,,3.8,0.24,
LMC-206,26.0,Fe I,,4.94,,0.24
LMC-206,63.1,Eu II,<,-1.68,0.24,
LMC-206,106.0,C-H,,5.53,0.24,
LMC-207,12.0,Mg I,,4.42,0.25,
LMC-207,20.0,Ca I,,3.48,0.26,
LMC-207,26.0,Fe I,,4.16,,0.25
LMC-207,63.1,Eu II,<,-2.28,0.25,
LMC-207,106.0,C-H,,4.97,0.25,
LMC-215,12.0,Mg I,,4.99,0.17,
LMC-215,20.0,Ca I,,3.53,0.17,
LMC-215,26.0,Fe I,,4.41,,0.17
LMC-215,63.1,Eu II,<,-2.33,0.17,
LMC-215,106.0,C-H,,5.2,0.17,
LMC-319,26.0,Fe I,,4.81,,0.24
LMC-319,106.0,C-H,,5.54,0.24,
LMC-323,26.0,Fe I,,5.4,,0.32
LMC-323,106.0,C-H,,5.53,0.32,
LMC-400,26.0,Fe I,,4.65,,0.28
LMC-400,106.0,C-H,,5.16,0.28,
LMC-402,26.0,Fe I,,4.3,,0.25
LMC-402,106.0,C-H,<,5.13,0.25,
LMC-403,26.0,Fe I,,4.95,,0.36
LMC-403,106.0,C-H,,5.39,0.36,
LMC-404,26.0,Fe I,,5.08,,0.32
LMC-404,106.0,C-H,,5.46,0.32,
LMC-405,26.0,Fe I,,5.0,,0.31
LMC-405,106.0,C-H,,5.58,0.31,
LMC-406,26.0,Fe I,,5.28,,0.41
LMC-406,106.0,C-H,,5.67,0.41,
LMC-407,26.0,Fe I,,5.49,,0.42
LMC-407,106.0,C-H,,5.93,0.42,
LMC-409,26.0,Fe I,,4.87,,0.21
LMC-409,106.0,C-H,<,5.25,0.21,
LMC-410,26.0,Fe I,,4.86,,0.36
LMC-410,106.0,C-H,,5.38,0.36,
LMC-411,26.0,Fe I,,4.71,,0.17
LMC-411,106.0,C-H,<,5.19,0.17,
LMC-413,26.0,Fe I,,5.13,,0.44
LMC-413,106.0,C-H,,5.38,0.44,
LMC-414,26.0,Fe I,,5.2,,0.22
LMC-414,106.0,C-H,,5.76,0.22,
LMC-416,26.0,Fe I,,5.02,,0.22
LMC-416,106.0,C-H,,5.36,0.22,
