Name,Loc,epsna,ulna,[Na/H],ul[Na/H],e_[Na/H],[Na/Fe],e_[Na/Fe],epsmg,ulmg,[Mg/H],ul[Mg/H],e_[Mg/H],[Mg/Fe],e_[Mg/Fe],epsal,ulal,[Al/H],ul[Al/H],e_[Al/H],[Al/Fe],e_[Al/Fe],epssi,ulsi,[Si/H],ul[Si/H],e_[Si/H],[Si/Fe],e_[Si/Fe],epsk,ulk,[K/H],ul[K/H],e_[K/H],[K/Fe],e_[K/Fe],epsca,ulca,[Ca/H],ul[Ca/H],e_[Ca/H],[Ca/Fe],e_[Ca/Fe],epssc,ulsc,[Sc/H],ul[Sc/H],e_[Sc/H],[Sc/Fe],e_[Sc/Fe],epsti,ulti,[Ti/H],ul[Ti/H],e_[Ti/H],[Ti/Fe],e_[Ti/Fe],epstiII,ultiII,[TiII/H],ul[TiII/H],e_[TiII/H],[TiII/Fe],e_[TiII/Fe],epsv,ulv,[V/H],ul[V/H],e_[V/H],[V/Fe],e_[V/Fe],epsvII,ulvII,[VII/H],ul[VII/H],e_[VII/H],[VII/Fe],e_[VII/Fe],epscr,ulcr,[Cr/H],ul[Cr/H],e_[Cr/H],[Cr/Fe],e_[Cr/Fe],epscrII,ulcrII,[CrII/H],ul[CrII/H],e_[CrII/H],[CrII/Fe],e_[CrII/Fe],epsmn,ulmn,[Mn/H],ul[Mn/H],e_[Mn/H],[Mn/Fe],e_[Mn/Fe],epsfe,ulfe,[Fe/H],ul[Fe/H],e_[Fe/H],[Fe/Fe],e_[Fe/Fe],epsfeII,ulfeII,[FeII/H],ul[FeII/H],e_[FeII/H],[FeII/Fe],e_[FeII/Fe],epsco,ulco,[Co/H],ul[Co/H],e_[Co/H],[Co/Fe],e_[Co/Fe],epsni,ulni,[Ni/H],ul[Ni/H],e_[Ni/H],[Ni/Fe],e_[Ni/Fe],epssr,ulsr,[Sr/H],ul[Sr/H],e_[Sr/H],[Sr/Fe],e_[Sr/Fe],epsy,uly,[Y/H],ul[Y/H],e_[Y/H],[Y/Fe],e_[Y/Fe],epszr,ulzr,[Zr/H],ul[Zr/H],e_[Zr/H],[Zr/Fe],e_[Zr/Fe],epsba,ulba,[Ba/H],ul[Ba/H],e_[Ba/H],[Ba/Fe],e_[Ba/Fe],epsla,ulla,[La/H],ul[La/H],e_[La/H],[La/Fe],e_[La/Fe],epseu,uleu,[Eu/H],ul[Eu/H],e_[Eu/H],[Eu/Fe],e_[Eu/Fe],epsc,ulc,[C/H],ul[C/H],e_[C/H],[C/Fe],e_[C/Fe]
LMC-003,DW,3.36,,-2.88,,0.37,0.09,0.28,5.01,,-2.59,,0.26,0.38,0.21,2.51,,-3.94,,0.62,-0.97,0.65,4.19,,-3.32,,0.65,-0.35,0.62,2.51,,-2.52,,0.25,0.45,0.22,3.56,,-2.78,,0.24,0.19,0.22,0.02,,-3.13,,0.24,-0.16,0.29,2.15,,-2.8,,0.3,0.17,0.2,2.12,,-2.83,,0.26,0.14,0.32,,1.03,,-2.9,,0.07,,,1.41,,-2.52,,0.45,,2.26,,-3.38,,0.29,-0.41,0.2,2.73,,-2.91,,0.22,0.06,0.36,,2.35,,-3.08,,-0.11,,4.53,,-2.97,,0.3,0.0,0.2,4.49,,-3.01,,0.22,-0.04,0.34,2.06,,-2.93,,0.35,0.04,0.26,3.53,,-2.69,,0.27,0.28,0.21,-0.23,,-3.1,,0.29,-0.13,0.32,,-0.67,,-2.88,,0.09,,,0.06,,-2.52,,0.45,,-1.96,,-4.14,,0.24,-1.17,0.28,,-1.73,,-2.83,,0.14,,,-2.21,,-2.73,,0.24,,5.08,,-3.35,,0.4,-0.38,0.24
LMC-100,DW,3.49,,-2.75,,0.34,-0.08,0.23,5.32,,-2.28,,0.28,0.39,0.23,2.82,,-3.63,,0.67,-0.96,0.66,4.49,,-3.02,,0.85,-0.35,0.74,,,,,,,,3.92,,-2.42,,0.27,0.25,0.24,0.61,,-2.54,,0.25,0.13,0.29,2.27,,-2.68,,0.32,-0.01,0.22,2.59,,-2.36,,0.25,0.31,0.3,1.1,,-2.83,,0.47,-0.16,0.38,,1.86,,-2.07,,0.6,,2.88,,-2.76,,0.31,-0.09,0.22,3.25,,-2.39,,0.24,0.28,0.36,2.59,,-2.84,,0.28,-0.17,0.23,4.83,,-2.67,,0.32,0.0,0.22,4.81,,-2.69,,0.25,-0.02,0.34,2.38,,-2.61,,0.36,0.06,0.23,3.56,,-2.66,,0.32,0.01,0.25,-0.82,,-3.69,,0.34,-1.02,0.35,,-0.52,,-2.73,,-0.06,,,0.69,,-1.89,,0.78,,-1.24,,-3.42,,0.27,-0.75,0.28,,-1.27,,-2.37,,0.3,,,-1.78,,-2.3,,0.37,,5.48,,-2.95,,0.4,-0.28,0.26
LMC-109,DW,3.21,,-3.03,,0.34,-0.18,0.21,5.18,,-2.42,,0.26,0.43,0.22,2.4,,-4.05,,0.66,-1.2,0.61,5.09,,-2.42,,0.69,0.43,0.61,2.79,,-2.24,,0.26,0.61,0.22,3.72,,-2.62,,0.26,0.23,0.22,0.39,,-2.76,,0.24,0.09,0.28,2.2,,-2.75,,0.32,0.1,0.2,2.46,,-2.49,,0.23,0.36,0.3,1.04,,-2.89,,0.31,-0.04,0.21,,1.72,,-2.21,,0.64,,2.52,,-3.12,,0.3,-0.27,0.2,2.93,,-2.71,,0.22,0.14,0.37,2.03,,-3.4,,0.28,-0.55,0.21,4.65,,-2.85,,0.32,0.0,0.2,4.66,,-2.84,,0.23,0.01,0.34,1.88,,-3.11,,0.34,-0.26,0.2,3.36,,-2.86,,0.27,-0.01,0.21,-0.22,,-3.09,,0.51,-0.24,0.49,-0.79,,-3.0,,0.24,-0.15,0.3,,0.36,,-2.22,,0.63,,-0.92,,-3.1,,0.26,-0.25,0.27,,-1.35,,-2.45,,0.4,,-1.85,,-2.37,,0.26,0.48,0.28,5.03,,-3.4,,0.39,-0.55,0.23
LMC-124,DW,3.39,,-2.85,,0.34,0.12,0.22,5.12,,-2.48,,0.26,0.49,0.23,3.0,,-3.45,,0.66,-0.48,0.62,4.79,,-2.72,,0.74,0.25,0.63,2.86,,-2.17,,0.26,0.8,0.22,3.74,,-2.6,,0.25,0.37,0.23,0.28,,-2.87,,0.24,0.1,0.3,2.22,,-2.73,,0.31,0.24,0.21,2.36,,-2.59,,0.25,0.38,0.31,,1.12,,-2.81,,0.16,,,1.68,,-2.26,,0.71,,2.44,,-3.2,,0.3,-0.23,0.22,,,,,,,,,2.38,,-3.05,,-0.08,,4.53,,-2.97,,0.33,0.0,0.21,4.59,,-2.91,,0.23,0.06,0.35,1.78,,-3.21,,0.33,-0.24,0.21,3.3,,-2.92,,0.28,0.05,0.22,-0.14,,-3.01,,0.3,-0.04,0.28,-0.9,,-3.11,,0.25,-0.14,0.3,,0.32,,-2.26,,0.71,,-1.47,,-3.65,,0.26,-0.68,0.28,,-1.64,,-2.74,,0.23,,,-1.98,,-2.5,,0.47,,5.13,,-3.3,,0.39,-0.33,0.24
LMC-206,DW,3.52,,-2.72,,0.35,-0.16,0.24,4.99,,-2.61,,0.3,-0.05,0.25,3.51,,-2.94,,0.7,-0.38,0.67,4.85,,-2.66,,0.82,-0.1,0.73,,,,,,,,3.8,,-2.54,,0.28,0.02,0.26,0.28,,-2.87,,0.27,-0.31,0.31,,,,,,,,2.42,,-2.53,,0.27,0.03,0.33,,1.24,,-2.69,,-0.13,,,1.9,,-2.03,,0.53,,2.85,,-2.79,,0.33,-0.23,0.24,,,,,,,,,2.52,,-2.91,,-0.35,,4.94,,-2.56,,0.34,0.0,0.24,4.94,,-2.56,,0.27,0.0,0.37,1.88,,-3.11,,0.34,-0.55,0.24,3.22,,-3.0,,0.31,-0.44,0.24,-0.68,,-3.55,,0.49,-0.99,0.48,,-0.32,,-2.52,,0.04,,,0.53,,-2.05,,0.51,,-1.54,,-3.72,,0.28,-1.16,0.3,,-1.03,,-2.13,,0.43,,,-1.68,,-2.2,,0.36,,5.52,,-2.9,,0.38,-0.34,0.26
LMC-215,DW,3.54,,-2.7,,0.29,0.39,0.19,4.99,,-2.61,,0.22,0.48,0.19,3.13,,-3.32,,0.75,-0.23,0.64,4.81,,-2.7,,0.7,0.39,0.62,2.56,,-2.47,,0.22,0.62,0.19,3.53,,-2.81,,0.21,0.28,0.19,-0.08,,-3.23,,0.21,-0.14,0.25,2.1,,-2.85,,0.27,0.24,0.17,2.04,,-2.91,,0.21,0.18,0.26,,1.16,,-2.77,,0.32,,,1.42,,-2.51,,0.58,,2.34,,-3.3,,0.26,-0.21,0.17,,,,,,,,,2.42,,-3.01,,0.08,,4.41,,-3.09,,0.28,0.0,0.17,4.37,,-3.13,,0.23,-0.04,0.33,1.96,,-3.03,,0.3,0.06,0.21,2.96,,-3.26,,0.26,-0.17,0.17,-0.85,,-3.72,,0.42,-0.63,0.43,,-0.86,,-3.07,,0.02,,,0.14,,-2.44,,0.65,,-1.29,,-3.47,,0.22,-0.38,0.25,,-1.73,,-2.83,,0.26,,,-2.33,,-2.85,,0.24,,5.2,,-3.23,,0.43,-0.14,0.26
LMC-104,DW,3.55,,-2.69,,0.36,-0.13,0.22,5.38,,-2.22,,0.27,0.34,0.22,2.96,,-3.49,,0.65,-0.93,0.62,4.78,,-2.72,,0.7,-0.16,0.61,2.99,,-2.04,,0.28,0.52,0.22,3.97,,-2.37,,0.27,0.19,0.22,0.6,,-2.55,,0.24,0.01,0.3,2.57,,-2.38,,0.33,0.18,0.21,2.76,,-2.19,,0.24,0.37,0.32,1.33,,-2.6,,0.32,-0.04,0.22,,1.93,,-2.0,,0.56,,2.91,,-2.73,,0.31,-0.17,0.21,3.19,,-2.45,,0.24,0.11,0.38,2.45,,-2.98,,0.28,-0.42,0.22,4.94,,-2.56,,0.33,0.0,0.21,4.94,,-2.56,,0.24,0.0,0.37,2.54,,-2.45,,0.35,0.11,0.21,3.76,,-2.46,,0.3,0.1,0.22,-0.12,,-3.0,,0.32,-0.44,0.3,-0.67,,-2.88,,0.25,-0.32,0.3,0.27,,-2.31,,0.24,0.25,0.31,-0.83,,-3.01,,0.25,-0.45,0.3,,-1.27,,-2.38,,0.18,,-1.86,,-2.38,,0.25,0.18,0.3,5.26,,-3.18,,0.37,-0.62,0.22
LMC-119,DW,1.46,,-4.78,,0.26,-0.63,0.21,3.87,,-3.73,,0.29,0.42,0.21,1.49,,-4.96,,0.63,-0.81,0.6,4.14,,-3.37,,0.66,0.78,0.62,,,,,,,,2.66,,-3.68,,0.24,0.47,0.23,-0.78,,-3.93,,0.24,0.22,0.26,,,,,,,,0.96,,-3.99,,0.23,0.16,0.28,,0.58,,-3.35,,0.8,,,1.01,,-2.92,,1.23,,,,,,,,,,,,,,,,,2.07,,-3.36,,0.79,,3.35,,-4.15,,0.3,0.0,0.2,3.38,,-4.12,,0.22,0.03,0.31,1.13,,-3.86,,0.31,0.29,0.21,2.01,,-4.21,,0.32,-0.06,0.2,-2.78,,-5.65,,0.28,-1.5,0.29,,-1.19,,-3.4,,0.75,,,-0.65,,-3.23,,0.92,,,-3.33,,-5.51,,-1.36,,,-1.62,,-2.72,,1.43,,,-2.59,,-3.11,,1.04,,,3.93,,-4.5,,-0.35,
LMC-204,DW,3.16,,-3.08,,0.35,-0.25,0.27,5.08,,-2.52,,0.31,0.31,0.28,2.03,,-4.42,,0.64,-1.59,0.63,4.81,,-2.7,,0.78,0.13,0.73,2.76,,-2.27,,0.31,0.56,0.28,3.6,,-2.74,,0.3,0.09,0.29,0.17,,-2.98,,0.3,-0.15,0.33,2.26,,-2.69,,0.35,0.14,0.27,2.21,,-2.74,,0.3,0.09,0.34,,1.36,,-2.57,,0.26,,,1.69,,-2.24,,0.59,,,,,,,,,,,,,,,,,2.72,,-2.71,,0.12,,4.67,,-2.83,,0.35,0.0,0.27,4.61,,-2.89,,0.29,-0.06,0.38,1.91,,-3.08,,0.35,-0.25,0.27,3.14,,-3.08,,0.35,-0.25,0.27,-1.4,,-4.27,,0.3,-1.44,0.34,,-0.57,,-2.78,,0.05,,,0.4,,-2.18,,0.65,,-1.67,,-3.85,,0.31,-1.02,0.32,,-1.12,,-2.22,,0.61,,,-1.68,,-2.2,,0.63,,5.45,,-2.98,,0.46,-0.15,0.31
LMC-207,DW,2.85,,-3.39,,0.32,-0.05,0.25,4.42,,-3.18,,0.32,0.16,0.26,2.16,,-4.29,,0.64,-0.95,0.64,4.45,,-3.06,,0.75,0.28,0.66,,,,,,,,3.48,,-2.86,,0.28,0.48,0.27,-0.38,,-3.53,,0.27,-0.19,0.3,,,,,,,,1.69,,-3.26,,0.28,0.08,0.31,,1.16,,-2.77,,0.57,,,1.68,,-2.24,,1.1,,2.04,,-3.6,,0.31,-0.26,0.25,,,,,,,,,2.15,,-3.28,,0.06,,4.16,,-3.34,,0.34,0.0,0.25,4.13,,-3.37,,0.27,-0.03,0.35,1.71,,-3.28,,0.34,0.06,0.25,,,,,,,,-1.03,,-3.9,,0.31,-0.56,0.31,,-0.94,,-3.15,,0.19,,,0.39,,-2.19,,1.15,,-2.62,,-4.8,,0.29,-1.46,0.3,,-1.62,,-2.72,,0.62,,,-2.28,,-2.8,,0.54,,4.97,,-3.46,,0.47,-0.12,0.31
