Name,Teff,logg,[Fe/H],[C/Fe],[Mg/Fe],[Ca/Fe],[Ti/Fe],[Sr/Fe],[Ba/Fe],Comment,Ref.
BooI-7,,,-2.33,-0.49(0.07),0.30,0.23,,,-0.75,high-res,"FEL09, NOR10"
BooI-9,4750,1.40,-2.64,-0.58(-0.02),0.13,0.18,0.27,,-0.89,high-res,"ISH14, NOR10"
BooI-33,4740,1.40,-2.32,0.29(0.74),0.26,0.14,-0.02,,-0.35,high-res,"GIL13, NOR10"
BooI-41,4750,1.50,-1.88,-0.78(-0.24),0.50,0.28,0.78,,-0.39,high-res,"GIL13, NOR10"
BooI-94,4560,0.80,-2.94,-0.44(0.31),0.49,0.30,0.26,-2.43,-0.95,high-res,"GIL13, NOR10, ISH14"
BooI-117,4725,1.40,-2.18,-0.50(0.04),0.18,0.20,0.14,-1.22,-0.65,high-res,"GIL13, NOR10, ISH14"
BooI-119,4770,1.40,-3.33,1.85(2.16),1.04,0.46,0.80,,-1.00,high-res,"GIL13, LAI11"
BooI-121,4500,0.80,-2.49,-0.13(0.62),0.20,0.24,0.07,,-0.63,high-res,"ISH14, NOR10"
BooI-127,4765,1.35,-1.99,-0.15(0.37),0.41,0.24,0.33,-1.20,-0.75,high-res,"FRE14"
BooI-130,4775,1.40,-2.32,-0.41(0.17),0.21,0.19,0.17,,-0.54,high-res,"GIL13, NOR10"
BooI-911,4500,0.90,-2.16,-0.77(-0.01),0.35,-0.01,0.02,,-0.64,high-res,"ISH14"
BooI-980,4720,1.40,-3.06,-0.40(0.13),0.29,0.30,0.43,-0.95,-1.23,high-res,"FRE14"
BooI-1137,4700,1.20,-3.66,0.25(0.90),0.47,0.52,0.52,-1.42,-0.59,high-res,"NOR10b"
