Name,Ion,N_lines,l_logepsX,logepsX,e_logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],e_[X/Fe],Note
BD+44 493,Li I,Syn,,1.00,0.11,,,,,6708 Aring
BD+44 493,Be II,Syn,<,-1.8,,,,,,3130 Aring
BD+44 493,C-H,Syn,,5.95,0.37,,-2.48,,1.35,0.21,
BD+44 493,N-H,Syn,,4.40,0.44,,-3.43,,0.40,0.31,
BD+44 493,O-H,Syn,,6.50,0.42,,-2.19,,1.64,0.25,
BD+44 493,O I,1,<,7.20,,<,-1.49,<,2.34,,6300 Aring
BD+44 493,Na I,2,,2.71,0.18,,-3.53,,0.30,0.10,Na D lines
BD+44 493,Mg I,8,,4.23,0.21,,-3.37,,0.46,0.08,
BD+44 493,Al I,1,,2.06,0.20,,-4.39,,-0.56,0.14,3962 Aring
BD+44 493,Si I,1,,4.17,0.26,,-3.34,,0.49,0.14,3906 Aring
BD+44 493,S I,1,<,4.35,,<,-2.77,<,1.06,,9213 Aring
BD+44 493,K I,1,<,1.95,,<,-3.08,<,0.75,,7699 Aring
BD+44 493,Ca I,12,,2.82,0.11,,-3.52,,0.31,0.10,
BD+44 493,Ca II,1,,2.98,0.18,,-3.36,,0.47,0.15,3181 Aring
BD+44 493,Sc II,12,,-0.39,0.18,,-3.54,,0.29,0.07,
BD+44 493,Ti I,7,,1.48,0.17,,-3.47,,0.36,0.08,
BD+44 493,Ti II,55,,1.48,0.17,,-3.47,,0.36,0.08,
BD+44 493,V I,1,<,0.30,,<,-3.63,<,0.20,,4379 Aring
BD+44 493,V II,2,,0.08,0.19,,-3.85,,-0.02,0.10,
BD+44 493,Cr I,6,,1.44,0.17,,-4.20,,-0.37,0.07,
BD+44 493,Cr II,2,,1.59,0.16,,-4.05,,-0.22,0.10,
BD+44 493,Mn I,2,,0.49,0.20,,-4.94,,-1.11,0.11,4030 Aring
BD+44 493,Mn II,3,,0.81,0.16,,-4.62,,-0.79,0.08,
BD+44 493,Fe I,158,,3.67,0.19,,-3.83,,0.00,,
BD+44 493,Fe II,11,,3.68,0.15,,-3.82,,0.01,,
BD+44 493,Co I,20,,1.70,0.20,,-3.29,,0.54,0.06,
BD+44 493,Ni I,30,,2.47,0.25,,-3.75,,0.08,0.06,
BD+44 493,Cu I,2,,-0.55,0.21,,-4.74,,-0.91,0.11,
BD+44 493,Zn I,1,<,0.90,,<,-3.66,<,0.17,,3345 Aring
BD+44 493,Sr II,2,,-1.19,0.20,,-4.06,,-0.23,0.12,
BD+44 493,Y II,1,,-1.86,0.22,,-4.07,,-0.24,0.15,3601 Aring
BD+44 493,Zr II,2,,-1.21,0.20,,-3.79,,0.04,0.12,
BD+44 493,Ba II,2,,-2.25,0.20,,-4.43,,-0.60,0.12,
BD+44 493,Eu I,1,<,-2.90,,<,-3.42,<,0.41,,3820 Aring
BD+44 493,Pb I,1,<,-0.10,,<,-1.85,<,1.98,,4058 Aring
# BD+44 493,O I,1,<,7.00,,<,-1.19,<,2.14,,7772 Aring
# BD+44 493,Ca II,3,,3.42,0.23,,-2.92,,+0.91,0.27,Ca triplet
