Table 11 
Abundance Errors for BD+44deg493


Element	Ion	sigma_random	$\Delta _{T_\mathrm{eff}}$	Delta_log g	$\Delta _{v_\mathrm{micro}}$	sigma_total	sigma_total	
(+150 K)	(+0.3 dex)	(+0.3 km s^-1)	(log epsilon(X))	([X/Fe])	
Li	I	0.05	0.10	0.00	0.00	0.11	 ... 	
C	CH	0.10	0.30	-0.10	0.00	0.37	0.21	
N	NH	0.25	0.30	-0.10	0.00	0.44	0.31	
O	OH	0.10	0.35	-0.10	0.00	0.42	0.25	
Na	I	0.09	0.14	-0.03	-0.03	0.18	0.10	
Mg	I	0.05	0.15	-0.08	-0.04	0.21	0.08	
Al	I	0.13	0.15	-0.01	-0.03	0.20	0.14	
Si	I	0.13	0.17	-0.06	-0.10	0.26	0.14	
Ca	I	0.03	0.10	-0.01	-0.01	0.11	0.10	
Ca	II	0.13	0.05	0.06	-0.07	0.18	0.15	
Ca	II	0.07	0.16	-0.08	-0.06	0.23	0.27	
Sc	II	0.02	0.11	0.10	-0.02	0.18	0.07	
Ti	I	0.05	0.16	0.00	0.00	0.17	0.08	
Ti	II	0.02	0.10	0.08	-0.06	0.17	0.08	
V	II	0.09	0.09	0.10	0.00	0.19	0.10	
Cr	I	0.05	0.16	-0.01	-0.01	0.17	0.07	
Cr	II	0.09	0.05	0.10	-0.02	0.16	0.10	
Mn	I	0.09	0.18	0.00	0.00	0.20	0.11	
Mn	II	0.07	0.06	0.10	-0.01	0.16	0.08	
Fe	I	0.01	0.17	-0.03	-0.05	0.19	 ... 	
Fe	II	0.03	0.05	0.11	-0.02	0.15	 ... 	
Co	I	0.04	0.19	-0.01	-0.02	0.20	0.06	
Ni	I	0.02	0.21	-0.04	-0.08	0.25	0.06	
Cu	I	0.09	0.19	0.00	-0.01	0.21	0.11	
Sr	II	0.09	0.11	0.09	-0.06	0.20	0.12	
Y	II	0.13	0.11	0.10	0.00	0.22	0.15	
Zr	II	0.09	0.11	0.10	0.00	0.20	0.12	
Ba	II	0.09	0.11	0.10	0.00	0.20	0.12	
