Name,Simbad_Identifier,System,RA_hms,DEC_dms,Vmag,Date,t_exp,Vel,e_Vel,SNR4500,SNR5300,SNR6500,Instrument
GruI-032,DES J225658.06-501357.9,Grus I,22:56:58.1,-50:13:57.9,18.1,'2017 Aug 16',165,-139.8,0.7,22,25,60,MIKE 1.0 slit
GruI-032,DES J225658.06-501357.9,Grus I,22:56:58.1,-50:13:57.9,18.1,'2017 Aug 25',165,-139.8,0.7,22,25,60,MIKE 1.0 slit
GruI-038,DES J225629.92-500433.3,Grus I,22:56:29.9,-50:04:33.3,18.7,'2017 Aug 15',430,-143.9,0.4,20,22,55,MIKE 1.0 slit
GruI-038,DES J225629.92-500433.3,Grus I,22:56:29.9,-50:04:33.3,18.7,'2017 Aug 16',430,-143.9,0.4,20,22,55,MIKE 1.0 slit
GruI-038,DES J225629.92-500433.3,Grus I,22:56:29.9,-50:04:33.3,18.7,'2017 Aug 25',430,-143.9,0.4,20,22,55,MIKE 1.0 slit
TriII-40,2MASS J02131654+3610457,Triangulum II,02:13:16.5,+36:10:45.9,17.3,'2015 Dec 15',60,-381.5,1.3,5,15,35,GRACES 2-fiber
TriII-40,2MASS J02131654+3610457,Triangulum II,02:13:16.5,+36:10:45.9,17.3,'2016 Sep 08',80,-381.5,,,,,GRACES 2-fiber
TriII-46,[MIC2016] 46,Triangulum II,02:13:21.5,+36:09:57.6,18.8,'2015 Dec 16',160,-396.5,3.2,1,7,17,GRACES 2-fiber
TriII-46,[MIC2016] 46,Triangulum II,02:13:21.5,+36:09:57.6,18.8,'2015 Dec 17',160,-396.5,3.2,1,7,17,GRACES 2-fiber
TriII-46,[MIC2016] 46,Triangulum II,02:13:21.5,+36:09:57.6,18.8,'2016 Sep 07',120,-381.5,5.0,,,,GRACES 2-fiber
