Name,RA_hms,DEC_dms
Fnx-mem0514,02:38:40.14,-34:39:11.80
Fnx-mem0522,02:38:47.86,-34:39:39.40
Fnx-mem0528,02:37:32.45,-34:39:53.30
Fnx-mem0532,02:38:01.37,-34:40:11.30
Fnx-mem0538,02:38:03.84,-34:40:38.70
Fnx-mem0539,02:37:32.86,-34:40:41.80
Fnx-mem0543,02:38:02.43,-34:41:00.40
Fnx-mem0546,02:38:46.31,-34:41:14.50
Fnx-mem0556,02:38:45.53,-34:41:44.90
Fnx-mem0571,02:38:49.44,-34:42:29.20
Fnx-mem0572,02:38:44.58,-34:42:33.10
Fnx-mem0574,02:38:26.46,-34:42:36.60
Fnx-mem0584,02:37:23.65,-34:43:20.90
Fnx-mem0595,02:38:35.50,-34:44:02.40
Fnx-mem0598,02:38:00.01,-34:44:21.80
Fnx-mem0604,02:38:52.25,-34:44:55.00
Fnx-mem0606,02:38:30.20,-34:45:02.70
Fnx-mem0607,02:38:22.41,-34:45:06.00
Fnx-mem0610,02:38:36.71,-34:45:20.70
Fnx-mem0612,02:38:50.89,-34:45:35.00
Fnx-mem0613,02:38:59.50,-34:45:36.00
Fnx-mem0621,02:37:44.47,-34:45:58.60
Fnx-mem0626,02:38:21.97,-34:46:36.60
Fnx-mem0629,02:37:20.19,-34:46:45.70
Fnx-mem0631,02:38:52.93,-34:47:01.00
Fnx-mem0633,02:37:55.85,-34:47:15.70
Fnx-mem0634,02:38:55.48,-34:47:20.70
Fnx-mem0638,02:38:42.14,-34:47:40.00
Fnx-mem0647,02:37:24.24,-34:48:37.20
Fnx-mem0654,02:37:22.52,-34:49:04.40
Fnx-mem0664,02:38:17.87,-34:49:53.10
Fnx-mem0675,02:37:55.73,-34:50:25.00
Fnx-mem0678,02:38:42.95,-34:50:55.90
Fnx-mem0682,02:38:09.02,-34:51:06.70
Fnx-mem0704,02:38:00.50,-34:52:33.70
Fnx-mem0712,02:38:37.11,-34:53:10.20
Fnx-mem0714,02:38:50.23,-34:53:19.20
Fnx-mem0715,02:38:11.07,-34:53:20.40
Fnx-mem0717,02:38:40.56,-34:53:30.50
Fnx-mem0725,02:38:15.52,-34:54:22.40
Fnx-mem0732,02:37:47.45,-34:54:52.60
Fnx-mem0738,02:37:22.05,-34:55:20.70
Fnx-mem0747,02:37:34.47,-34:56:08.70
Fnx-mem0754,02:38:30.93,-34:56:53.90
Fnx-mem0779,02:37:42.52,-34:58:30.20
Fnx-rgb0507,02:38:19.28,-34:36:00.60
Fnx-rgb0509,02:38:21.30,-34:36:18.10
Fnx-rgb0510,02:37:48.40,-34:36:21.90
Fnx-rgb0522,02:38:02.66,-34:37:03.30
Fnx-rgb0536,02:38:19.73,-34:38:53.80
Fnx-rgb0539,02:38:46.77,-34:39:24.70
Fnx-rgb0553,02:38:25.17,-34:41:23.90
Fnx-rgb0556,02:38:34.99,-34:41:37.80
Fnx-rgb0561,02:38:34.98,-34:42:40.50
Fnx-rgb0574,02:38:41.08,-34:44:20.10
Fnx-rgb0590,02:38:13.90,-34:46:55.20
Fnx-rgb0596,02:38:30.85,-34:47:44.10
Fnx-rgb0614,02:37:47.30,-34:54:30.50
