Name,[FeI/H],e_[FeI/H],[FeII/H],e_[FeII/H],[NaI/H],e_[NaI/H],[MgI/H],e_[MgI/H],[CaI/H],e_[CaI/H],[CrI/H],e_[CrI/H],[BaII/H],e_[BaII/H],[C/H],e_[C/H]
## Abundances of C-19 stars observed with Gemini/GRACES spectra
C19-01984,-3.21,0.17,-3.42,0.12,-2.69,0.2,-3.15,0.2,-3.06,0.2,-3.58,0.2,<-2.9,,,
C19-99008,-3.3,0.15,-3.45,0.11,-2.68,0.2,-3.12,0.2,-3.09,0.1,-3.62,0.2,-3.67,0.2,-3.43,0.84
C19-00352,-3.15,0.17,-3.42,0.17,-3.08,0.2,-3.04,0.2,-3.14,0.2,-3.47,0.2,<-3.03,,,
## Abundances of C-19 stars observed with GTC/OSIRIS
C19-92544,-3.41,0.19,,,,,,,-3.21,0.11,,,,,-2.93,0.37
C19-41344,-3.38,0.2,,,,,,,-3.2,0.1,,,,,-2.77,0.66
C19-38656,-3.34,0.19,,,,,,,-3.17,0.11,,,,,-2.9,0.41
C19-71392,-3.15,0.18,,,,,,,-2.92,0.1,,,,,-3.75,0.49
C19-28384,-3.39,0.18,,,,,,,-3.11,0.11,,,,,-3.23,0.29
# C19-99008, -3.32  , 0.18     ,         ,           ,        ,          ,        ,          , -3.02  , 0.12     ,        ,          ,         ,           , -3.43, 0.84
## Note: for simplicity, I have added the carbon abundances of C19-99008 from GTC/OSIRIS to the row with the Gemini/GRACES abundances.
