ID,Name,f_Name,Rad,Vel,gmag,(g-r)0,(r-z)0,K',Teff,logg,[Fe/H],f_[Fe/H],[C/H],[C/Fe],Reference
7,BooI-7,,12.1,106,18.30,0.693,0.450,7.49,4800,1.6,-2.32,b,-2.82,-0.50,Norris+2010c
8,BooI-8,,12.6,106,19.02,0.551,0.349,4.53,5090,2.3,-2.75,b,-2.15,0.60,Norris+2010c
9,BooI-9,,11.1,112,17.92,0.803,0.538,6.62,4630,1.1,-2.67,b,-3.22,-0.55,Norris+2010c
33,BooI-33,,5.2,107,18.23,0.736,0.474,5.17,4730,1.4,-2.29,g,-1.99,0.30,Gilmore+2013
34,BooI-34,,13.1,111,18.74,0.647,0.452,4.94,4840,1.6,-3.10,b,-2.55,0.55,Norris+2010c
41,BooI-41,,6.2,105,18.38,0.697,0.475,8.13,4750,1.6,-1.93,g,-2.58,-0.65,Gilmore+2013
78,BooI-78,,16.9,105,19.30,0.619,0.391,6.10,4950,1.9,-2.46,b,-2.61,-0.15,Norris+2010c
94,BooI-94,,7.4,94,17.52,0.872,0.575,6.63,4570,0.8,-2.90,g,-3.35,-0.45,Gilmore+2013
117,BooI-117,,2.1,96,18.21,0.746,0.492,8.78,4700,1.4,-2.25,g,-2.55,-0.30,Gilmore+2013
121,BooI-121,,12.0,112,17.92,0.811,0.525,7.62,4630,1.1,-2.37,b,-2.62,-0.25,Norris+2010c
127,BooI-127,,6.2,99,18.16,0.773,0.493,9.47,4670,1.4,-2.08,g,-2.33,-0.25,Gilmore+2013
130,BooI-130,,4.1,111,18.21,0.707,0.475,6.60,4750,1.4,-2.29,g,-2.69,-0.40,Gilmore+2013
911,BooI-911,,7.0,94,17.96,0.793,0.597,8.47,4540,1.1,-1.98,b,-2.53,-0.55,Norris+2010c
980,BooI-980,,48.8,106,18.49,0.610,0.437,4.14,4890,1.7,-3.09,b,-3.09,0.00,Norris+2010c
1069,BooI-1069,,29.0,113,19.05,0.553,0.371,5.57,5050,2.2,-2.51,b,-2.86,-0.35,Norris+2010c
#1137,BooI-1137,,24.0,108,18.10,0.718,0.517,3.06,4710,1.2,-3.66,h,-3.46,0.20,Norris+2010a
