ID,Name,[Fe/H],[C/H],[C/Fe],Reference
7,BooI-7,-2.32,-2.82,-0.50,Norris+2010c
8,BooI-8,-2.75,-2.15,0.60,Norris+2010c
9,BooI-9,-2.67,-3.22,-0.55,Norris+2010c
34,BooI-34,-3.10,-2.55,0.55,Norris+2010c
78,BooI-78,-2.46,-2.61,-0.15,Norris+2010c
121,BooI-121,-2.37,-2.62,-0.25,Norris+2010c
911,BooI-911,-1.98,-2.53,-0.55,Norris+2010c
980,BooI-980,-3.09,-3.09,0.00,Norris+2010c
1069,BooI-1069,-2.51,-2.86,-0.35,Norris+2010c
7,Seg1-7,-3.5,-1.2,+2.3,Norris+2010c
31,Seg1-31,-1.9,-1.9,0.0,Norris+2010c
42,Seg1-42,-1.5,,,Norris+2010c
71,Seg1-71,-2.2,-2.4,-0.2,Norris+2010c
98,Seg1-98,,,,Norris+2010c
# 1137,BooI-1137,-3.66,-3.46,0.20,Norris+2010a
# 33,BooI-33,-2.29,-1.99,0.30,Gilmore+2013
# 41,BooI-41,-1.93,-2.58,-0.65,Gilmore+2013
# 94,BooI-94,-2.90,-3.35,-0.45,Gilmore+2013
# 117,BooI-117,-2.25,-2.55,-0.30,Gilmore+2013
# 127,BooI-127,-2.08,-2.33,-0.25,Gilmore+2013
# 130,BooI-130,-2.29,-2.69,-0.40,Gilmore+2013
# 3451364,Seg1-3451364,-3.3,,,Geha+2009
