Name,[VSI2012],[MOP93],[LHT2012],RAh,RAm,RAs,DE-,DEd,DEm,DEs
,,,MKV0842,6,40,22.51,-,50,59,1.9
CC10194,,,,6,40,30.82,-,50,59,15.0
,,,MKV0677,6,40,31.12,-,50,55,24.5
,,,MKV0628,6,40,35.37,-,50,54,7.6
,,,MKV0640,6,40,40.82,-,50,54,29.2
,,,MKV0914,6,40,42.49,-,51,0,42.7
,,,MKV0925,6,40,43.17,-,51,1,6.6
,Car-7002,,,6,40,49.15,-,51,0,32.9
,,,MKV0812,6,40,51.62,-,50,58,21.7
CC09869,,,MKV0825,6,40,56.95,-,50,58,38.2
,,,MKV0780,6,40,57.09,-,50,57,44.3
,,,MKV0976,6,40,57.68,-,51,2,40.7
CC11388,,,,6,40,58.04,-,51,2,0.0
CC07452,Car-612,,,6,40,58.47,-,50,53,35.2
CC11560,,,MKV1009,6,40,59.29,-,51,2,26.4
CC12038,,,MKV1012,6,41,0.31,-,51,3,42.9
CC11217,,,,6,41,5.01,-,51,1,35.8
,,,MKV0596,6,41,5.35,-,51,5,25.5
CC08447,,,,6,41,10.54,-,50,55,52.8
CC09226,,,MKV0770,6,41,12.29,-,50,57,25.8
,Car-524,,,6,41,14.68,-,50,51,9.7
,Car-1087,,,6,41,15.45,-,51,1,16.0
,,,MKV0880,6,41,15.66,-,50,59,47.9
CC10690,,,MKV0902,6,41,16.3,-,51,0,18.5
CC10944,,,,6,41,16.75,-,51,0,53.8
CC09179,,,,6,41,17.92,-,50,57,20.3
CC09225,Car-769,,,6,41,19.69,-,50,57,25.4
CC12039,Car-1013,,,6,41,21.97,-,51,3,43.1
,,,MKV0698,6,41,26.09,-,50,55,43.7
CC10686,,,MKV0900,6,41,27.18,-,51,0,18.2
CC10802,,,,6,41,27.53,-,51,0,34.7
,,,MKV0740,6,41,29.08,-,50,56,46.5
,,,MKV1061,6,41,29.15,-,51,5,22.3
CC08695,,M12,,6,41,36.47,-,50,56,23.2
,,,MKV0948,6,41,37.65,-,51,1,43.7
CC06122,Car-484,,,6,41,39.62,-,50,49,58.8
CC07889,,,MKV0652,6,41,40.83,-,50,54,45.7
,,,MKV1007,6,41,44.63,-,51,3,31.1
,,,MKV0577,6,41,45.03,-,50,52,49.0
,,,MKV0743,6,41,45.91,-,50,56,54.3
CC06486,,,MKV0514,6,41,45.99,-,50,51,0.6
,,M10,,6,41,46.34,-,51,1,22.5
CC10414,,,,6,41,47.62,-,50,59,44.0
,,M4,,6,41,48.2,-,50,55,1.4
CC08615,,,,6,41,49.58,-,50,56,11.3
CC08788,,,,6,41,50.09,-,50,56,35.0
CC09633,Car-5070,,,6,41,53.83,-,50,58,10.9
CC09507,,,,6,41,54.07,-,50,57,56.6
CC09000,,M3,,6,41,54.58,-,50,57,0.6
CC09929,,,,6,41,54.83,-,50,58,46.8
CC10318,,M2,,6,41,57.62,-,50,59,32.5
,,,MKV0458,6,41,58.19,-,50,48,58.0
,,,MKV0397,6,41,58.27,-,50,46,41.4
CC10038,,,MKV0840,6,42,2.79,-,50,58,59.2
CC09430,,,,6,42,5.37,-,50,57,48.2
,,,MKV0916,6,42,8.97,-,51,0,48.0
CC06975,,,,6,42,10.84,-,50,52,20.4
CC08469,Car-705,,,6,42,17.39,-,50,55,55.0
,,,MKV0729,6,42,17.45,-,50,56,26.3
,,,MKV0556,6,42,22.26,-,50,52,9.5
,,,MKV0733,6,42,30.38,-,50,56,33.3
,,,MKV0614,6,42,37.95,-,50,53,37.6
,,,MKV0708,6,42,38.52,-,50,56,0.8
