Name,Simbad_Identifier,System,RA_hms,DEC_dms,RA_deg,DEC_deg,Teff,e_Teff,logg,e_logg,M/H,e_M/H,Vmic,e_Vmic,UT-DATE,BINNING,EXPTIME,SLITSIZE
Gaia DR3 31707926776039680,Gaia DR3 31707926776039680,Gaia-Sausage/Enceladus,02:53:00.07,+13:07:45.44,43.250292,13.12929,4896,123,1.89,0.21,-1.95,0.22,1.88,0.25,2021-11-08,2x2,2700,0.70x5.00
Gaia DR3 1187898485610541696,TYC 1478-659-1,Gaia-Sausage/Enceladus,14:53:08.69,+16:11:04.09,223.286208,16.18447,4451,122,1.53,0.21,-1.21,0.21,1.75,0.23,2021-07-28,2x1,900,0.50x5.00
Gaia DR3 2472646349146818816,Gaia DR3 2472646349146818816,Gaia-Sausage/Enceladus,00:59:31.44,-10:58:15.96,14.881,-10.9711,4593,122,1.51,0.21,-1.54,0.21,1.77,0.24,2021-11-08,2x2,1200,0.70x5.00
Gaia DR3 2504634406573540608,TYC 4686-777-1,Gaia-Sausage/Enceladus,01:59:39.18,-02:42:49.75,29.91325,-2.71382,4814,122,2.15,0.21,-1.24,0.22,1.53,0.25,2021-07-28,2x1,360,0.50x5.00
Gaia DR3 2505065101598396416,UCAC2  31097957,Gaia-Sausage/Enceladus,01:56:29.62,-01:50:45.96,29.123417,-1.8461,4488,122,1.49,0.2,-1.34,0.21,1.71,0.23,2021-07-28,2x1,600,0.50x5.00
Gaia DR3 2538202737087917184,UCAC4 457-001461,Gaia-Sausage/Enceladus,01:07:27.03,+01:19:27.23,16.862625,1.32423,4931,122,2.49,0.21,-0.88,0.22,1.25,0.23,2021-07-28,2x1,1800,0.50x5.00
Gaia DR3 2543390232947773824,UCAC4 456-000862,Gaia-Sausage/Enceladus,00:40:00.33,+01:01:36.62,10.001375,1.02684,4977,122,2.31,0.21,-1.3,0.22,1.47,0.24,2021-07-28,2x1,1800,0.50x5.00
Gaia DR3 2558587476508131072,UCAC4 461-002049,Gaia-Sausage/Enceladus,01:30:13.92,+02:07:07.61,22.558,2.11878,4935,122,2.36,0.21,-1.33,0.22,1.9,0.26,2021-07-28,2x1,2700,0.50x5.00
Gaia DR3 2566035087238555776,LAMOST J012425.38+064339.8,Gaia-Sausage/Enceladus,01:24:25.38,+06:43:39.83,21.10575,6.72773,5103,123,2.27,0.2,-2.37,0.23,1.66,0.25,2021-11-08,2x2,4800,0.70x5.00
Gaia DR3 2632995998205049216,Gaia DR3 2632995998205049216,Gaia-Sausage/Enceladus,23:30:29.31,-05:23:43.76,352.622125,-5.39549,4431,122,1.18,0.21,-1.58,0.22,1.82,0.26,2021-11-08,2x2,2700,0.70x5.00
