Name,[Fe/H],e_[Fe/H],[C/H],e_[C/H],[Na I/H],e_[Na I/H],[Mg I/H],e_[Mg I/H],[Al I/H],e_[Al I/H],[Si I/H],e_[Si I/H],[Ca I/H],e_[Ca I/H],[Sc II/H],e_[Sc II/H],[Ti II/H],e_[Ti II/H],[Cr I/H],e_[Cr I/H],[Cr II/H],e_[Cr II/H],[Mn I/H],e_[Mn I/H],[Co I/H],e_[Co I/H],[Ni I/H],e_[Ni I/H],[Zn I/H],e_[Zn I/H],[Sr II/H],e_[Sr II/H],[Y II/H],e_[Y II/H],[Zr II/H],e_[Zr II/H],[Ba II/H],e_[Ba II/H],[La II/H],e_[La II/H],[Eu II/H],e_[Eu II/H],[Dy II/H],e_[Dy II/H],
Gaia DR3 31707926776039680,-1.96,0.18,-2.06,0.23,-1.8,0.12,-1.63,0.12,-2.58,0.14,-1.51,0.12,-1.61,0.12,-1.91,0.11,-1.6,0.09,-2.07,0.18,-1.84,0.1,-2.37,0.11,-1.85,0.17,-1.98,0.13,-1.82,0.08,-1.86,0.13,-2.14,0.08,-1.74,0.11,-2.02,0.13,-1.78,0.08,-1.57,0.09,-1.56,0.08,
Gaia DR3 1187898485610541696,-1.19,0.18,-1.86,0.2,-1.23,0.12,-0.95,0.14,,,-0.81,0.06,-0.82,0.18,-0.81,0.2,-0.76,0.15,-1.17,0.31,-0.78,0.16,-1.54,0.16,-1.55,0.21,-1.2,0.16,-1.18,0.15,-0.97,0.11,-1.1,0.17,-0.56,0.11,-0.86,0.18,-0.81,0.11,-0.42,0.12,-0.53,0.08,
Gaia DR3 2472646349146818816,-1.55,0.21,-2.11,0.18,-1.57,0.1,-1.21,0.12,-2.21,0.25,-1.14,0.05,-1.17,0.17,-1.24,0.17,-1.09,0.14,-1.57,0.26,-1.43,0.14,-1.96,0.14,-1.53,0.23,-1.65,0.14,-1.57,0.1,-1.45,0.09,-1.65,0.12,-1.29,0.12,-1.33,0.18,-1.22,0.11,-0.83,0.11,-0.81,0.14,
Gaia DR3 2504634406573540608,-1.24,0.21,-1.55,0.18,-1.39,0.14,-1.0,0.14,-2.11,0.17,-0.9,0.06,-0.88,0.16,-1.03,0.17,-0.81,0.15,-1.26,0.26,-1.26,0.13,-1.53,0.11,-1.32,0.18,-1.26,0.15,-1.25,0.12,-1.08,0.09,-1.22,0.14,-1.0,0.12,-1.0,0.2,-0.97,0.12,-0.72,0.12,-0.59,0.1,
Gaia DR3 2505065101598396416,-1.32,0.19,-2.08,0.19,-1.36,0.11,-1.03,0.14,-2.13,0.22,-1.0,0.06,-0.93,0.18,-1.01,0.17,-0.84,0.16,-1.3,0.3,-1.18,0.18,-1.67,0.12,-1.45,0.28,-1.4,0.15,-1.44,0.12,-1.28,0.13,-1.41,0.14,-1.14,0.08,-1.15,0.18,-1.09,0.1,-0.74,0.1,-0.83,0.05,
Gaia DR3 2538202737087917184,-0.88,0.2,-1.25,0.21,-0.96,0.09,-0.84,0.14,-1.8,0.29,-0.65,0.07,-0.57,0.16,-0.74,0.16,-0.57,0.15,-0.76,0.27,-0.8,0.16,-1.1,0.15,-1.01,0.18,-0.94,0.16,-0.96,0.14,-0.96,0.11,-1.08,0.18,-0.64,0.16,-0.64,0.18,-0.67,0.11,-0.46,0.11,-0.44,0.08,
Gaia DR3 2543390232947773824,-1.28,0.2,-1.51,0.2,-1.38,0.14,-1.08,0.13,-2.1,0.23,-0.88,0.08,-0.92,0.16,-1.14,0.15,-0.95,0.13,-1.3,0.24,-1.2,0.12,-1.57,0.16,-1.3,0.18,-1.32,0.15,-1.28,0.11,-1.18,0.1,-1.4,0.14,-0.92,0.15,-1.25,0.19,-1.09,0.11,-0.81,0.11,-0.7,0.14,
Gaia DR3 2558587476508131072,-1.31,0.2,-1.82,0.19,-1.48,0.14,-1.05,0.14,-2.3,0.0,-0.85,0.08,-1.02,0.16,-0.92,0.15,-0.73,0.13,-1.43,0.22,-1.09,0.12,-1.64,0.13,-1.29,0.21,-1.3,0.14,-1.06,0.11,-1.12,0.13,-1.21,0.13,-0.78,0.13,-0.95,0.18,-0.91,0.1,-0.61,0.1,-0.48,0.08,
Gaia DR3 2566035087238555776,-2.38,0.14,-2.19,0.27,-2.15,0.2,-2.01,0.11,-3.34,0.06,-1.6,0.1,-2.03,0.1,-2.38,0.09,-2.06,0.11,-2.47,0.15,-2.18,0.08,-2.89,0.08,-2.22,0.14,-2.48,0.12,-2.27,0.1,-2.41,0.22,-2.8,0.1,-2.43,0.09,-2.87,0.1,,,-2.48,0.12,-2.52,0.14,
Gaia DR3 2632995998205049216,-1.59,0.22,-2.19,0.19,-1.78,0.1,-1.32,0.13,-2.5,0.14,-1.16,0.05,-1.28,0.18,-1.48,0.15,-1.29,0.14,-1.63,0.31,-1.5,0.17,-2.02,0.13,-1.9,0.23,-1.75,0.15,-1.74,0.11,-1.5,0.08,-1.58,0.15,-1.37,0.11,-1.29,0.2,-1.25,0.12,-1.05,0.1,-1.11,0.07,
