Name,[Fe/H],e_[Fe/H],[C/Fe],e_[C/Fe],[Na I/Fe],e_[Na I/Fe],[Mg I/Fe],e_[Mg I/Fe],[Al I/Fe],e_[Al I/Fe],[Si I/Fe],e_[Si I/Fe],[Ca I/Fe],e_[Ca I/Fe],[Sc II/Fe],e_[Sc II/Fe],[Ti II/Fe],e_[Ti II/Fe],[Cr I/Fe],e_[Cr I/Fe],[Cr II/Fe],e_[Cr II/Fe],[Mn I/Fe],e_[Mn I/Fe],[Co I/Fe],e_[Co I/Fe],[Ni I/Fe],e_[Ni I/Fe],[Zn I/Fe],e_[Zn I/Fe],[Sr II/Fe],e_[Sr II/Fe],[Y II/Fe],e_[Y II/Fe],[Zr II/Fe],e_[Zr II/Fe],[Ba II/Fe],e_[Ba II/Fe],[La II/Fe],e_[La II/Fe],[Eu II/Fe],e_[Eu II/Fe],[Dy II/Fe],e_[Dy II/Fe]
srg421,-2.81,0.16,-0.33,0.18,0.34,0.1,0.5,0.07,-0.55,0.16,0.55,0.06,0.3,0.06,0.11,0.04,0.4,0.07,-0.23,0.06,0.12,0.05,-0.57,0.08,0.24,0.12,0.24,0.08,0.11,0.13,0.25,0.21,0.16,0.08,0.32,0.05,0.47,0.13,0.69,0.08,1.14,0.06,1.27,0.14
srg422,-1.93,0.19,-0.62,0.2,0.24,0.07,0.1,0.13,-0.79,0.12,0.28,0.09,0.25,0.08,-0.04,0.1,0.32,0.1,-0.19,0.08,-0.02,0.12,-0.43,0.16,0.12,0.2,0.09,0.11,0.13,0.16,-0.1,0.11,-0.3,0.12,0.09,0.13,0.12,0.17,0.02,0.14,0.43,0.16,0.33,0.17
srg423,-2.52,0.08,-0.29,0.15,0.27,0.09,0.31,0.09,-0.64,0.11,0.45,0.15,0.32,0.04,0.11,0.06,0.3,0.06,-0.22,0.06,-0.04,0.09,-0.49,0.08,0.19,0.07,0.01,0.08,0.11,0.06,-0.09,0.16,-0.4,0.07,-0.07,0.07,-0.44,0.05,0.1,0.09,0.24,0.08,0.24,0.08
srg424,-2.43,0.17,-0.07,0.18,0.28,0.1,0.31,0.09,-0.34,0.11,0.4,0.11,0.3,0.07,0.11,0.08,0.34,0.1,-0.34,0.07,-0.17,0.1,-0.42,0.11,0.22,0.07,0.08,0.08,0.06,0.14,-0.31,0.27,-0.42,0.09,<0.14,,-0.75,0.1,<0.16,,0.03,0.13,<0.47,
srg426,-2.93,0.14,0.02,0.19,0.11,0.15,0.32,0.06,-0.72,0.15,0.4,0.08,0.19,0.06,-0.14,0.06,0.08,0.07,-0.28,0.1,-0.04,0.09,-0.56,0.11,0.08,0.09,-0.03,0.06,0.06,0.1,-0.51,0.24,-0.43,0.11,<0.13,,-0.69,0.08,<0.51,,0.08,0.06,<0.6,
srg428,-2.39,0.18,-0.67,0.2,0.23,0.09,0.26,0.07,-0.92,0.28,0.35,0.07,0.26,0.07,0.23,0.09,0.29,0.09,-0.29,0.05,0.0,0.07,-0.43,0.11,0.12,0.14,0.04,0.09,0.01,0.15,-0.22,0.23,-0.25,0.09,0.04,0.08,0.06,0.12,0.21,0.09,0.64,0.11,0.96,0.07
srg430,-2.42,0.21,-0.86,0.22,0.44,0.13,0.37,0.07,-0.65,0.26,0.16,0.16,0.31,0.06,0.01,0.08,0.31,0.11,-0.1,0.09,-0.1,0.12,-0.25,0.09,0.11,0.1,-0.08,0.06,-0.08,0.24,-0.09,0.11,-0.65,0.11,-0.31,0.1,-0.56,0.1,-0.38,0.13,-0.07,0.13,0.1,0.1
sgr431,-2.82,0.18,-0.1,0.2,-0.03,0.11,-0.08,0.16,-1.09,0.15,0.62,0.14,0.05,0.11,-0.11,0.1,0.19,0.12,-0.32,0.14,-0.08,0.1,-0.31,0.12,0.24,0.12,0.13,0.12,0.48,0.13,1.03,0.14,0.13,0.11,<0.35,,-0.16,0.12,0.39,0.12,0.47,0.14,<0.84,
sgr434,-2.7,0.16,0.05,0.18,0.94,0.09,0.22,0.08,-0.54,0.27,0.76,0.1,0.44,0.08,-0.02,0.08,0.27,0.1,-0.33,0.05,0.2,0.08,-0.55,0.12,0.33,0.05,0.16,0.03,0.13,0.12,0.35,0.18,-0.1,0.1,0.28,0.09,-0.57,0.1,,,<0.06,,<0.11,
srg438,-2.53,0.16,0.2,0.15,-0.56,0.04,-0.21,0.1,-1.46,0.11,0.02,0.08,-0.06,0.07,-0.48,0.08,-0.01,0.09,-0.35,0.05,,,-0.58,0.12,-0.45,0.09,-0.27,0.15,<0.3,,-0.56,0.24,<0.18,,<0.37,,-0.84,0.09,<0.43,,<0.56,,<1.49,
srg441,-2.78,0.2,-0.88,0.15,0.47,0.16,0.25,0.07,-0.52,0.17,0.62,0.07,0.35,0.09,-0.09,0.07,0.25,0.1,-0.32,0.11,,,-0.74,0.11,0.0,0.1,-0.01,0.09,-0.3,0.19,-0.7,0.12,-0.77,0.07,<0.05,,-0.83,0.08,-0.28,0.17,-0.58,0.11,<0.15,
