Name,[Fe/H],e_[Fe/H],[C/H],e_[C/H],[Na I/H],e_[Na I/H],[Mg I/H],e_[Mg I/H],[Al I/H],e_[Al I/H],[Si I/H],e_[Si I/H],[Ca I/H],e_[Ca I/H],[Sc II/H],e_[Sc II/H],[Ti II/H],e_[Ti II/H],[Cr I/H],e_[Cr I/H],[Cr II/H],e_[Cr II/H],[Mn I/H],e_[Mn I/H],[Co I/H],e_[Co I/H],[Ni I/H],e_[Ni I/H],[Zn I/H],e_[Zn I/H],[Sr II/H],e_[Sr II/H],[Y II/H],e_[Y II/H],[Zr II/H],e_[Zr II/H],[Ba II/H],e_[Ba II/H],[La II/H],e_[La II/H],[Eu II/H],e_[Eu II/H],[Dy II/H],e_[Dy II/H]
srg421,-2.81,0.16,-3.14,0.29,-2.47,0.22,-2.31,0.14,-3.36,0.28,-2.26,0.19,-2.51,0.11,-2.77,0.1,-2.49,0.12,-3.04,0.17,-2.76,0.08,-3.38,0.11,-2.56,0.18,-2.57,0.16,-2.7,0.06,-2.63,0.24,-2.72,0.12,-2.56,0.09,-2.41,0.17,-2.19,0.12,-1.75,0.09,-1.62,0.14
srg422,-1.93,0.19,-2.55,0.23,-1.7,0.23,-1.84,0.19,-2.72,0.26,-1.66,0.2,-1.69,0.15,-1.78,0.15,-1.42,0.18,-2.13,0.24,-1.76,0.11,-2.37,0.12,-1.81,0.23,-1.85,0.14,-1.8,0.06,-1.85,0.14,-2.04,0.11,-1.66,0.08,-1.62,0.24,-1.72,0.09,-1.31,0.1,-1.42,0.13
srg423,-2.52,0.08,-2.81,0.1,-2.24,0.16,-2.2,0.09,-3.15,0.13,-2.06,0.16,-2.2,0.06,-2.38,0.11,-2.19,0.11,-2.74,0.11,-2.54,0.09,-3.0,0.05,-2.33,0.1,-2.5,0.09,-2.4,0.04,-2.59,0.22,-2.9,0.08,-2.57,0.07,-2.93,0.08,-2.39,0.07,-2.26,0.08,-2.26,0.1
srg424,-2.43,0.17,-2.5,0.28,-2.15,0.25,-2.13,0.16,-2.77,0.17,-2.03,0.24,-2.13,0.12,-2.38,0.12,-2.14,0.15,-2.78,0.16,-2.65,0.1,-2.85,0.09,-2.22,0.12,-2.35,0.15,-2.37,0.05,-2.79,0.31,-2.9,0.08,<-2.35,,-3.23,0.12,<-2.32,,-2.45,0.13,<-2.01,
srg426,-2.93,0.14,-2.91,0.3,-2.82,0.23,-2.61,0.13,-3.66,0.26,-2.53,0.22,-2.74,0.11,-3.0,0.09,-2.77,0.1,-3.21,0.18,-2.89,0.1,-3.5,0.12,-2.85,0.15,-2.96,0.17,-2.87,0.05,-3.36,0.27,-3.28,0.11,<-2.72,,-3.54,0.1,<-2.34,,-2.77,0.08,<-2.26,
srg428,-2.39,0.18,-3.06,0.26,-2.16,0.25,-2.13,0.16,-3.31,0.37,-2.04,0.2,-2.13,0.13,-2.11,0.15,-2.05,0.15,-2.68,0.2,-2.34,0.09,-2.82,0.1,-2.27,0.18,-2.35,0.15,-2.38,0.06,-2.56,0.3,-2.59,0.11,-2.3,0.08,-2.28,0.18,-2.12,0.1,-1.7,0.12,-1.38,0.07
srg430,-2.42,0.21,-3.28,0.24,-1.98,0.32,-2.05,0.18,-3.07,0.42,-2.26,0.22,-2.11,0.16,-2.27,0.14,-1.97,0.15,-2.52,0.3,-2.38,0.13,-2.67,0.15,-2.31,0.21,-2.5,0.17,-2.5,0.05,-2.37,0.12,-2.93,0.1,-2.59,0.11,-2.84,0.13,-2.66,0.11,-2.35,0.09,-2.18,0.07
sgr431,-2.82,0.18,-2.93,0.3,-2.86,0.24,-2.91,0.24,-3.92,0.32,-2.2,0.23,-2.77,0.12,-2.97,0.11,-2.68,0.15,-3.15,0.26,-2.94,0.08,-3.14,0.13,-2.58,0.18,-2.69,0.19,-2.34,0.07,-1.83,0.14,-2.74,0.11,<-2.52,,-3.02,0.16,-2.48,0.1,-2.39,0.15,<-2.03,
sgr434,-2.7,0.16,-2.66,0.27,-1.76,0.23,-2.48,0.14,-3.24,0.4,-1.95,0.21,-2.26,0.12,-2.66,0.1,-2.38,0.14,-3.03,0.18,-2.45,0.07,-3.25,0.12,-2.37,0.14,-2.54,0.15,-2.57,0.05,-2.3,0.22,-2.75,0.07,-2.37,0.08,-3.22,0.1,,,<-2.58,,<-2.54,
srg438,-2.53,0.16,-2.33,0.25,-3.1,0.17,-2.75,0.14,-4.0,0.24,-2.52,0.19,-2.59,0.12,-3.08,0.14,-2.6,0.18,-2.88,0.19,,,-3.12,0.14,-2.98,0.16,-2.8,0.28,<-2.23,,-3.15,0.3,<-2.42,,<-2.23,,-3.43,0.16,<-2.16,,<-2.04,,<-1.11,
