Dups, Keep/Remove, Name        , Simbad_Identifier, Reference    , Ref  , RA_hms       , DEC_dms      , Teff, logg, log_L, [Fe/H], ul[N/Fe], [N/Fe], [C/Fe], [C/Fe]c, [C/Fe]f, ul[Sr/Fe], [Sr/Fe], ul[Ba/Fe], [Ba/Fe], I/O, epsc_c, MP_key, Ncap_key, C_key, epsc, epsc_f, [C/H]              , [C/H]f             , [Sr/H]             , ul[Sr/H], [Ba/H]             , ul[Ba/H], [Sr/Ba]             , ul[Sr/Ba]
A   , Remove     , CS 29497-040, HE 0044-2459     , Lai+2007     , LAI07, 00:46:35.8758, -24:43:02.290, 5487, 3.41,  0.84, -2.63 ,         ,       , 0.31  ,    0.0 , 0.31   ,      0.03,        , -0.89    ,        ,   1,   0.0 , VMP   ,         ,      , 6.11,   6.11, -2.32              , -2.32              ,                    , -2.6    ,                    , -3.52   ,                     ,      0.92
A   , Keep       , HE 0044-2459, HE 0044-2459     , Barklem+2005 , BAR05, 00:46:35.8758, -24:43:02.290, 5242, 2.92,  1.25, -3.28 ,         ,       , 0.41  ,    0.0 , 0.41   ,          , -1.55  ,          ,        ,   1,   0.0 , EMP   ,         ,      , 5.56,   5.56, -2.8699999999999997, -2.8699999999999997, -4.83              ,         ,                    ,         ,                     ,       
B   , Keep       , HE 0132-2429, HE 0132-2439     , Cohen+2008   , COH08, 01:34:58.8596, -24:24:18.618, 5294, 2.75,  1.44, -3.6  ,         ,   1.22, 0.83  ,    0.01, 0.84   ,          , 0.13   ,          , -0.85  ,   1,   0.01, EMP   ,         , NO   , 5.66,   5.67, -2.77              , -2.7600000000000002, -3.47              ,         , -4.45              ,         , 0.98                ,       
B   , Remove     , HE 0132-2439, HE 0132-2439     , Yong+2013    , YON13, 01:34:58.8596, -24:24:18.618, 5249, 2.63,  1.55, -3.79 ,         ,   1.07, 0.62  ,    0.01, 0.63   ,          ,        ,          , -0.88  ,   1,   0.01, EMP   ,         ,      , 5.26,   5.27, -3.17              , -3.16              ,                    ,         , -4.67              ,         ,                     ,       
C   , Keep       , CS 22968-014, HE 0305-5442     , Yong+2013    , YON13, 03:06:29.5014, -54:30:32.498, 4864, 1.6 ,  2.44, -3.58 ,         ,   0.24, 0.25  ,    0.25, 0.5    ,          , -1.69  ,          , -1.77  ,   1,   0.25, EMP   ,         ,      , 5.1 ,   5.35, -3.33              , -3.08              , -5.27              ,         , -5.35              ,         , 0.08000000000000007 ,       
C   , Remove     , HE 0305-5442, HE 0305-5442     , Cohen+2013   , COH13, 03:06:29.5014, -54:30:32.498, 4904, 1.7 ,  2.36, -3.3  ,         ,       , 0.27  ,    0.16, 0.43   ,          ,        ,          , -2.41  ,   1,   0.16, EMP   ,         ,      , 5.4 ,   5.56, -3.03              , -2.8699999999999997,                    ,         , -5.71              ,         ,                     ,       
D   , Remove     , CS 22948-066, HE 2141-3741     , Roederer+2014, ROE14, 21:44:51.1647, -37:27:55.017, 4830, 1.55,  2.48, -3.18 ,         ,   1.05, -0.74 ,    0.36, -0.38  ,          , -0.35  ,          , -1.15  ,   1,   0.36, EMP   ,         ,      , 4.51,   4.87, -3.92              , -3.56              , -3.5300000000000002,         , -4.33              ,         , 0.7999999999999999  ,       
D   , Keep       , HE 2141-3741, HE 2141-3741     , Placco+2014a , PLA4a, 21:44:51.1647, -37:27:55.017, 4945, 1.0 ,  3.07, -3.3  ,         ,   1.37, 0.07  ,    0.76, 0.83   ,          , -0.57  ,          , -1.28  ,   1,   0.76, EMP   ,         , NO   , 5.2 ,   5.96, -3.23              , -2.4699999999999998, -3.8699999999999997,         , -4.58              ,         , 0.7100000000000001  ,       
E   , Remove     , CS 29493-090, HE 2156-3130     , Barklem+2005 , BAR05, 21:59:05.7785, -31:16:12.133, 4692, 1.28,  2.7 , -3.13 ,         ,   0.76, 0.7   ,    0.53, 1.23   ,          ,        ,          , 0.52   ,   1,   0.53, EMP   ,         , CE   , 6.0 ,   6.53, -2.4299999999999997, -1.9               ,                    ,         , -2.61              ,         ,                     ,       
E   , Keep       , HE 2156-3130, HE 2156-3130     , Barklem+2005 , BAR05, 21:59:05.7785, -31:16:12.133, 4692, 1.28,  2.7 , -3.13 ,         ,       , 0.65  ,    0.54, 1.19   ,          , -0.8   ,          , 0.43   ,   1,   0.54, EMP   ,         , CE   , 5.95,   6.49, -2.48              , -1.94              , -3.9299999999999997,         , -2.6999999999999997,         , -1.23               ,       
