Name,Simbad_Identifier,System,RA_hms,DEC_dms,Date,Slit,t_exp,Vel,e_Vel,SNR4500,SNR6500
J002518,2MASS J00251849-7140074,Small Magellanic Cloud,00:25:18.47,-71:40:07.50,"2017,Jul,03 07:29:38",1.0,3600,100.5,1.1,22,45
J002623,2MASS J00262394-7128549,Small Magellanic Cloud,00:26:23.95,-71:28:54.94,"2017,Jul,02 08:05:08",1.0,14400,133.7,0.9,25,60
J002639,2MASS J00263959-7122102,Small Magellanic Cloud,00:26:39.60,-71:22:10.26,"2017,Jun,29 07:59:59",1.0,3600,151.3,1.0,15,31
J002737,2MASS J00273753-7125114,Small Magellanic Cloud,00:27:37.55,-71:25:11.56,"2017,Jun,28 09:06:17",1.0,3600,149.4,2.1,15,47
J051216,2MASS J05121686-6517147,Large Magellanic Cloud,05:12:16.85,-65:17:14.76,"2018,Jan,07 05:37:02",1.0,3584,336.2,1.1,14,50
J051335,2MASS J05133509-7109322,Large Magellanic Cloud,05:13:35.10,-71:09:32.18,"2018,Jan,08 04:44:02",1.0,5400,186.9,1.0,18,45
J051416,2MASS J05141665-6454310,Large Magellanic Cloud,05:14:16.65,-64:54:31.30,"2018,Jan,07 00:56:51",1.0,19800,298.9,1.4,30,65
J051431,2MASS J05143154-6505189,Large Magellanic Cloud,05:14:31.55,-65:05:19.02,"2018,Jan,08 03:41:25",1.0,3600,304.3,1.3,15,35
J051503,2MASS J05150380-6647003,Large Magellanic Cloud,05:15:03.79,-66:47:00.28,"2018,Jan,07 04:03:27",1.0,5400,356.8,1.5,20,60
J051600,2MASS J05160009-6207287,Large Magellanic Cloud,05:16:00.09,-62:07:28.70,"2020,Oct,21 07:24:32",1.0,6235,266.0,1.1,25,60
J052240,2MASS J05224088-6951471,Large Magellanic Cloud,05:22:40.89,-69:51:47.08,"2016,Jan,20 01:23:29",0.7,17410,265.3,3.5,30,75
J052422,2MASS J05242202-6945073,Large Magellanic Cloud,05:24:22.03,-69:45:07.22,"2016,Jan,18 01:16:45",0.7,25200,309.0,1.3,15,50
J064119,2MASS J06411906-7016314,Large Magellanic Cloud,06:41:19.05,-70:16:31.42,"2020,Oct,21 04:59:20",1.0,7200,320.3,1.1,25,76
