Table 1 
Characteristics of the Archival Spectra


Star	lambda	Instrument	t _exp	R equiv lambda/Deltalambda	S/N @ lambda	Program	PI	
	(Aring)		(s)					
HD 2454	1970-2770	STIS	1929	30,000	40 @ 2000 Aring	GO-9048	Deliyannis	
	2290-3110	STIS	1440	30,000	50 @ 3050 Aring	GO-7433	Heap	
	3030-4515	HIRES	420	49,000	50 @ 3500 Aring	H2aH	Boesgaard	
	3790-6905	HARPS	60	115,000	100 @ 5000 Aring	074.C-0364(A)	Robichon	
	5755-8150	HIRES	120	49,000	500 @ 6000 Aring	H39aH	Boesgaard	
HD 16220	1990-2815	STIS	1975	30,000	30 @ 2100 Aring	GO-9048	Deliyannis	
	3050-3825	HIRES	100	49,000	150 @ 3500 Aring	U11H	Prochaska	
	3950-4905	HIRES	100	49,000	300 @ 4500 Aring	U11H	Prochaska	
	4950-5855	HIRES	100	49,000	200 @ 5500 Aring	U11H	Prochaska	
HD 76932	1880-2145	STIS	23859	110,000	30 @ 2000 Aring	GO-9804	Duncan	
	3050-3865	UVES	900	51,000	250 @ 3500 Aring	67.D-0439(A)	Primas	
	3760-4980	UVES	96	41,000	150 @ 4000 Aring	076.B-0055(A)	Silva	
	4785-5750	UVES	130	62,000	350 @ 5000 Aring	67.D-0439(A)	Primas	
	5835-6805	UVES	30	62,000	300 @ 6000 Aring	67.D-0439(A)	Primas	
HD 94028	1885-2145	STIS	33048	110,000	20 @ 2000 Aring	GO-8197	Duncan	
	3935-4810 ^a	HIRES	270	67,000	200 @ 4500 Aring	N01H	Latham	
	3695-approx7700	Tull	3300	33,000	145 @ 5200 Aring	New observation	Roederer	
HD 107113	approx1800-2360	STIS	2281	30,000	40 @ 2000 Aring	GO-7433	Heap	
	4430-6770	HIRES	180	50,000	350 @ 5000 Aring	H2aH	Boesgaard	
HD 140283	1935-2210	STIS	8337	110,000	25 @ 2000 Aring	GO-7348	Edvardsson	
	2390-3135	STIS	11077	50,000	40 @ 3000 Aring	GO-9455	Peterson	
	3785-6915	HARPS	2700	115,000	250 @ 4500 Aring	080.D-0347(A)	Heiter	
Note.
a The iodine cell was inserted during these observations, so we only make use of the blue region of the spectrum unaffected by I_2 absorption.
