Table 7 
Derived Final Abundances I


Species	Z	SS	HD 108317					HD 122563					
		log epsilon	log epsilon	[X/Fe]	sigma_stat	sigma_tot	N	log epsilon	[X/Fe]	sigma_stat	sigma_tot	N	
Fe I	26	+7.50	+4.97	+0.00	0.09	0.15	300	+4.44	+0.00	0.10	0.16	211	
Fe II	26	+7.50	+5.13	+0.00	0.14	0.22	55	+4.89	+0.00	0.12	0.20	20	
Cu I	29	+4.19	+0.70	-0.96	0.11	0.16	2	+0.10	-1.03	0.18	0.22	1	
Zn I	30	+4.56	+2.26	+0.23	0.09	0.15	3	+1.99	+0.49	0.17	0.21	4	
Ge I	32	+3.65	+0.17	-0.95	0.12	0.17	3	-0.88	-1.47	0.17	0.21	3	
Rb I	37	+2.52	<+1.40	<+1.41	 ... 	 ... 	1	<+1.20	<+1.74	 ... 	 ... 	1	
Sr II	38	+2.87	+0.48	-0.02	0.10	0.19	2	-0.02	-0.28	0.09	0.19	3	
Y II	39	+2.21	-0.42	-0.26	0.11	0.20	10	-0.95	-0.55	0.13	0.21	10	
Zr II	40	+2.58	+0.45	+0.24	0.11	0.20	39	-0.16	-0.13	0.14	0.22	26	
Nb II	41	+1.46	-0.86	+0.05	0.10	0.19	3	-1.52	-0.37	0.14	0.22	3	
Mo I	42	+1.88	-0.23	+0.42	0.14	0.19	1	-1.22	-0.04	0.29	0.31	1	
Mo II	42	+1.88	<+0.24	<+0.73	 ... 	 ... 	1	<-0.65	<+0.08	 ... 	 ... 	1	
Ru I	44	+1.75	-0.04	+0.74	0.11	0.16	2	-1.04	+0.27	0.24	0.27	3	
Rh I	45	+1.06	-0.84	+0.63	0.24	0.27	1	-1.73	+0.27	0.29	0.31	1	
Pd I	46	+1.65	-0.67	+0.21	0.13	0.18	2	-1.78	-0.37	0.30	0.32	1	
Ag I	47	+1.20	-1.34	-0.01	0.17	0.21	2	<-1.63	<+0.23	 ... 	 ... 	2	
Cd I	48	+1.71	-0.87	-0.05	0.25	0.28	1	<-2.85	<-1.50	 ... 	 ... 	1	
Sn I	50	+2.07	<+0.80	<+1.26	 ... 	 ... 	1	<+0.38	<+1.37	 ... 	 ... 	1	
Te I	52	+2.18	+0.02	+0.37	0.21	0.24	1	 ... 	 ... 	 ... 	 ... 	 ... 	
Ba II	56	+2.18	-0.32	-0.13	0.10	0.19	4	-1.78	-1.35	0.14	0.22	2	
La II	57	+1.10	-1.12	+0.15	0.05	0.17	7	-2.48	-0.97	0.18	0.24	3	
Ce II	58	+1.58	-0.68	+0.11	0.04	0.17	11	-1.94	-0.91	0.07	0.18	6	
Pr II	59	+0.72	-0.90	+0.75	0.16	0.23	2	<-2.15	<-0.26	 ... 	 ... 	1	
Nd II	60	+1.42	-0.71	+0.24	0.07	0.18	12	-2.06	-0.87	0.09	0.19	3	
Sm II	62	+0.96	-1.05	+0.36	0.11	0.20	5	-2.31	-0.66	0.11	0.20	3	
Eu II	63	+0.52	-1.37	+0.48	0.06	0.18	5	-2.77	-0.68	0.09	0.19	3	
Gd II	64	+1.07	-0.82	+0.48	0.10	0.19	6	-2.30	-0.76	0.17	0.24	1	
Tb II	65	+0.30	-1.30	+0.77	0.24	0.29	1	 ... 	 ... 	 ... 	 ... 	 ... 	
Dy II	66	+1.10	-0.75	+0.52	0.08	0.18	9	-2.39	-0.88	0.17	0.24	1	
Ho II	67	+0.48	-1.50	+0.39	0.12	0.20	2	<-2.43	<-0.30	 ... 	 ... 	1	
Er II	68	+0.92	-0.94	+0.51	0.06	0.18	5	 ... 	 ... 	 ... 	 ... 	 ... 	
Tm II	69	+0.10	-1.80	+0.47	0.10	0.19	2	 ... 	 ... 	 ... 	 ... 	 ... 	
Yb II	70	+0.92	-1.13	+0.32	0.14	0.22	1	-2.69	-1.00	0.17	0.24	1	
Lu II	71	+0.10	-1.64	+0.63	0.20	0.26	1	-2.89	-0.38	0.29	0.33	1	
Hf II	72	+0.85	-0.99	+0.53	0.21	0.27	2	-2.47	-0.71	0.38	0.41	1	
Os I	76	+1.40	-0.50	+0.63	0.20	0.23	1	<-1.25	<+0.41	 ... 	 ... 	1	
Os II	76	+1.40	-0.88	+0.09	0.20	0.26	1	 ... 	 ... 	 ... 	 ... 	 ... 	
Ir I	77	+1.38	-0.07	+1.08	0.32	0.34	3	<-1.35	<+0.33	 ... 	 ... 	3	
Pt I	78	+1.62	-0.46	+0.45	0.14	0.19	2	<-2.15	<-0.71	 ... 	 ... 	2	
Au I	79	+0.80	-1.64	+0.09	0.27	0.30	1	 ... 	 ... 	 ... 	 ... 	 ... 	
Pb I	82	+2.04	<-0.26	<+0.23	 ... 	 ... 	3	<-1.45	<-0.43	 ... 	 ... 	3	
Bi I	83	+0.65	<+1.04	<+2.92	 ... 	 ... 	1	<+0.15	<+2.56	 ... 	 ... 	1	
Th II	90	+0.06	-1.99	+0.32	0.13	0.21	1	 ... 	 ... 	 ... 	 ... 	 ... 	
