Table 8 
Derived Final Abundances II


Species	Z	SS	HD 126238					HD 128279					
		log epsilon	log epsilon	[X/Fe]	sigma_stat	sigma_tot	N	log epsilon	[X/Fe]	sigma_stat	sigma_tot	N	
Fe I	26	+7.50	+5.52	+0.00	0.10	0.16	217	+5.02	+0.00	0.09	0.15	266	
Fe II	26	+7.50	+5.57	+0.00	0.10	0.19	26	+5.04	+0.00	0.14	0.22	48	
Cu I	29	+4.19	+1.37	-0.84	0.21	0.24	2	+0.79	-0.92	0.11	0.16	2	
Zn I	30	+4.56	+2.64	+0.06	0.10	0.16	4	+2.18	+0.10	0.08	0.15	3	
Ge I	32	+3.65	+0.62	-1.05	0.27	0.30	2	-0.03	-1.20	0.25	0.28	3	
Rb I	37	+2.52	<+1.70	<+1.16	 ... 	 ... 	1	<+1.60	<+1.56	 ... 	 ... 	1	
Sr II	38	+2.87	+0.98	+0.04	0.18	0.24	1	-0.18	-0.59	0.09	0.19	2	
Y II	39	+2.21	-0.10	-0.38	0.10	0.19	8	-0.89	-0.64	0.13	0.21	7	
Zr II	40	+2.58	+0.74	+0.09	0.17	0.24	25	+0.00	-0.12	0.11	0.20	27	
Nb II	41	+1.46	-0.36	+0.11	0.12	0.20	4	-0.88	+0.12	0.21	0.27	1	
Mo I	42	+1.88	+0.18	+0.28	0.20	0.23	1	-0.67	-0.07	0.13	0.18	1	
Mo II	42	+1.88	<+0.43	<+0.48	 ... 	 ... 	1	<+0.11	<+0.69	 ... 	 ... 	1	
Ru I	44	+1.75	+0.09	+0.32	0.12	0.17	3	-0.63	+0.10	0.15	0.19	1	
Rh I	45	+1.06	-0.65	+0.27	0.36	0.38	3	<-0.61	<+0.81	 ... 	 ... 	1	
Pd I	46	+1.65	-0.32	+0.01	0.12	0.17	3	-1.24	-0.41	0.24	0.27	1	
Ag I	47	+1.20	-1.01	-0.23	0.36	0.38	1	<-1.11	<+0.17	 ... 	 ... 	1	
Cd I	48	+1.71	 ... 	 ... 	 ... 	 ... 	 ... 	-1.38	-0.61	0.27	0.30	1	
Sn I	50	+2.07	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Te I	52	+2.18	 ... 	 ... 	 ... 	 ... 	 ... 	-0.18	+0.12	0.22	0.25	1	
Ba II	56	+2.18	-0.03	-0.28	0.13	0.21	2	-1.03	-0.75	0.08	0.18	3	
La II	57	+1.10	-0.90	-0.07	0.06	0.18	9	-1.64	-0.28	0.10	0.19	4	
Ce II	58	+1.58	-0.49	-0.14	0.06	0.18	13	-1.15	-0.27	0.08	0.18	3	
Pr II	59	+0.72	-1.08	+0.13	0.13	0.21	2	 ... 	 ... 	 ... 	 ... 	 ... 	
Nd II	60	+1.42	-0.52	-0.01	0.10	0.19	23	-1.23	-0.19	0.06	0.18	4	
Sm II	62	+0.96	-0.93	+0.04	0.10	0.19	13	-1.50	+0.00	0.18	0.24	2	
Eu II	63	+0.52	-1.19	+0.22	0.11	0.20	3	-1.96	-0.02	0.06	0.18	4	
Gd II	64	+1.07	-0.68	+0.18	0.10	0.19	9	 ... 	 ... 	 ... 	 ... 	 ... 	
Tb II	65	+0.30	-1.61	+0.02	0.20	0.26	1	 ... 	 ... 	 ... 	 ... 	 ... 	
Dy II	66	+1.10	-0.60	+0.23	0.08	0.18	8	-1.35	+0.01	0.11	0.20	4	
Ho II	67	+0.48	-1.37	+0.08	0.36	0.40	1	-1.71	+0.27	0.24	0.29	1	
Er II	68	+0.92	-0.78	+0.23	0.20	0.26	1	-1.54	+0.00	0.09	0.19	3	
Tm II	69	+0.10	-1.60	+0.23	0.12	0.20	3	-2.24	+0.12	0.13	0.21	1	
Yb II	70	+0.92	-0.93	+0.08	0.20	0.26	1	-1.69	-0.15	0.13	0.21	1	
Lu II	71	+0.10	 ... 	 ... 	 ... 	 ... 	 ... 	-1.64	+0.72	0.21	0.27	1	
Hf II	72	+0.85	-0.99	+0.09	0.23	0.28	2	-1.07	+0.54	0.21	0.27	1	
Os I	76	+1.40	-0.38	+0.20	0.39	0.41	1	<-0.39	<+0.69	 ... 	 ... 	1	
Os II	76	+1.40	-0.86	-0.33	0.39	0.42	1	<-1.19	<-0.13	 ... 	 ... 	1	
Ir I	77	+1.38	-0.28	+0.32	0.18	0.22	2	<-0.29	<+0.81	 ... 	 ... 	2	
Pt I	78	+1.62	-0.34	+0.02	0.39	0.41	1	<-1.19	<-0.33	 ... 	 ... 	2	
Au I	79	+0.80	 ... 	 ... 	 ... 	 ... 	 ... 	<-0.49	<+1.19	 ... 	 ... 	1	
Pb I	82	+2.04	+0.16	+0.10	0.23	0.26	2	<-0.09	<+0.35	 ... 	 ... 	1	
Bi I	83	+0.65	<+1.43	<+2.76	 ... 	 ... 	1	<+0.91	<+2.74	 ... 	 ... 	1	
Th II	90	+0.06	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
