Table 1 
Log of Observations


Star	Program ID	Data Set	Date	Time	
			(UT)	(ks)	
Observations with HST/STIS					
					
HD 108317	GO-12268	OBJQ01010-50	2011 Jun 11	12.9	
HD 108317	GO-12268	OBJQ02010-50	2011 Jul 13	12.9	
HD 108317	GO-12268	OBJQ03010-50	2011 Jul 15	12.9	
HD 122563	GO-8111	O5EL01010-40	1999 Jul 29	10.4	
HD 122563	GO-12268	OBJQ09010-40	2011 Jul 24	9.9	
HD 122563	GO-12268	OBJQ10010-40	2011 Aug 06	9.9	
HD 126238	GO-12268	OBJQ07010-50	2011 Jul 20	13.4	
HD 126238	GO-12268	OBJQ08010-50	2011 Jul 21	13.4	
HD 128279	GO-12268	OBJQ04010-50	2011 Aug 24	13.0	
HD 128279	GO-12268	OBJQ05010-50	2011 Aug 26	13.0	
HD 128279	GO-12268	OBJQ06010-50	2011 Sep 05	13.0	
					
Observations with Magellan/MIKE					
					
HD 108317	 ... 	 ... 	2009 Feb 21	0.12	
HD 122563	 ... 	 ... 	2009 Feb 19	0.03	
HD 126238	 ... 	 ... 	2009 Sep 04	0.10	
HD 128279	 ... 	 ... 	2004 Jun 22	0.02	
HD 128279	 ... 	 ... 	2004 Jul 14	0.20	
HD 128279	 ... 	 ... 	2004 Jul 23	0.90	
HD 128279	 ... 	 ... 	2005 May 31	0.24	
					
Observations with Keck/HIRES					
					
HD 108317	 ... 	 ... 	1999 Apr 21	3.30	
HD 122563	 ... 	 ... 	1999 Apr 21	0.60	
HD 126238	 ... 	 ... 	1999 Apr 21	2.04	
HD 128279	 ... 	 ... 	1999 Apr 22	2.40	
