Table 12 
Hyperfine Structure and Isotopic Line Component Patterns for Pb I Lines


Wavenumber	lambda_air	F_upper	F_lower	Component Position	Component Position	Strength	Isotope	
(cm^-1)	(Aring)			(cm^-1)	(Aring)			
35287.2545	2833.05104	1.0	0.0	-0.11038	+0.008862	0.014	204	
35287.2545	2833.05104	1.0	0.0	-0.04415	+0.003545	0.241	206	
35287.2545	2833.05104	1.5	0.5	+0.13053	-0.010480	0.147	207	
35287.2545	2833.05104	0.5	0.5	-0.30988	+0.024880	0.074	207	
35287.2545	2833.05104	1.0	0.0	+0.03012	-0.002418	0.524	208	
27467.9949	3639.56335	1.0	1.0	-0.12122	+0.016062	0.014	204	
27467.9949	3639.56335	1.0	1.0	-0.04856	+0.006435	0.241	206	
27467.9949	3639.56335	1.5	0.5	+0.04930	-0.006533	0.025	207	
27467.9949	3639.56335	1.5	1.5	+0.16886	-0.022374	0.123	207	
27467.9949	3639.56335	0.5	0.5	-0.39110	+0.051824	0.049	207	
27467.9949	3639.56335	0.5	1.5	-0.27155	+0.035982	0.025	207	
27467.9949	3639.56335	1.0	1.0	+0.03308	-0.004383	0.524	208	
27140.6795	3683.45748	0.0	1.0	-0.12332	+0.016737	0.014	204	
27140.6795	3683.45748	0.0	1.0	-0.04938	+0.006702	0.241	206	
27140.6795	3683.45748	0.5	0.5	-0.09792	+0.013290	0.074	207	
27140.6795	3683.45748	0.5	1.5	+0.02163	-0.002935	0.147	207	
27140.6795	3683.45748	0.0	1.0	+0.03369	-0.004572	0.524	208	
24636.9301	4057.80118	1.0	2.0	-0.12020	+0.019798	0.014	204	
24636.9301	4057.80118	1.0	2.0	-0.04815	+0.007931	0.241	206	
24636.9301	4057.80118	1.5	2.5	+0.04233	-0.006973	0.133	207	
24636.9301	4057.80118	1.5	1.5	+0.25922	-0.042695	0.015	207	
24636.9301	4057.80118	0.5	1.5	-0.18119	+0.029843	0.074	207	
24636.9301	4057.80118	1.0	2.0	+0.03283	-0.005407	0.524	208	
