Found,JINA_ID,Query_ID,RA_input,DEC_input,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,K,U,R,I,H,J,V,B,rvz_qual,pmdec,rvz_nature,otype,plx_value,pmra,sp_bibcode,sp_qual,sp_type,matched_id
True,,BD+44 493,,,BD+44   493,36.70724598067999,44.96292326976,0.0188,0.0154,90,O,2020yCat.1350....0G,7.202000141143799,,9.072999954223633,,7.269000053405762,7.658999919891357,9.109999656677246,9.630000114440918,A,-32.068,s,Pe*,4.8661,118.221,2019A&A...623A.128H,C,CEMP-no,BD+44   493
True,,BD+44 493,,,BD+44   493,36.70724598067999,44.96292326976,0.0188,0.0154,90,O,2020yCat.1350....0G,7.202000141143799,,9.072999954223633,,7.269000053405762,7.658999919891357,9.109999656677246,9.630000114440918,A,-32.068,s,Pe*,4.8661,118.221,2019A&A...623A.128H,C,CEMP-no,BD+44   493
True,,BPS CS 22877-001,,,BPS CS 22877-0001,198.48071948989997,-12.194907237329998,0.0134,0.0102,90,O,2020yCat.1350....0G,9.991000175476074,,11.694999694824219,11.218000411987305,10.109000205993652,10.555000305175781,12.380000114440918,12.779999732971191,A,-22.059,s,Pe*,0.4249,-16.215,2019A&A...623A.128H,C,CEMP-no,BPS CS 22877-0001
True,,BPS CS 22877-001,,,BPS CS 22877-0001,198.48071948989997,-12.194907237329998,0.0134,0.0102,90,O,2020yCat.1350....0G,9.991000175476074,,11.694999694824219,11.218000411987305,10.109000205993652,10.555000305175781,12.380000114440918,12.779999732971191,A,-22.059,s,Pe*,0.4249,-16.215,2019A&A...623A.128H,C,CEMP-no,BPS CS 22877-0001
True,,BPS CS 22877-001,,,BPS CS 22877-0001,198.48071948989997,-12.194907237329998,0.0134,0.0102,90,O,2020yCat.1350....0G,9.991000175476074,,11.694999694824219,11.218000411987305,10.109000205993652,10.555000305175781,12.380000114440918,12.779999732971191,A,-22.059,s,Pe*,0.4249,-16.215,2019A&A...623A.128H,C,CEMP-no,BPS CS 22877-0001
True,,BPS CS 22877-001,,,BPS CS 22877-0001,198.48071948989997,-12.194907237329998,0.0134,0.0102,90,O,2020yCat.1350....0G,9.991000175476074,,11.694999694824219,11.218000411987305,10.109000205993652,10.555000305175781,12.380000114440918,12.779999732971191,A,-22.059,s,Pe*,0.4249,-16.215,2019A&A...623A.128H,C,CEMP-no,BPS CS 22877-0001
True,,BPS CS 22878-101,,,BPS CS 22878-0101,251.38104727257,8.24596396275,0.012,0.0089,90,O,2020yCat.1350....0G,11.241999626159668,,13.602999687194824,12.67300033569336,11.369000434875488,11.873000144958496,,14.60099983215332,B,1.275,s,Pe*,0.1103,-7.009,1995AJ....109.2757M,D,KIIvw,BPS CS 22878-0101
True,,BPS CS 22891-200,,,BPS CS 22891-0200,293.82949019686,-61.70677057784,0.009,0.0106,90,O,2020yCat.1350....0G,11.413999557495117,,,12.789999961853027,11.461000442504883,11.994999885559082,13.930000305175781,14.770000457763672,C,0.731,s,Pe*,0.0944,-5.015,2016ApJ...833...20Y,C,CEMP-no,BPS CS 22891-0200
True,,BPS CS 22893-010,,,BPS CS 22893-0010,344.54885554653,-11.94595331839,0.0326,0.022,90,O,2020yCat.1350....0G,12.803000450134277,,14.699999809265137,,12.878999710083008,13.326000213623047,14.729999542236328,15.34000015258789,D,-12.52,,Pe*,0.2389,-4.946,,,,BPS CS 22893-0010
True,,BPS CS 22943-201,,,BPS CS 22943-0201,309.11999367747,-43.825038201249995,0.0196,0.0155,90,O,2020yCat.1350....0G,13.763999938964844,,15.039999961853027,,,,15.979999542236328,15.609999656677246,D,-22.322,,Pe*,0.5299,8.931,2016ApJ...833...20Y,C,CEMP-no,BPS CS 22943-0201
True,,BPS CS 22943-201,,,BPS CS 22943-0201,309.11999367747,-43.825038201249995,0.0196,0.0155,90,O,2020yCat.1350....0G,13.763999938964844,,15.039999961853027,,,,15.979999542236328,15.609999656677246,D,-22.322,,Pe*,0.5299,8.931,2016ApJ...833...20Y,C,CEMP-no,BPS CS 22943-0201
True,,BPS CS 22943-201,,,BPS CS 22943-0201,309.11999367747,-43.825038201249995,0.0196,0.0155,90,O,2020yCat.1350....0G,13.763999938964844,,15.039999961853027,,,,15.979999542236328,15.609999656677246,D,-22.322,,Pe*,0.5299,8.931,2016ApJ...833...20Y,C,CEMP-no,BPS CS 22943-0201
