Table 14 
Mean Abundances in CS 22958-042


Species	N_lines	log epsilon	[X/Fe]^a	sigma_statistical	sigma_total	sigma_neutrals	sigma_ions	
Fe I	19	4.10	-3.40	0.06	0.21	0.00	0.00	
Fe II	1	4.51	-2.99	0.11	0.16	0.00	0.00	
Li I	1	<1.33	 ... 	 ... 	 ... 	 ... 	 ... 	
C (CH)	1	7.59	2.15	0.15	0.25	0.19	0.21	
N (CN)	1	7.09	2.25	0.20	0.28	0.23	0.25	
O I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Na I	2	<4.73	<1.89	 ... 	 ... 	 ... 	 ... 	
Mg I	3	4.95	0.74	0.05	0.23	0.08	0.23	
Al I	1	2.80	-0.25	0.09	0.29	0.17	0.30	
Si I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
K I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ca I	4	3.42	0.48	0.13	0.23	0.15	0.25	
Sc II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ti I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ti II	5	1.92	-0.04	0.06	0.14	0.20	0.12	
V I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
V II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Cr I	1	2.25	0.01	0.06	0.20	0.09	0.22	
Cr II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mn I	1	1.76	-0.27	0.07	0.20	0.10	0.22	
Mn II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Co I	1	1.74	0.15	0.17	0.25	0.18	0.27	
Ni I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Cu I	1	<2.64	<1.85	 ... 	 ... 	 ... 	 ... 	
Zn I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ga I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Rb I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sr II	2	-0.45	-0.33	0.04	0.14	0.20	0.13	
Y II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Zr II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Nb II	1	<1.71	<3.24	 ... 	 ... 	 ... 	 ... 	
Mo I	1	<1.27	<2.79	 ... 	 ... 	 ... 	 ... 	
Tc I	1	<2.40	 ... 	 ... 	 ... 	 ... 	 ... 	
Ru I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sn I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ba II	2	<-1.83	<-1.02	 ... 	 ... 	 ... 	 ... 	
La II	3	<-0.69	<1.20	 ... 	 ... 	 ... 	 ... 	
Ce II	4	<0.10	<1.51	 ... 	 ... 	 ... 	 ... 	
Pr II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Nd II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sm II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Eu II	2	<-1.34	<1.13	 ... 	 ... 	 ... 	 ... 	
Gd II	1	<0.21	<2.13	 ... 	 ... 	 ... 	 ... 	
Tb II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Dy II	3	<-0.24	<1.65	 ... 	 ... 	 ... 	 ... 	
Ho II	1	<-0.55	<1.96	 ... 	 ... 	 ... 	 ... 	
Er II	1	<0.21	<2.28	 ... 	 ... 	 ... 	 ... 	
Tm II	1	<0.44	<3.33	 ... 	 ... 	 ... 	 ... 	
Yb II	1	<-0.37	<1.70	 ... 	 ... 	 ... 	 ... 	
Hf II	2	<0.61	<2.75	 ... 	 ... 	 ... 	 ... 	
Ir I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Pb I	1	<2.01	<3.37	 ... 	 ... 	 ... 	 ... 	
Th II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Note.
a [Fe/H] is indicated for Fe I and Fe II.
