Table 20 
Mean Abundances in HE 1012-1540


Species	N_lines	log epsilon	[X/Fe]^a	sigma_statistical	sigma_total	sigma_neutrals	sigma_ions	
Fe I	48	3.33	-4.17	0.07	0.16	0.00	0.00	
Fe II	1	3.74	-3.76	0.14	0.20	0.00	0.00	
Li I	1	<0.75	 ... 	 ... 	 ... 	 ... 	 ... 	
C (CH)	1	6.66	1.99	0.15	0.25	0.19	0.23	
N (NH)	1	4.81	0.74	0.30	0.36	0.32	0.35	
O I	2	<6.70	<2.18	 ... 	 ... 	 ... 	 ... 	
Na I	2	3.72	1.65	0.10	0.29	0.23	0.32	
Mg I	3	5.24	1.80	0.05	0.15	0.09	0.22	
Al I	1	2.97	0.69	0.09	0.29	0.23	0.33	
Si I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
K I	1	<1.87	<1.01	 ... 	 ... 	 ... 	 ... 	
Ca I	4	3.05	0.88	0.11	0.18	0.14	0.24	
Sc II	1	<-0.68	<-0.07	 ... 	 ... 	 ... 	 ... 	
Ti I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ti II	5	0.58	-0.61	0.10	0.17	0.20	0.17	
V I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
V II	2	<1.30	<1.13	 ... 	 ... 	 ... 	 ... 	
Cr I	1	1.12	-0.35	0.14	0.19	0.15	0.25	
Cr II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mn I	1	0.74	-0.52	0.08	0.15	0.11	0.22	
Mn II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Co I	2	1.08	0.26	0.17	0.21	0.19	0.27	
Ni I	5	2.00	-0.06	0.16	0.21	0.17	0.27	
Cu I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Zn I	3	<1.90	<1.51	 ... 	 ... 	 ... 	 ... 	
Ga I	1	<0.93	<2.06	 ... 	 ... 	 ... 	 ... 	
Rb I	1	<2.06	<3.71	 ... 	 ... 	 ... 	 ... 	
Sr II	2	-1.69	-0.80	0.05	0.15	0.18	0.15	
Y II	6	<-1.63	<-0.08	 ... 	 ... 	 ... 	 ... 	
Zr II	2	<-0.28	<0.90	 ... 	 ... 	 ... 	 ... 	
Nb II	1	<0.94	<3.24	 ... 	 ... 	 ... 	 ... 	
Mo I	1	<0.36	<2.65	 ... 	 ... 	 ... 	 ... 	
Tc I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ru I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sn I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ba II	1	-2.27	-0.69	0.07	0.16	0.19	0.16	
La II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ce II	5	<-0.71	<1.47	 ... 	 ... 	 ... 	 ... 	
Pr II	3	<-1.32	<1.72	 ... 	 ... 	 ... 	 ... 	
Nd II	4	<-0.92	<1.42	 ... 	 ... 	 ... 	 ... 	
Sm II	2	<-0.79	<2.01	 ... 	 ... 	 ... 	 ... 	
Eu II	4	<-2.05	<1.19	 ... 	 ... 	 ... 	 ... 	
Gd II	2	<-0.29	<2.40	 ... 	 ... 	 ... 	 ... 	
Tb II	2	<-1.05	<2.41	 ... 	 ... 	 ... 	 ... 	
Dy II	3	<-1.32	<1.34	 ... 	 ... 	 ... 	 ... 	
Ho II	1	<-1.22	<2.06	 ... 	 ... 	 ... 	 ... 	
Er II	3	<-1.01	<1.83	 ... 	 ... 	 ... 	 ... 	
Tm II	2	<-1.32	<2.34	 ... 	 ... 	 ... 	 ... 	
Yb II	1	<-1.60	<1.24	 ... 	 ... 	 ... 	 ... 	
Hf II	2	<-0.25	<2.66	 ... 	 ... 	 ... 	 ... 	
Ir I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Pb I	1	<1.38	<3.51	 ... 	 ... 	 ... 	 ... 	
Th II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Note.
a [Fe/H] is indicated for Fe I and Fe II.
