Name,t_exp,N_exp,SNR_3950,SNR_4550,SNR_5200,SNR_6750
BD+44 493,10800,2,85,170,220,285
CS 22877-001,5600,4,150,230,265,405
CS 22878-101,2400,1,60,95,75,115
CS 22891-200,4100,1,65,105,85,130
CS 22893-010,3600,1,45,75,65,115
CS 22943-201,10600,4,85,120,85,120
CS 22948-066,2400,2,60,95,80,130
CS 22949-037,6350,2,65,100,85,135
CS 22957-027,1000,1,40,55,60,95
CS 22958-042,9600,3,60,90,110,155
CS 22960-064,3000,1,75,110,80,110
CS 29498-043,9300,2,70,140,135,280
CS 29502-092,1800,1,50,85,90,165
CS 30314-067,1800,1,85,165,165,350
CS 30492-001,1650,1,55,75,70,115
HE 1012-1540,7200,2,60,95,85,150
