Table 15 
Mean Abundances in CS 22960-064


Species	N_lines	log epsilon	[X/Fe]^a	sigma_statistical	sigma_total	sigma_neutrals	sigma_ions	
Fe I	102	4.73	-2.77	0.05	0.14	0.00	0.00	
Fe II	12	4.73	-2.77	0.07	0.15	0.00	0.00	
Li I	1	<0.86	 ... 	 ... 	 ... 	 ... 	 ... 	
C (CH)	1	5.80	0.14	0.15	0.25	0.19	0.19	
N (NH)	1	6.41	1.35	0.30	0.36	0.32	0.32	
O I	3	<6.85	<0.93	 ... 	 ... 	 ... 	 ... 	
Na I	2	3.80	0.33	0.10	0.30	0.24	0.29	
Mg I	5	5.27	0.44	0.05	0.15	0.08	0.17	
Al I	1	3.81	0.13	0.08	0.25	0.18	0.22	
Si I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
K I	1	2.62	0.36	0.12	0.18	0.14	0.21	
Ca I	12	4.02	0.45	0.11	0.17	0.12	0.20	
Sc II	6	0.37	-0.01	0.06	0.15	0.18	0.09	
Ti I	18	2.41	0.23	0.06	0.14	0.08	0.18	
Ti II	26	2.45	0.28	0.06	0.15	0.17	0.09	
V I	1	1.01	-0.15	0.12	0.18	0.13	0.21	
V II	2	1.21	0.05	0.20	0.25	0.26	0.21	
Cr I	9	2.70	-0.17	0.05	0.14	0.08	0.18	
Cr II	2	3.01	0.14	0.08	0.16	0.19	0.11	
Mn I	4	2.28	-0.37	0.06	0.15	0.08	0.18	
Mn II	5	2.24	-0.41	0.15	0.21	0.22	0.17	
Co I	7	2.21	-0.01	0.14	0.22	0.16	0.24	
Ni I	10	3.57	0.12	0.13	0.20	0.15	0.22	
Cu I	1	<1.48	<0.06	 ... 	 ... 	 ... 	 ... 	
Zn I	2	2.19	0.40	0.06	0.14	0.08	0.18	
Ga I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Rb I	1	<2.29	<2.54	 ... 	 ... 	 ... 	 ... 	
Sr II	2	0.34	0.25	0.04	0.24	0.23	0.25	
Y II	4	-0.74	-0.18	0.10	0.17	0.19	0.12	
Zr II	3	0.16	0.35	0.06	0.15	0.18	0.09	
Nb II	1	<0.69	<2.00	 ... 	 ... 	 ... 	 ... 	
Mo I	1	<0.10	<0.99	 ... 	 ... 	 ... 	 ... 	
Tc I	1	<0.42	 ... 	 ... 	 ... 	 ... 	 ... 	
Ru I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sn I	1	<1.34	<2.04	 ... 	 ... 	 ... 	 ... 	
Ba II	4	-0.80	-0.20	0.06	0.15	0.17	0.09	
La II	4	-1.52	0.15	0.15	0.20	0.22	0.16	
Ce II	2	-1.17	0.02	0.25	0.29	0.30	0.26	
Pr II	1	<-1.20	<0.85	 ... 	 ... 	 ... 	 ... 	
Nd II	1	-1.25	0.10	0.10	0.17	0.20	0.12	
Sm II	1	-1.50	0.31	0.17	0.22	0.24	0.18	
Eu II	4	-1.91	0.35	0.08	0.16	0.19	0.11	
Gd II	2	<-0.69	<1.01	 ... 	 ... 	 ... 	 ... 	
Tb II	3	<-1.30	<1.17	 ... 	 ... 	 ... 	 ... 	
Dy II	2	-1.07	0.60	0.10	0.17	0.20	0.12	
Ho II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Er II	1	-1.46	0.39	0.18	0.23	0.25	0.20	
Tm II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Yb II	1	-1.57	0.28	0.12	0.18	0.20	0.13	
Hf II	1	<-0.60	<1.32	 ... 	 ... 	 ... 	 ... 	
Ir I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Pb I	1	<0.78	<1.51	 ... 	 ... 	 ... 	 ... 	
Th II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Note.
a [Fe/H] is indicated for Fe I and Fe II.
