Name,LiI-6707,OI-7771,OI-7774,OI-7775,NaI-5682,NaI-5688,NaI-5889,NaI-5895,KI-7664,KI-7698
CS 22166-016,0.08,,,,,,,,,
CS 22169-008,-0.03,-0.22,-0.22,,,,,,,
CS 22169-035,0.14,-0.05,-0.05,-0.05,,,,,,-0.27
CS 22171-031,-0.04,-0.26,-0.26,-0.25,,,,,,
CS 22171-037,-0.03,-0.46,-0.45,-0.45,,,-0.05,-0.05,,
CS 22172-029,0.07,-0.09,-0.09,-0.08,,,,,-0.43,
CS 22174-020,-0.03,-0.3,-0.3,-0.3,,,,,,
CS 22177-009,-0.03,-0.36,-0.35,-0.35,,,,,,
CS 22177-010,-0.04,-0.39,-0.39,-0.39,,,,,,
CS 22180-014,-0.02,-0.25,,,,,-0.32,,,
CS 22182-033,-0.04,,,,,,,-0.28,,
CS 22182-047,-0.04,-0.11,-0.11,-0.1,,,,,,-0.34
CS 22183-031,0.09,-0.07,-0.07,-0.07,,,,,,-0.24
CS 22185-007,0.11,-0.07,-0.07,-0.07,,,,-0.3,-0.35,-0.27
CS 22186-002,-0.02,-0.11,-0.11,-0.1,,,,-0.22,,-0.26
CS 22186-017,-0.02,-0.25,-0.25,-0.25,,,,,,-0.25
CS 22186-023,0.1,-0.07,,,,,,,,
CS 22189-009,0.13,-0.06,-0.06,,,,-0.07,,,
CS 22191-029,0.05,-0.21,-0.21,-0.2,,,,,,
CS 22871-104,-0.05,,,,,,,,,
CS 22872-102,-0.03,-0.36,,,,,-0.31,,,
CS 22873-072,-0.03,-0.37,-0.37,-0.36,,,,-0.08,,
CS 22873-128,0.12,-0.07,-0.06,-0.06,,,-0.25,,,-0.28
CS 22874-123,-0.05,,,,,,,-0.29,,
CS 22875-029,0.05,,,,,,,,,
CS 22876-040,-0.04,-0.22,-0.21,-0.2,,,,,,
CS 22877-001,0.1,-0.07,,,,,,,,
CS 22877-011,0.06,-0.08,,,,,,,,
CS 22877-015,-0.05,,,,,,-0.56,,,
CS 22877-051,-0.04,-0.37,-0.36,-0.35,,,,,,
CS 22878-002,-0.03,,,,,,,,,
CS 22878-027,-0.03,,,,,,-0.2,,,
CS 22878-101,0.13,,,,,,,,,
CS 22879-012,-0.03,-0.36,-0.36,,,,,,-0.24,
CS 22879-029,-0.03,-0.22,-0.21,-0.2,,,-0.52,-0.45,,
CS 22879-051,-0.03,-0.46,-0.46,,,,,,,
CS 22879-094,-0.03,-0.26,-0.26,-0.26,,,,,,
CS 22879-097,0.05,,,,,,,,,
CS 22879-103,0.05,,,,,,,,,
CS 22880-067,-0.01,,,,,,,,,
CS 22880-086,0.06,,,,,,,,,
CS 22881-032,0.0,-0.11,-0.11,-0.11,,,-0.08,-0.05,,
CS 22881-036,-0.03,-0.23,-0.22,-0.21,,,-0.53,-0.55,,-0.3
CS 22881-039,0.03,,,,,,,,,
CS 22881-070,-0.03,-0.34,-0.34,-0.33,,,,,,
CS 22882-001,0.05,,,,,,,,,
CS 22882-006,-0.03,-0.23,,,,,-0.26,,-0.26,
CS 22882-012,-0.04,-0.47,-0.46,-0.45,,,,-0.45,,
CS 22882-030,-0.01,-0.15,-0.15,,,,,-0.05,,
