Table 1 
Iron Equivalent Widths and Abundances


					HD 108317		HD 128279		
Species	lambda	E.P.	log gf	NIST	Eq. Wid.	log epsilon	Eq. Wid.	log epsilon	
(Aring)	(eV)	Grade^a	(mAring)	(mAring)	
Fe I	2132.02	0.00	-1.33	C+	 ... 	 ... 	90.1	4.44	
Fe I	2145.19	0.05	-1.56	C	79.8	4.56	82.2	4.56	
Fe I	2161.58	0.11	-1.76	D+	83.0	4.89	86.1	4.89	
Fe I	2176.84	0.12	-1.66	C+	 ... 	 ... 	91.4	4.90	
Fe I	2191.20	0.12	-1.80	C	72.0	4.65	70.0	4.51	
Fe I	2196.04	0.11	-0.59	C+	144.2	4.45	156.3	4.51	
Fe I	2200.72	0.11	-0.99	C	 ... 	 ... 	140.2	4.79	
Fe I	2228.17	0.05	-2.11	D+	81.4	5.11	79.5	5.00	
Fe I	2259.28	0.05	-2.31	C	60.2	4.62	 ... 	 ... 	
Fe I	2259.51	0.00	-1.32	B+	 ... 	 ... 	187.4	5.32	
Fe I	2265.05	0.05	-2.11	C	96.3	5.38	91.0	5.24	
Fe I	2267.08	0.05	-1.75	B	 ... 	 ... 	91.8	4.88	
Fe I	2275.19	0.11	-2.32	D+	71.3	5.07	69.3	4.93	
Fe I	2283.30	0.12	-2.22	B+	92.7	5.50	 ... 	 ... 	
Fe I	2294.41	0.11	-1.54	B	83.6	4.63	86.0	4.62	
Fe I	2297.79	0.05	-1.10	D+	96.7	4.37	113.3	4.56	
Fe I	2298.66	0.11	-2.42	C	82.5	5.48	 ... 	 ... 	
Fe I	2299.22	0.09	-1.55	C	76.4	4.43	85.2	4.57	
Fe I	2309.00	0.11	-1.39	C	106.0	4.97	118.7	5.09	
Fe II	2122.45	1.96	-2.59	D+	41.2	5.06	42.4	5.00	
Fe II	2162.02	1.96	-0.75	C	87.2	4.90	88.7	4.85	
Fe II	2209.03	4.77	-0.13	C+	 ... 	 ... 	28.6	4.98	
Fe II	2251.55	0.05	-2.35	D	156.8	5.03	159.9	5.00	
Fe II	2254.41	0.11	-3.07	D	78.0	4.83	 ... 	 ... 	
Fe II	2260.86	0.11	-2.00	C+	145.4	4.84	142.6	4.75	
Fe II	2262.69	0.11	-2.22	C+	126.0	4.71	134.5	4.72	
Fe II	2268.56	0.12	-2.73	C	104.5	5.16	103.1	5.05	
Fe II	2268.82	0.05	-2.61	C+	114.7	5.02	118.2	4.99	
Fe II	2351.20	2.66	-0.23	C+	97.2	5.23	96.0	5.14	
Fe II	2351.67	5.25	-0.05	C	 ... 	 ... 	21.3	5.14	
Note.
a NIST grades correspond to accuracies of <or= 7% (B+), 10% (B), 18% (C+), 25% (C), 40% (D+), and 50% (D).
