Name,Ion,Z,logepsX_sun,N,logepsX,e_logepsX_stat,e_logepsX
HD 108317,Cu II,29,4.19,4,+1.42,0.22,0.28
HD 108317,Zn II,30,4.56,1,+2.50,0.49,0.52
HD 108317,Ge I,32,3.65,4,+0.19,0.14,0.18
HD 108317,As I,33,2.30,1,-0.30,0.56,0.57
HD 108317,Se I,34,3.34,2,+1.28,0.40,0.42
HD 108317,Mo II,42,1.88,3,-0.05,0.28,0.33
HD 108317,Cd I,48,1.71,1,-1.21,0.44,0.46
HD 108317,Cd II,48,1.71,1,-1.08,0.49,0.52
HD 108317,Te I,52,2.18,2,+0.06,0.28,0.30
HD 108317,Yb II,70,0.92,1,-1.13,0.14,0.22
HD 108317,W II,74,0.65,2,< -0.80,,
HD 108317,Os II,76,1.40,2,-0.68,0.32,0.36
HD 108317,Pt I,78,1.62,5,-0.40,0.15,0.19
HD 108317,Hg II,80,1.17,1,< +0.30,,
HD 108317,Pb II,82,2.04,1,< +0.09,,
HD 108317,Bi I,83,0.65,1,< -1.02,,
HD 128279,Cu II,29,4.19,3,+1.36,0.23,0.29
HD 128279,Zn II,30,4.56,1,+2.38,0.41,0.44
HD 128279,Ge I,32,3.65,3,-0.03,0.25,0.28
HD 128279,As I,33,2.30,1,-0.49,0.49,0.50
HD 128279,Se I,34,3.34,2,+0.55,0.34,0.36
HD 128279,Mo II,42,1.88,3,-0.56,0.22,0.28
HD 128279,Cd I,48,1.71,1,-1.34,0.34,0.36
HD 128279,Cd II,48,1.71,1,-1.30,0.40,0.43
HD 128279,Te I,52,2.18,2,-0.12,0.27,0.30
HD 128279,Yb II,70,0.92,1,-1.69,0.13,0.21
HD 128279,W II,74,0.65,2,< -0.68,,
HD 128279,Os II,76,1.40,2,< -1.28,,
HD 128279,Pt I,78,1.62,5,< -0.78,,
HD 128279,Hg II,80,1.17,1,< +0.53,,
HD 128279,Pb II,82,2.04,1,< +0.12,,
HD 128279,Bi I,83,0.65,,,,
