Found, JINA_ID, Query_ID , RA_input, DEC_input, main_id    , ra                , dec                , coo_err_maj, coo_err_min, coo_err_angle, coo_wavelength, coo_bibcode        , R                 , K                  , B                 , H                  , V                 , I                 , J                 , U                 , otype, pmra     , plx_value, pmdec   , rvz_nature, rvz_qual, sp_type        , sp_qual, sp_bibcode         , matched_id
True ,        , BD+44 493,         ,          , BD+44   493,  36.70724598067999, 44.96292326976     ,      0.0188,      0.0154,            90, O             , 2020yCat.1350....0G,  9.072999954223633,  7.202000141143799 ,  9.630000114440918,  7.269000053405762 ,  9.109999656677246,                   ,  7.658999919891357,                   , Pe*  , 118.221  ,    4.8661, -32.068 , s         , A       , CEMP-no        , C      , 2019A&A...623A.128H, BD+44   493
True ,        , G64-12   ,         ,          , Wolf 1492  , 205.01038410406997, -0.03854168151     ,      0.0243,      0.0176,            90, O             , 2020yCat.1350....0G, 11.184000015258789, 10.208000183105469 , 11.831999778747559, 10.267999649047852 , 11.451000213623047, 10.892000198364258, 10.508999824523926, 11.60099983215332 , Pe*  , -228.847 ,    3.6494, -80.078 , s         , A       , sdF0:          , D      , 1984AJ.....89..702L, G  64-12
True ,        , HD 2454  ,         ,          , HD   2454  ,   7.08351034109   , 10.1898049067      ,      0.0525,      0.0304,            90, O             , 2020yCat.1350....0G,  5.800000190734863,  4.941999912261963 ,  6.46999979019165 ,  5.057000160217285 ,                   ,                   ,  5.201000213623047,                   , SB*  , 42.022   ,   26.2526, -180.181, s         , A       , F5VSr          , C      , 2006AJ....132..161G, HD   2454
True ,        , HD 16220 ,         ,          , HD  16220  ,  39.27737243026   , 32.89108970385     ,      0.027 ,      0.0233,            90, O             , 2020yCat.1350....0G,                   ,  4.952000141143799 ,  6.710000038146973,  5.0289998054504395,  6.22599983215332 ,                   ,  5.197000026702881,                   , PM*  , 81.682   ,   20.2087, 30.259  , s         , A       , F8V            , D      , 1990ApJ...354..310B, HD  16220
True ,        , HD 43318 ,         ,          , HD  43318  ,  93.89277138291   , -0.51218910407     ,      0.0598,      0.0525,            90, O             , 2020yCat.1350....0G,                   ,  4.320000171661377 ,  6.150000095367432,  4.53000020980835  ,  5.650000095367432,                   ,  4.959000110626221,                   , PM*  , -158.274 ,   27.5211, -218.4  , s         , A       , F5V            , C      , 1999MSS...C05....0H, HD  43318
True ,        , HD 76932 ,         ,          , HD  76932  , 134.6830531843296 , -16.132727123434446,      0.0277,      0.0267,            90, O             , 2020yCat.1350....0G,                   ,  4.361999988555908 ,  6.389999866485596,  4.409999847412109 ,  5.860000133514404,                   ,  4.710000038146973,  6.46999979019165 , PM*  , 243.399  ,   46.6872, 213.505 , s         , A       , G2VFe-1.8CH-1  , C      , 2006AJ....132..161G, HD  76932
True ,        , HD 94028 ,         ,          , HD  94028  , 162.8671900305704 , 20.277490399799444 ,      0.0291,      0.018 ,            90, O             , 2020yCat.1350....0G,  7.820000171661377,  6.831999778747559 ,  8.6899995803833  ,  6.854000091552734 ,  8.220000267028809,  7.539999961853027,  7.130000114440918,  8.510000228881836, PM*  , -260.331 ,   20.2078, -456.387,           , A       , F8             , D      , 1985ApJS...59..197B, HD  94028
True ,        , HD 107113,         ,          , HD 107113  , 184.21389887357   , 86.43581888377     ,      0.0171,      0.02  ,            90, O             , 2020yCat.1350....0G,  6.099999904632568,  5.1519999504089355,  6.760000228881836,  5.2170000076293945,                   ,                   ,  5.394999980926514,                   , PM*  , 211.479  ,   25.016 , -10.15  , s         , A       , F4V            , D      , 2007MNRAS.374..664C, HD 107113
True ,        , HD 108317,         ,          , HD 108317  , 186.65346649466997, 5.3025066065       ,      0.0258,      0.0185,            90, O             , 2020yCat.1350....0G,  7.699999809265137,  6.1529998779296875,                   ,  6.232999801635742 ,                   ,                   ,  6.623000144958496,                   , Pe*  , -165.961 ,    5.15  , -22.704 , s         , A       , G2IVm-5        , C      , 1989AJ.....98.1049G, HD 108317
True ,        , HD 128279,         ,          , HD 128279  , 219.2021285524996 , -29.112948016248332,      0.0257,      0.0239,            90, O             , 2020yCat.1350....0G,                   ,  6.065000057220459 ,  8.630000114440918,  6.151000022888184 ,  8.0              ,                   ,  6.567999839782715,  8.640000343322754, Pe*  , 64.219   ,    7.6334, -340.907, s         , A       , Gw             , E      , 1982MSS...C03....0H, HD 128279
