Name,t_exp,N_obs,SNR_3950,SNR_4550,SNR_5200,SNR_6750
# Previously known r-process-enhanced stars on the red giant branch
CS 22183-031,1400,1,75,105,75,105
CS 22892-052a,4800,2,150,225,175,270
CS 22953-003,2000,1,65,95,75,100
CS 31082-001,1800,1,125,145,230,350
# New r-process-enhanced stars on the subgiant branch
CS 22886-012b,5400,2,60,85,80,130
CS 22943-132,1400,1,75,105,75,95
CS 22945-017,3400,1,60,75,75,115
CS 22945-058,6950,2,60,85,80,125
CS 22958-052,3000,1,80,105,55,75
CS 29529-054,11500,3,60,100,110,155
# New r-process-enhanced stars on the RHB
CS 22875-029,7200,2,110,115,160,220
CS 22882-001,10800,2,85,95,120,170
CS 22888-047,10400,2,95,105,150,205
