Abundance,Delta_avg,stddev,stderr,Nstars
[C/Fe],+0.322,0.52,0.17,9
[N/Fe],+0.172,1.08,0.44,6
[Mg I/Fe],-0.003,0.12,0.03,13
[Al I/Fe],+0.052,0.12,0.03,13
[Si I/Fe],+0.103,0.18,0.05,11
[Ca I/Fe],+0.005,0.07,0.02,13
[Sc II/Fe],+0.027,0.12,0.03,13
[Ti I/Fe],-0.021,0.12,0.03,13
[Ti II/Fe],-0.010,0.08,0.02,13
[V II/Fe],+0.034,0.14,0.05,9
[Cr I/Fe],-0.007,0.04,0.01,13
[Cr II/Fe],-0.027,0.17,0.06,7
[Mn I/Fe],+0.000,0.10,0.03,13
[Mn II/Fe],-0.051,0.13,0.05,6
[Co I/Fe],-0.042,0.11,0.03,13
[Ni I/Fe],-0.006,0.08,0.02,12
[Zn I/Fe],+0.021,0.27,0.10,7
