Name,lambda,Flag,Species,EP,loggf,EW
J0007-0345,6707.8,H,3.0,0.0,0.18,
J0007-0345,6300.3,,8.0,0.0,-9.82,
J0007-0345,6363.79,,8.0,0.02,-10.3,
J0007-0345,5682.65,,11.0,2.1,-0.7,4.25
J0007-0345,5688.2,,11.0,2.1,-0.45,4.15
J0007-0345,5889.97,,11.0,0.0,0.11,
J0007-0345,5895.92,,11.0,0.0,-0.19,
J0007-0345,6154.23,,11.0,2.1,-1.56,
J0007-0345,6160.75,,11.0,2.1,-1.26,
J0007-0345,6696.02,,13.0,3.14,-1.35,
J0007-0345,6698.67,,13.0,3.14,-1.65,
J0007-0345,5105.5,H,29.0,1.39,-1.52,1.43
J0007-0345,5782.12,H,29.0,1.64,-1.72,
J0007-0345,4722.15,,30.0,4.03,-0.34,2.57
J0007-0345,4810.54,,30.0,4.08,-0.17,2.6
J0007-0345,4077.71,,38.1,0.0,0.17,
J0007-0345,4161.79,,38.1,2.94,-0.5,1.18
J0007-0345,4215.52,,38.1,0.0,-0.14,0.58
J0007-0345,4398.01,,39.1,0.13,-1.0,-0.23
J0007-0345,4682.32,,39.1,0.41,-1.51,0.02
J0007-0345,4854.87,,39.1,0.99,-0.38,-0.08
J0007-0345,4883.69,,39.1,1.08,0.07,-0.08
J0007-0345,4900.11,,39.1,1.03,-0.09,
J0007-0345,5087.43,,39.1,1.08,-0.17,0.08
J0007-0345,5200.42,,39.1,0.99,-0.57,-0.08
J0007-0345,5205.73,,39.1,1.03,-0.34,-0.08
J0007-0345,5402.78,,39.1,1.84,-0.51,
J0007-0345,4050.32,,40.1,0.71,-1.06,
J0007-0345,4161.21,,40.1,0.71,-0.72,
J0007-0345,4317.32,,40.1,0.71,-1.38,
J0007-0345,4208.98,,40.1,0.71,-0.46,
J0007-0345,4554.03,H,56.1,0.0,0.17,
J0007-0345,5853.69,H,56.1,0.6,-1.01,0.14
J0007-0345,6141.73,H,56.1,0.7,-0.08,
J0007-0345,6496.91,H,56.1,0.6,-0.38,0.24
J0007-0345,4086.71,H,57.1,0.0,-0.07,-0.79
J0007-0345,4123.23,H,57.1,0.32,0.13,-0.89
J0007-0345,4333.75,H,57.1,0.17,-0.06,-0.89
J0007-0345,5122.99,H,57.1,0.32,-0.85,
J0007-0345,5301.97,H,57.1,0.4,-1.14,
J0007-0345,5303.52,H,57.1,0.32,-1.35,
J0007-0345,6320.43,H,57.1,0.17,-1.56,
J0007-0345,6390.46,H,57.1,0.32,-1.4,
