Shortname,Name,[FeI/H],e_[FeI/H],N_[FeI/H],[FeII/H],e_[FeII/H],N_[FeII/H],[C-H/H],[NaI/H],e_[NaI/H],N_[NaI/H],[MgI/H],e_[MgI/H],N_[MgI/H],[AlI/H],e_[AlI/H],N_[AlI/H],[SiI/H],e_[SiI/H],N_[SiI/H],[KI/H],e_[KI/H],N_[KI/H],[CaI/H],e_[CaI/H],N_[CaI/H],[ScII/H],e_[ScII/H],N_[ScII/H],[TiI/H],e_[TiI/H],N_[TiI/H],[TiII/H],e_[TiII/H],N_[TiII/H],[CrI/H],e_[CrI/H],N_[CrI/H],[MnI/H],e_[MnI/H],N_[MnI/H],[CoI/H],e_[CoI/H],N_[CoI/H],[NiI/H],e_[NiI/H],N_[NiI/H],[ZnI/H],e_[ZnI/H],N_[ZnI/H],[SrII/H],e_[SrII/H],N_[SrII/H],[YII/H],e_[YII/H],N_[YII/H],[BaII/H],e_[BaII/H],N_[BaII/H],[EuII/H],e_[EuII/Fe]
P184431-293145,Pristine_184431.86-293145.0,-2.8369999999999997,0.18,11,,,,,-2.869999885559082,0.083,2,-2.6069999999999993,0.001,2,,,,-2.4529999999999994,0.0,1,-2.263,0.325,2.0,-2.625,0.023,3,-2.7030001163482664,0.0,1,-2.84,0.036,3,-2.316999912261963,0.096,2,-3.0079999999999996,0.023,2,,,,,,,-2.9189999999999996,0.0,1,,,,-2.515,0.017,2,-2.8919999599456787,0.018,2,-3.236,0.137,5,,
P184759-315322,Pristine_184759.63-315322.5,-2.3019999999999996,0.232,188,-2.092,0.183,20,-2.902,-2.2590000000000003,0.06,2,-2.065999984741211,0.154,7,-2.102,0.0,1,-1.9279999732971191,0.0,1,-9.99,-9.99,0.0,-2.144,0.183,20,-2.221000003814697,0.28,8,-2.301,0.186,17,-1.7369999885559082,0.245,37,-2.558000087738037,0.254,11,-3.2880000114440917,0.089,5,-2.1699999809265136,0.382,4,-2.119999885559082,0.119,6,-2.1719999999999997,0.044,2,-2.591,0.045,2,-2.759999990463257,0.107,4,-2.536,0.259,5,-2.302,0.2
P184843-314626,Pristine_184843.24-314626.8,-3.1239999999999997,0.197,60,-3.163,0.156,3,-3.624,-2.881999969482422,0.017,2,-2.674999952316284,0.049,3,,,,,,,-9.99,-9.99,0.0,-3.011,0.04,4,-2.928000020980835,0.056,2,,,,-2.937999963760376,0.226,5,-3.3399999141693115,0.19,4,,,,,,,-3.3739999999999997,0.0,1,,,,,,,,,,-4.158,0.027,3,-3.124,0.2
P184853-302718,Pristine_184853.44-302718.4,-2.4749999999999996,0.258,130,-1.93,0.474,10,,-2.6550000000000002,0.11,2,-2.2269999999999994,0.079,4,,,,,,,-2.034,0.122,2.0,-2.179,0.082,9,-2.3880000591278074,0.184,4,-2.691,0.008,2,-1.9250000000000003,0.081,4,-2.9649999141693115,0.104,3,-3.2280000686645507,0.0,1,,,,-2.634000062942505,0.032,3,,,,,,,-2.694000005722046,0.058,2,-2.858,0.225,5,,
P184957-291425,Pristine_184957.04-291425.1,-2.6580000000000004,0.19,87,-2.384,0.104,10,,-2.736999988555908,0.001,2,-2.3499999999999996,0.15,5,-2.383,0.0,1,,,,-2.268,0.039,2.0,-2.357,0.114,5,-2.5209999561309813,0.126,3,-2.696,0.106,17,-1.9320000000000004,0.148,23,-3.1199999999999997,0.231,5,-3.6099999999999994,0.0,1,,,,-2.4699999999999998,0.192,5,-2.2079999999999997,0.118,2,-2.568,0.0,1,-2.575000047683716,0.137,4,-2.653,0.051,2,-2.8580000000000005,0.2
P185053-313317,Pristine_185053.71-313317.7,-1.2240000000000002,0.262,174,-1.335,0.226,25,-1.4240000000000002,-0.6619999999999999,0.204,5,-0.8510000109672546,0.392,7,-0.98,0.0,1,-0.6709999999999994,0.195,10,-9.99,-9.99,0.0,-0.832,0.152,23,-1.55600004196167,0.202,8,-1.285,0.281,21,-1.5050000000000003,0.183,31,-1.5049999952316284,0.208,11,-1.4579999999999997,0.201,7,-1.6020000000000003,0.317,2,-1.1309999999999993,0.196,11,-1.3279999999999994,0.101,2,-1.452,0.074,2,-1.7410000562667847,0.302,5,-1.577,0.085,4,-1.2240000000000002,0.2
P185129-300942,Pristine_185129.00-300942.8,-3.263000011444092,0.206,107,-3.222,0.235,8,,-3.2170000076293945,0.052,2,-2.7969999999999997,0.063,4,-3.187,0.0,1,-2.5139999999999993,0.0,1,-2.689,0.102,2.0,-3.007,0.138,11,-3.0699999809265135,0.244,6,-3.001,0.174,8,-3.0290000438690186,0.155,22,-3.6929999999999996,0.251,5,-4.504,0.013,3,-3.2680000000000002,0.11,3,-3.433000087738037,0.0,1,,,,-3.626,0.078,2,,,,-4.413,0.041,2,-3.263000011444092,0.2
P185210-315413,Pristine_185210.30-315413.2,-2.690999984741211,0.193,154,-2.526,0.145,10,-2.9909999847412108,-2.5610000000000004,0.033,2,-2.2689999999999992,0.191,3,-2.179,0.0,1,-2.0409999999999995,0.188,2,-9.99,-9.99,0.0,-2.334,0.125,20,-2.606999921798706,0.13,5,-2.563,0.216,13,-2.1420000000000003,0.211,25,-3.078000068664551,0.152,3,-3.6859999999999995,0.153,4,-2.8040000000000003,0.043,3,-2.7230000495910645,0.063,3,,,,-2.373,0.165,2,-2.6700000762939453,0.105,5,-3.033,0.246,4,-2.690999984741211,0.2
P185347-314747,Pristine_185347.87-314747.6,-1.9050000000000002,0.255,113,-1.434,0.282,17,,-2.0600000000000005,0.142,2,-1.5339999999999998,0.341,3,,,,,,,-9.99,-9.99,0.0,-1.645,0.191,15,,,,,,,,,,-1.7809999999999997,0.03,2,-2.8089999198913573,0.0,1,,,,-2.0069999999999997,0.186,3,-1.7609999999999997,0.0,1,,,,,,,-1.532,0.105,4,,
P185704-301021,Pristine_185704.51-301021.6,-2.9149999618530273,0.199,11,-2.515,0.498,3,,-2.753000020980835,0.14,2,-2.4349999999999996,0.095,4,,,,,,,-2.363,0.092,2.0,-2.559,0.083,6,-2.6180000782012938,0.08,2,-2.669,0.014,2,-2.4149999618530273,0.035,3,-3.2449999999999997,0.0,1,,,,,,,-2.6999999999999997,0.0,1,,,,-2.593,0.0,1,-3.13700008392334,0.0,1,-3.873,0.106,3,,
