Name,Bmag1,Vmag1,Imag1,Vmag,Imag,Jmag,Ksmag,Bmag2,Vmag2,Imag2,Jmag2,Kmag2
M68-6022,15.127,14.205,13.106,,,12.324,11.659,,,,,
M68-6023,15.192,14.284,13.191,,,12.363,11.712,,,,,
M68-6024,15.23,14.354,13.289,,,12.479,11.858,,,,,
Car-1087,19.146,18.031,16.735,18.0,16.73,15.802,15.301,,,,,
Car-5070,19.125,17.904,16.52,17.86,16.49,15.641,14.758,,,,,
Car-7002,19.284,18.344,17.146,18.4,17.19,16.244,15.562,,,,,
Car-484,19.009,17.603,16.179,17.56,16.16,15.322,14.627,19.055,17.607,16.178,15.29,14.406
Car-524,18.934,17.645,16.308,17.63,16.32,15.388,14.473,18.921,17.598,16.278,15.398,14.574
Car-612,19.077,17.811,16.416,17.82,16.42,15.456,14.763,19.103,17.779,16.403,15.609,14.828
Car-705,19.101,17.828,16.43,17.78,16.43,15.687,14.597,19.104,17.788,16.424,15.509,14.663
Car-769,19.202,18.002,16.693,18.01,16.71,15.698,14.921,19.224,18.025,16.725,15.758,15.04
Car-1013,19.048,17.783,16.424,17.77,16.42,15.515,14.888,19.056,17.767,16.421,15.528,14.726
#Car-489,,,,17.85,16.53,15.544,14.933,,,,,
#Car-837,,,,17.71,16.47,15.456,14.509,19.111,17.705,16.509,15.427,14.621
#Car-X,,,,17.51,16.42,15.748,15.223,,,,,
