Name,lambda,Z,EW,logepsX_EW,logepsX_SYN
ComBer-1,4871.318,26,60,4.1,4.2
ComBer-1,4872.138,26,80,4.74,4.85
ComBer-1,4890.755,26,75,4.41,4.3
ComBer-1,4891.492,26,95,4.5,4.45
ComBer-1,4918.994,26,80,4.46,4.3
ComBer-1,4920.502,26,85,4.07,4.5
ComBer-1,4939.687,26,105,4.83,5.1
ComBer-1,4966.089,26,55,5.05,5.1
ComBer-1,4994.130,26,105,4.61,4.8
ComBer-1,5006.119,26,60,4.27,4.4
ComBer-1,5012.068,26,135,4.64,4.4
ComBer-1,5041.072,26,100,4.7,4.8
ComBer-1,5041.756,26,100,4.6,4.8
ComBer-1,5049.819,26,90,4.73,4.6
ComBer-1,5051.635,26,130,4.78,4.7
ComBer-1,5068.766,26,65,5.11,5
ComBer-1,5110.413,26,s,,
ComBer-1,5123.720,26,110,4.87,
ComBer-1,5127.360,26,100,4.77,
ComBer-1,5150.840,26,95,4.59,
ComBer-1,5151.911,26,100,4.97,
ComBer-1,5191.454,26,70,4.6,4.8
ComBer-1,5192.344,26,55,4.17,4.4
ComBer-1,5194.942,26,110,4.62,4.4
ComBer-1,5198.711,26,50,4.71,4.7
ComBer-1,5216.274,26,125,4.98,4.75
ComBer-1,5232.940,26,105,4.69,4.65
ComBer-1,5247.050,26,45,4.48,4.8
ComBer-1,5250.210,26,80,4.91,4.7
ComBer-1,5250.646,26,60,4.9,4.75
ComBer-1,5254.956,26,80,4.75,4.8
ComBer-1,5266.555,26,80,4.63,4.55
ComBer-1,5281.790,26,50,4.72,4.65
ComBer-1,5283.621,26,65,4.66,4.5
ComBer-1,5307.361,26,50,4.66,4.75
ComBer-1,5324.179,26,70,4.36,4.35
ComBer-1,5328.532,26,120,4.55,4.4
ComBer-1,5332.900,26,60,4.6,4.75
ComBer-1,5339.929,26,50,4.61,4.8
ComBer-1,5341.024,26,115,4.64,4.35
ComBer-1,5367.466,26,n,,
ComBer-1,5383.369,26,n,,
ComBer-1,5393.168,26,40,4.49,4.5
ComBer-1,5415.199,26,45,4.84,4.9
ComBer-1,5424.068,26,n,,
ComBer-1,5497.516,26,110,4.5,4.6
ComBer-1,5501.465,26,115,4.71,4.7
ComBer-1,5506.779,26,115,4.5,4.55
ComBer-1,5569.618,26,45,4.57,4.35
ComBer-1,5572.842,26,50,4.39,4.35
ComBer-1,5586.756,26,70,4.5,4.25
ComBer-1,5615.644,26,85,4.54,4.3
ComBer-1,5624.542,26,25,4.42,4.35
ComBer-1,5658.816,26,35,4.6,4.5
ComBer-1,5956.693,26,n,,
ComBer-1,6065.482,26,60,4.65,4.4
ComBer-1,6136.615,26,75,4.51,4.45
ComBer-1,6137.691,26,60,4.48,4.55
ComBer-1,6191.558,26,60,4.46,4.45
ComBer-1,6200.313,26,w,,
ComBer-1,6213.429,26,30,4.59,4.55
ComBer-1,6219.280,26,30,4.53,4.45
ComBer-1,6230.722,26,75,4.52,4.4
ComBer-1,6252.555,26,75,4.71,4.55
ComBer-1,6254.257,26,45,4.86,4.7
ComBer-1,6265.134,26,40,4.76,4.7
ComBer-1,6297.792,26,45,4.99,5
ComBer-1,6318.018,26,40,4.81,4.8
ComBer-1,6335.330,26,45,4.49,4.6
ComBer-1,6344.148,26,n,,
ComBer-1,6358.697,26,25,4.59,4.6
ComBer-1,6393.600,26,75,4.66,4.45
ComBer-1,6411.649,26,30,4.57,4.5
ComBer-1,6421.350,26,55,4.56,4.6
ComBer-1,6430.846,26,75,4.62,4.5
ComBer-1,6494.980,26,80,4.32,4.3
ComBer-1,6546.238,26,40,4.61,4.65
ComBer-1,6592.913,26,55,4.74,4.6
ComBer-1,6593.870,26,30,4.77,4.65
ComBer-1,6677.985,26,60,4.62,4.55
ComBer-1,4923.922,26.1,85,4.23,4.4
ComBer-1,5018.435,26.1,100,4.62,4.55
ComBer-1,5197.568,26.1,n,,
ComBer-1,5275.997,26.1,45,4.43,4.6
ComBer-1,5534.839,26.1,w,,
ComBer-1,6456.381,26.1,n,,
ComBer-1,6516.077,26.1,20,4.82,4.7
ComBer-1,5889.951,11,215},3.61},3.39}
ComBer-1,5895.924,11,200},3.71},3.40}
ComBer-1,5172.684,12,255},5.46},5.25}
ComBer-1,5183.604,12,290},5.48},5.5}
ComBer-1,5528.405,12,105,5.82,5.6
ComBer-1,7698.974,19,63,,
ComBer-1,5265.556,20,50,4.34,4.24
ComBer-1,5588.749,20,65,4.05,3.84
ComBer-1,5594.462,20,65,4.3,4.19
ComBer-1,5857.451,20,45,4.18,4.12
ComBer-1,6102.723,20,70,4.28,4.19
ComBer-1,6122.217,20,95,4.16,4.09
ComBer-1,6162.173,20,130,4.19,3.84
ComBer-1,6169.563,20,50,4.19,3.99
ComBer-1,6439.075,20,100,4.16,3.89
ComBer-1,6449.808,20,35,4.14,4.14
ComBer-1,6462.567,20,100,4.31,3.99
ComBer-1,6493.781,20,65,3.96,3.89
ComBer-1,6717.681,20,30,4.37,4.31
ComBer-1,5526.790,21,,,
ComBer-1,4981.731,22,80,2.2,2.15
ComBer-1,4991.066,22,75,2.23,2.25
ComBer-1,4999.503,22,75,2.34,2.45
ComBer-1,5007.209,22,75,2.48,2.40
ComBer-1,5064.653,22,55,2.17,2.47
ComBer-1,5192.969,22,75,2.37,2.35
ComBer-1,5210.384,22,70,2.21,2.2
ComBer-1,5188.680,22.1,80,2.31,2.5
ComBer-1,5226.543,22.1,95,2.62,2.3
ComBer-1,5336.786,22.1,65,2.4,2.4
ComBer-1,6491.561,22.1,30,2.47,2.50
ComBer-1,5206.023,24,115,2.57,2.45
ComBer-1,5345.796,24,50,2.61,2.54
ComBer-1,5409.783,24,65,2.57,2.45
ComBer-1,5476.904,28,90,3.14,3.07
ComBer-1,5754.656,28,w,,
ComBer-1,6108.116,28,w,,
ComBer-1,6643.630,28,30,3.29,3.17
ComBer-1,6767.772,28,w,,
ComBer-1,5853.690,56.1,w,,
ComBer-1,6141.730,56.1,55,-1.73,-1.82
ComBer-1,6496.910,56.1,45,-1.76,-1.82
ComBer-2,4871.318,26,n,,
ComBer-2,4872.138,26,w,,
ComBer-2,4890.755,26,n,,
ComBer-2,4891.492,26,n,,
ComBer-2,4918.994,26,105,5.06,5.53
ComBer-2,4920.502,26,140,5.23,5.1
ComBer-2,4939.687,26,s/b,,
ComBer-2,4966.089,26,w,,
ComBer-2,4994.130,26,90,5.08,5.58
ComBer-2,5006.119,26,n,,
ComBer-2,5012.068,26,113,5.00,4.8
ComBer-2,5041.072,26,w,,
ComBer-2,5041.756,26,n,,4.9
ComBer-2,5049.819,26,n,,
ComBer-2,5051.635,26,s,,
ComBer-2,5068.766,26,n,,
ComBer-2,5110.413,26,s,,
ComBer-2,5123.720,26,s,,
ComBer-2,5127.360,26,s,,
ComBer-2,5150.840,26,n,,
ComBer-2,5151.911,26,n,,
ComBer-2,5191.454,26,70,4.87,5.05
ComBer-2,5192.344,26,120,5.47,5.95
ComBer-2,5194.942,26,s/b,,
ComBer-2,5198.711,26,n,,
ComBer-2,5216.274,26,s,,
ComBer-2,5232.940,26,140,5.52,5.05
ComBer-2,5247.050,26,n,,
ComBer-2,5250.210,26,n,,
ComBer-2,5250.646,26,90,5.78,
ComBer-2,5254.956,26,s/b,,
ComBer-2,5266.555,26,105,5.28,5.35
ComBer-2,5281.790,26,80,5.47,5.55
ComBer-2,5283.621,26,70,4.99,
ComBer-2,5307.361,26,w,,
ComBer-2,5324.179,26,n,,
ComBer-2,5328.532,26,n,,
ComBer-2,5332.900,26,s/b,,
ComBer-2,5339.929,26,100,5.64,5.55
ComBer-2,5341.024,26,s,,
ComBer-2,5367.466,26,60,5.40,5.45
ComBer-2,5383.369,26,90,5.57,5.3
ComBer-2,5393.168,26,65,5.19,5.1
ComBer-2,5415.199,26,45,5.00,5.1
ComBer-2,5424.068,26,65,5.19,5.4
ComBer-2,5497.516,26,s,,
ComBer-2,5501.465,26,105,5.35,5.25
ComBer-2,5506.779,26,140,5.70,
ComBer-2,5569.618,26,90,5.53,5.25
ComBer-2,5572.842,26,85,5.19,
ComBer-2,5586.756,26,s/b,,
ComBer-2,5615.644,26,115,5.26,5.05
ComBer-2,5624.542,26,45,5.13,5.15
ComBer-2,5658.816,26,67,5.41,5.3
ComBer-2,5956.693,26,n,,
ComBer-2,6065.482,26,71,5.28,5.25
ComBer-2,6136.615,26,116,5.59,5.2
ComBer-2,6137.691,26,90,5.37,5.42
ComBer-2,6191.558,26,95,5.45,5.30
ComBer-2,6200.313,26,w,,
ComBer-2,6213.429,26,n,,
ComBer-2,6219.280,26,40,5.27,5.3
ComBer-2,6230.722,26,113,5.54,5.15
ComBer-2,6252.555,26,85,5.36,5.15
ComBer-2,6254.257,26,w,,
ComBer-2,6265.134,26,n,,
ComBer-2,6297.792,26,50,5.63,5.6
ComBer-2,6318.018,26,n,,
ComBer-2,6335.330,26,85,5.60,5.45
ComBer-2,6344.148,26,w,,
ComBer-2,6358.697,26,w,,
ComBer-2,6393.600,26,105,5.59,5.30
ComBer-2,6411.649,26,36,5.04,5.05
ComBer-2,6421.350,26,65,5.26,5.30
ComBer-2,6430.846,26,76,5.22,5.10
ComBer-2,6494.980,26,126,5.51,5.10
ComBer-2,6546.238,26,55,5.33,5.35
ComBer-2,6592.913,26,80,5.57,5.40
ComBer-2,6593.870,26,w,,
ComBer-2,6677.985,26,90,5.52,5.40
ComBer-2,4923.922,26.1,120,4.66,5.00
ComBer-2,5018.435,26.1,s,,
ComBer-2,5197.568,26.1,80,5.21,5.58
ComBer-2,5275.997,26.1,90,5.16,4.95
ComBer-2,5534.839,26.1,w,,
ComBer-2,6456.381,26.1,35,5.40,5.45
ComBer-2,6516.077,26.1,40,5.48,5.45
ComBer-2,5889.951,11,200},3.97},3.79}
ComBer-2,5895.924,11,175},3.90},3.74}
ComBer-2,5172.684,12,205},5.27},5.60}
ComBer-2,5183.604,12,230},5.34},5.48}
ComBer-2,5528.405,12,98,5.73,5.5
ComBer-2,7698.974,19,w,,
ComBer-2,5265.556,20,w,,
ComBer-2,5588.749,20,n,,
ComBer-2,5594.462,20,80,4.66,4.36
ComBer-2,5857.451,20,w,,
ComBer-2,6102.723,20,n,,
ComBer-2,6122.217,20,61,3.98,3.86
ComBer-2,6162.173,20,86,3.82,3.64
ComBer-2,6169.563,20,n,,
ComBer-2,6439.075,20,40,3.52,3.44
ComBer-2,6449.808,20,n,,
ComBer-2,6462.567,20,50,3.83,3.69
ComBer-2,6493.781,20,w,,
ComBer-2,6717.681,20,n,,
ComBer-2,5526.790,21,,,
ComBer-2,4981.731,22,95,2.9,n
ComBer-2,4991.066,22,104,3.14,3.1
ComBer-2,4999.503,22,n,,
ComBer-2,5007.209,22,100,3.33,3.2
ComBer-2,5064.653,22,78,3.2,3.15
ComBer-2,5192.969,22,35,2.56,
ComBer-2,5210.384,22,n,,
ComBer-2,5188.680,22.1,n,,
ComBer-2,5226.543,22.1,n,,
ComBer-2,5336.786,22.1,n,,
ComBer-2,6491.561,22.1,w,,
ComBer-2,5206.023,24,155,3.76,3.65
ComBer-2,5345.796,24,70,3.39,3.29
ComBer-2,5409.783,24,82,3.3,3.19
ComBer-2,5476.904,28,130,4.26,4.27
ComBer-2,5754.656,28,40,4.47,4.67
ComBer-2,6108.116,28,65,4.86,4.82
ComBer-2,6643.630,28,85,4.69,4.62
ComBer-2,6767.772,28,72,4.62,4.67
ComBer-2,5853.690,56.1,w,,
ComBer-2,6141.730,56.1,75,-0.95,-0.92
ComBer-2,6496.910,56.1,85,-0.68,-0.9
UMaI-1,4871.318,26,n,,
UMaI-1,4872.138,26,n,,
UMaI-1,4890.755,26,n,,
UMaI-1,4891.492,26,n,,
UMaI-1,4918.994,26,n,,
UMaI-1,4920.502,26,n,,
UMaI-1,4939.687,26,n,,
UMaI-1,4966.089,26,n,,
UMaI-1,4994.130,26,n,,
UMaI-1,5006.119,26,n,,
UMaI-1,5012.068,26,n,,
UMaI-1,5041.072,26,n,,
UMaI-1,5041.756,26,n,,
UMaI-1,5049.819,26,n,,
UMaI-1,5051.635,26,n,,
UMaI-1,5068.766,26,n,,
UMaI-1,5110.413,26,s,,
UMaI-1,5123.720,26,s,,
UMaI-1,5127.360,26,s,,
UMaI-1,5150.840,26,130,4.74,4.55
UMaI-1,5151.911,26,115,4.8,4.75
UMaI-1,5191.454,26,w,,
UMaI-1,5192.344,26,n,,
UMaI-1,5194.942,26,n,,
UMaI-1,5198.711,26,s,,
UMaI-1,5216.274,26,n,,
UMaI-1,5232.940,26,s,,
UMaI-1,5247.050,26,130,5.08,5.4
UMaI-1,5250.210,26,125,5.13,4.85
UMaI-1,5250.646,26,n/b,,
UMaI-1,5254.956,26,135,5.14,5.4
UMaI-1,5266.555,26,n,,
UMaI-1,5281.790,26,n,,
UMaI-1,5283.621,26,110,5.07,5.2
UMaI-1,5307.361,26,n,,
UMaI-1,5324.179,26,s,,
UMaI-1,5328.532,26,n,,
UMaI-1,5332.900,26,125,5.17,5.5
UMaI-1,5339.929,26,105,5.17,5.1
UMaI-1,5341.024,26,145,4.75,4.9
UMaI-1,5367.466,26,50,4.89,5.2
UMaI-1,5383.369,26,80,5.07,5.2
UMaI-1,5393.168,26,70,4.67,5.0
UMaI-1,5415.199,26,70,5.01,5.32
UMaI-1,5424.068,26,n,,
UMaI-1,5497.516,26,s,,
UMaI-1,5501.465,26,s,,
UMaI-1,5506.779,26,150,4.66,
UMaI-1,5569.618,26,n,,
UMaI-1,5572.842,26,100,4.86,4.65
UMaI-1,5586.756,26,s,,
UMaI-1,5615.644,26,135,5.01,4.9
UMaI-1,5624.542,26,n,,
UMaI-1,5658.816,26,75,4.94,5.0
UMaI-1,5956.693,26,70,4.96,5
UMaI-1,6065.482,26,130,5.32,5.25
UMaI-1,6136.615,26,105,4.59,4.4
UMaI-1,6137.691,26,120,4.99,4.85
UMaI-1,6191.558,26,105,4.74,4.8
UMaI-1,6200.313,26,50,5.11,5.2
UMaI-1,6213.429,26,100,5.25,5.1
UMaI-1,6219.280,26,95,5.12,5
UMaI-1,6230.722,26,135,5.03,4.8
UMaI-1,6252.555,26,125,5.06,4.85
UMaI-1,6254.257,26,90,5.14,4.95
UMaI-1,6265.134,26,100,5.23,5.00
UMaI-1,6297.792,26,70,5.02,5.00
UMaI-1,6318.018,26,90,5.18,5.00
UMaI-1,6335.330,26,105,4.96,4.85
UMaI-1,6344.148,26,30,5.02,5.10
UMaI-1,6358.697,26,105,5.26,5.00
UMaI-1,6393.600,26,s,,
UMaI-1,6411.649,26,55,4.74,4.85
UMaI-1,6421.350,26,115,5.02,4.90
UMaI-1,6430.846,26,125,4.94,4.80
UMaI-1,6494.980,26,140,4.8,4.75
UMaI-1,6546.238,26,90,5,4.90
UMaI-1,6592.913,26,85,4.84,4.80
UMaI-1,6593.870,26,80,5.17,5.00
UMaI-1,6677.985,26,120,5.1,4.90
UMaI-1,4923.922,26.1,n,,
UMaI-1,5018.435,26.1,n,,
UMaI-1,5197.568,26.1,n,,
UMaI-1,5275.997,26.1,n,,
UMaI-1,5534.839,26.1,40,5.48,5.60
UMaI-1,6456.381,26.1,35,5.43,5.45
UMaI-1,6516.077,26.1,w,,
UMaI-1,5889.951,11,250},3.64},3.79}
UMaI-1,5895.924,11,200},3.25},2.99}
UMaI-1,5172.684,12,245},5.12},n
UMaI-1,5183.604,12,270},5.12},n
UMaI-1,5528.405,12,115,5.65,5.55
UMaI-1,7698.974,19,115,,
UMaI-1,5265.556,20,n,,
UMaI-1,5588.749,20,80,3.97,4.09
UMaI-1,5594.462,20,65,4.01,4.29
UMaI-1,5857.451,20,50,4.03,4.07
UMaI-1,6102.723,20,60,3.83,3.79
UMaI-1,6122.217,20,115,4.07,4.04
UMaI-1,6162.173,20,105,3.44,3.29
UMaI-1,6169.563,20,60,4.08,
UMaI-1,6439.075,20,90,3.7,3.69
UMaI-1,6449.808,20,n,,
UMaI-1,6462.567,20,130,4.4,4.19
UMaI-1,6493.781,20,45,3.42,3.39
UMaI-1,6717.681,20,45,4.4,4.32
UMaI-1,5526.790,21,,,
UMaI-1,4981.731,22,n,,
UMaI-1,4991.066,22,w,,
UMaI-1,4999.503,22,150,2.99,2.85
UMaI-1,5007.209,22,n,,
UMaI-1,5064.653,22,n,,
UMaI-1,5192.969,22,n,,
UMaI-1,5210.384,22,150,2.77,2.75
UMaI-1,5188.680,22.1,150,3.62,3.40
UMaI-1,5226.543,22.1,150,3.67,3.5
UMaI-1,5336.786,22.1,n,,
UMaI-1,6491.561,22.1,40,2.79,2.77
UMaI-1,5206.023,24,n,,
UMaI-1,5345.796,24,100,2.85,2.99
UMaI-1,5409.783,24,80,2.33,2.49
UMaI-1,5476.904,28,175,4.22,4.12
UMaI-1,5754.656,28,w,,
UMaI-1,6108.116,28,50,3.78,3.80
UMaI-1,6643.630,28,65,3.52,3.57
UMaI-1,6767.772,28,70,3.7,3.65
UMaI-1,5853.690,56.1,85,-0.34,-0.32
UMaI-1,6141.730,56.1,115,-0.73,-0.82
UMaI-1,6496.910,56.1,105,-0.8,-0.72
UMaI-2,4871.318,26,n,,
UMaI-2,4872.138,26,n,,
UMaI-2,4890.755,26,n,,
UMaI-2,4891.492,26,n,,
UMaI-2,4918.994,26,n,,
UMaI-2,4920.502,26,n,,
UMaI-2,4939.687,26,n,,
UMaI-2,4966.089,26,n,,
UMaI-2,4994.130,26,n,,
UMaI-2,5006.119,26,n,,
UMaI-2,5012.068,26,n,,
UMaI-2,5041.072,26,n,,
UMaI-2,5041.756,26,n,,
UMaI-2,5049.819,26,n,,
UMaI-2,5051.635,26,n,,
UMaI-2,5068.766,26,w,,
UMaI-2,5110.413,26,135,4.66,4.4
UMaI-2,5123.720,26,120,5.16,5.12
UMaI-2,5127.360,26,130,5.36,5.32
UMaI-2,5150.840,26,125,5.18,5.4
UMaI-2,5151.911,26,w,,
UMaI-2,5191.454,26,w,,
UMaI-2,5192.344,26,w,,
UMaI-2,5194.942,26,n,,
UMaI-2,5198.711,26,s,,
UMaI-2,5216.274,26,140,5.27,5.60
UMaI-2,5232.940,26,130,5.02,5.17
UMaI-2,5247.050,26,105,5.55,5.40
UMaI-2,5250.210,26,90,5.34,5.68
UMaI-2,5250.646,26,n,,
UMaI-2,5254.956,26,120,5.56,5.40
UMaI-2,5266.555,26,105,4.99,5.25
UMaI-2,5281.790,26,85,5.26,5.40
UMaI-2,5283.621,26,n,,
UMaI-2,5307.361,26,w,,
UMaI-2,5324.179,26,120,5.11,5.2
UMaI-2,5328.532,26,n,,
UMaI-2,5332.900,26,100,5.28,5.68
UMaI-2,5339.929,26,w,,
UMaI-2,5341.024,26,130,4.95,5.22
UMaI-2,5367.466,26,w,,
UMaI-2,5383.369,26,w,,
UMaI-2,5393.168,26,105,5.5,5.43
UMaI-2,5415.199,26,85,5.42,5.68
UMaI-2,5424.068,26,w,,
UMaI-2,5497.516,26,95,4.5,4.75
UMaI-2,5501.465,26,135,5.17,5.38
UMaI-2,5506.779,26,115,4.68,5.03
UMaI-2,5569.618,26,95,5.34,5.38
UMaI-2,5572.842,26,90,5,5.10
UMaI-2,5586.756,26,110,5.08,5.00
UMaI-2,5615.644,26,90,4.59,4.88
UMaI-2,5624.542,26,w,,
UMaI-2,5658.816,26,45,4.83,5.12
UMaI-2,5956.693,26,n,,
UMaI-2,6065.482,26,65,4.84,5.05
UMaI-2,6136.615,26,125,5.28,4.90
UMaI-2,6137.691,26,90,4.99,5.30
UMaI-2,6191.558,26,110,5.24,5.00
UMaI-2,6200.313,26,w,,
UMaI-2,6213.429,26,70,5.33,5.25
UMaI-2,6219.280,26,w,,
UMaI-2,6230.722,26,105,5.01,4.85
UMaI-2,6252.555,26,90,5.02,4.90
UMaI-2,6254.257,26,45,5.03,5.18
UMaI-2,6265.134,26,55,5.14,5.00
UMaI-2,6297.792,26,w,,
UMaI-2,6318.018,26,45,5.04,5.25
UMaI-2,6335.330,26,50,4.73,4.80
UMaI-2,6344.148,26,w,,
UMaI-2,6358.697,26,n,,
UMaI-2,6393.600,26,135,5.55,5.28
UMaI-2,6411.649,26,n,,
UMaI-2,6421.350,26,80,5.03,4.90
UMaI-2,6430.846,26,90,4.96,4.80
UMaI-2,6494.980,26,90,4.57,4.45
UMaI-2,6546.238,26,65,5.10,5.10
UMaI-2,6592.913,26,50,4.81,4.85
UMaI-2,6593.870,26,40,5.11,5.20
UMaI-2,6677.985,26,75,4.94,4.90
UMaI-2,4923.922,26.1,145,5.13,5.21
UMaI-2,5018.435,26.1,130,4.95,4.95
UMaI-2,5197.568,26.1,n,,
UMaI-2,5275.997,26.1,n,,
UMaI-2,5534.839,26.1,w,,
UMaI-2,6456.381,26.1,w,,
UMaI-2,6516.077,26.1,n,,
UMaI-2,5889.951,11,170},3.07},2.95}
UMaI-2,5895.924,11,150},3.11},3.05}
UMaI-2,5172.684,12,n,,
UMaI-2,5183.604,12,210},4.75},5.01}
UMaI-2,5528.405,12,100,5.62,5.51
UMaI-2,7698.974,19,60,,
UMaI-2,5265.556,20,n,,
UMaI-2,5588.749,20,n,,
UMaI-2,5594.462,20,125,5.15,4.92
UMaI-2,5857.451,20,w,,
UMaI-2,6102.723,20,55,4.12,4.00
UMaI-2,6122.217,20,115,4.44,4.20
UMaI-2,6162.173,20,95,3.67,3.55
UMaI-2,6169.563,20,n,,
UMaI-2,6439.075,20,85,3.93,3.65
UMaI-2,6449.808,20,n,,
UMaI-2,6462.567,20,90,4.15,3.90
UMaI-2,6493.781,20,w,,
UMaI-2,6717.681,20,n,,
UMaI-2,5526.790,21,,,
UMaI-2,4981.731,22,n,,
UMaI-2,4991.066,22,n,,
UMaI-2,4999.503,22,n,,
UMaI-2,5007.209,22,n,,
UMaI-2,5064.653,22,n,,
UMaI-2,5192.969,22,n,,
UMaI-2,5210.384,22,n,,
UMaI-2,5188.680,22.1,n,,
UMaI-2,5226.543,22.1,n,,
UMaI-2,5336.786,22.1,n,,
UMaI-2,6491.561,22.1,n,,
UMaI-2,5206.023,24,n,,
UMaI-2,5345.796,24,110,3.56,3.48
UMaI-2,5409.783,24,85,2.95,3.22
UMaI-2,5476.904,28,125,3.72,3.58
UMaI-2,5754.656,28,w,,
UMaI-2,6108.116,28,n,,
UMaI-2,6643.630,28,55,3.87,3.78
UMaI-2,6767.772,28,w,,
UMaI-2,5853.690,56.1,85,-0.3,-0.26
UMaI-2,6141.730,56.1,135,-0.43,-0.44
UMaI-2,6496.910,56.1,105,-0.76,-0.91
BooI-2,4871.318,26,n,,
BooI-2,4872.138,26,115,5.13,5.50
BooI-2,4890.755,26,125,5.07,5.20
BooI-2,4891.492,26,110,4.53,4.88
BooI-2,4918.994,26,150,5.45,5.50
BooI-2,4920.502,26,150,4.97,4.92
BooI-2,4939.687,26,135,5.11,4.82
BooI-2,4966.089,26,65,5.07,5.20
BooI-2,4994.130,26,150,5.13,5.10
BooI-2,5006.119,26,105,4.83,5.10
BooI-2,5012.068,26,s,,
BooI-2,5041.072,26,135,5.05,5.57
BooI-2,5041.756,26,s,,
BooI-2,5049.819,26,115,4.94,4.90
BooI-2,5051.635,26,135,4.64,4.90
BooI-2,5068.766,26,n,,
BooI-2,5110.413,26,n,,
BooI-2,5123.720,26,n,,
BooI-2,5127.360,26,n,,
BooI-2,5150.840,26,n,,
BooI-2,5151.911,26,n,,
BooI-2,5191.454,26,n,,
BooI-2,5192.344,26,n,,
BooI-2,5194.942,26,n,,
BooI-2,5198.711,26,n,,
BooI-2,5216.274,26,n,,
BooI-2,5232.940,26,115,4.64,4.98
BooI-2,5247.050,26,80,4.79,4.95
BooI-2,5250.210,26,85,4.83,5.00
BooI-2,5250.646,26,100,5.34,5.40
BooI-2,5254.956,26,90,4.73,4.85
BooI-2,5266.555,26,115,5.01,4.82
BooI-2,5281.790,26,105,5.43,5.18
BooI-2,5283.621,26,85,4.82,4.80
BooI-2,5307.361,26,85,5.01,5.20
BooI-2,5324.179,26,140,5.31,5.03
BooI-2,5328.532,26,s,,
BooI-2,5332.900,26,s,,
BooI-2,5339.929,26,n,,
BooI-2,5341.024,26,130,4.67,4.92
BooI-2,5367.466,26,40,4.85,4.98
BooI-2,5383.369,26,80,5.20,5.10
BooI-2,5393.168,26,85,5.06,5.02
BooI-2,5415.199,26,55,4.90,5.00
BooI-2,5424.068,26,85,5.26,5.10
BooI-2,5497.516,26,130,*4.33,4.65
BooI-2,5501.465,26,150,5.03,4.85
BooI-2,5506.779,26,150,4.81,4.75
BooI-2,5569.618,26,s,,
BooI-2,5572.842,26,125,5.40,n
BooI-2,5586.756,26,80,*4.50,4.85
BooI-2,5615.644,26,130,5.06,4.80
BooI-2,5624.542,26,85,5.28,4.90
BooI-2,5658.816,26,55,4.82,4.75
BooI-2,5956.693,26,s,,
BooI-2,6065.482,26,90,5.20,4.85
BooI-2,6136.615,26,120,4.96,4.70
BooI-2,6137.691,26,115,5.09,4.80
BooI-2,6191.558,26,120,5.12,4.85
BooI-2,6200.313,26,w,,
BooI-2,6213.429,26,70,5.07,4.85
BooI-2,6219.280,26,70,5.00,5.02
BooI-2,6230.722,26,120,*5.10,4.80
BooI-2,6252.555,26,110,5.02,4.75
BooI-2,6254.257,26,65,5.03,n
BooI-2,6265.134,26,70,5.05,4.95
BooI-2,6297.792,26,n,,
BooI-2,6318.018,26,75,5.18,4.95
BooI-2,6335.330,26,105,5.14,4.85
BooI-2,6344.148,26,w,,
BooI-2,6358.697,26,65,5.06,4.95
BooI-2,6393.600,26,115,5.03,4.80
BooI-2,6411.649,26,50,4.81,4.65
BooI-2,6421.350,26,90,4.89,4.70
BooI-2,6430.846,26,110,4.93,4.73
BooI-2,6494.980,26,115,4.62,4.55
BooI-2,6546.238,26,85,5.11,4.95
BooI-2,6592.913,26,90,5.07,4.80
BooI-2,6593.870,26,50,4.99,4.92
BooI-2,6677.985,26,90,4.88,4.75
BooI-2,4923.922,26.1,130,5.03,5.25
BooI-2,5018.435,26.1,145,5.40,5.22
BooI-2,5197.568,26.1,60,4.90,4.82
BooI-2,5275.997,26.1,60,4.69,4.70
BooI-2,5534.839,26.1,w,,
BooI-2,6456.381,26.1,35,5.30,5.15
BooI-2,6516.077,26.1,25,4.98,5.00
BooI-2,5889.951,11,195},3.11},2.79}
BooI-2,5895.924,11,175},3.14},2.99}
BooI-2,5172.684,12,n,,
BooI-2,5183.604,12,n,,
