ref_number,bibcode,author,year,citation_key,comments
1,2006MNRAS.366..865B,Bellazzini et al.,2006,Bellazzini+2006,
2,2005MNRAS.362..906M,Martin et al.,2005,Martin+2005,
3,2004MNRAS.353..874M,Monaco et al.,2004,Monaco+2004,
4,1994Natur.370..194I,Ibata et al.,1994,Ibata+1994,
5,2007ApJ...654..897B,Belokurov et al.,2007,Belokurov+2007,
6,2011ApJ...733...46S,Simon et al.,2011,Simon+2011,
7,2006ApJ...650L..41Z,Zucker et al.,2006,Zucker+2006,
8,2007ApJ...670..313S,Simon & Geha,2007,Simon+2007,
9,2008ApJ...688..245W,Walsh et al.,2008,Walsh+2008,
10,2009ApJ...690..453K,Koch et al.,2009,Koch+2009,
11,2009MNRAS.397.1748B,Belokurov et al.,2009,Belokurov+2009,
12,2006astro.ph..3486W,Willman et al.,2006,Willman+2006,
13,2007MNRAS.380..281M,Martin et al.,2007,Martin+2007,
14,2009ApJ...693.1118G,Grillmair,2009,Grillmair+2009,
15,2009ApJ...702L...9C,Carlin et al.,2009,Carlin+2009,
16,2003AJ....125.1309C,Clementini et al.,2003,Clementini+2003,
17,2002AJ....124.2639V,van der Marel et al.,2002,Marel+2002,
18,1999AcA....49..201U,Udalski et al.,1999,Udalski+1999,
19,2006AJ....131.2514H,Harris & Zaritsky,2006,Harris+2006,
20,2006ApJ...653L.109D,Dall'Ora et al.,2006,Dall'Ora+2006,
21,2004AJ....127..861B,Bonanos et al.,2004,Bonanos+2004,
22,2007ApJ...667L..53W,Walker et al.,2007,Walker+2007,
23,2002AJ....123.3199C,Carrera et al.,2002,Carrera+2002,
24,2009ApJ...704.1274W,Walker et al.,2009,Walker+2009,
25,2008AJ....135.1993P,Pietrzynski et al.,2008,Pietrzynski+2008,
26,2009AJ....137.3100W,Walker et al.,2009,Walker+2009,
27,2009ApJ...703..692L,Lee et al.,2009,Lee+2009,
28,2008A&A...487..103O,Okamoto et al.,2008,Okamoto+2008,
29,2009AJ....138..459P,Pietrzynski et al.,2009,Pietrzynski+2009,
30,2007ApJ...668L..43C,Coleman et al.,2007,Coleman+2007,
31,2009A&A...506.1147A,Aden et al.,2009,Aden+2009,
32,2009ApJ...699L.125M,Moretti et al.,2009,Moretti+2009,
33,2008ApJ...675L..73G,Greco et al.,2008,Greco+2008,
34,2008ApJ...686L..83B,Belokurov et al.,2008,Belokurov+2008,
35,2010ApJ...712L.103B,Belokurov et al.,2010,Belokurov+2010,
36,2008ApJ...672L..13M,Martin et al.,2008,Martin+2008,
37,2005MNRAS.360..185B,Bellazzini et al.,2005,Bellazzini+2005,
38,2004MNRAS.354..708B,Bellazzini et al.,2004,Bellazzini+2004,
39,2008ApJ...675..201M,Mateo et al.,2008,Mateo+2008,
40,2005MNRAS.356..979M,McConnachie et al.,2005,McConnachie+2005,
41,1991rc3..book.....D,de Vaucouleurs et al.,1991,Vaucouleurs+1991,
