Table 5 
Measured Structural Parameters: Sersic Models


No.,Object,theta_s,epsilon_s,n_s,r_e,s,r_e,s,
,,(deg),,,(arcmin),(pc),
Primary Sample,,,,,,,
1,Sculptor,94 +or- 1,0.37 +or- 0.01,1.16 +or- 0.01,12.33 +or- 0.05,308 +or- 1,
2,Whiting 1,55 +or- 13,0.24 +or- 0.05,2.19 +or- 0.26,0.73 +or- 0.07,6.39 +or- 0.61,
3,Segue 2,166 +or- 15,0.21 +or- 0.07,0.82 +or- 0.16,3.64 +or- 0.29,37.1 +or- 2.9,
4,Fornax,46 +or- 1,0.28 +or- 0.01,0.71 +or- 0.01,18.4 +or- 0.2,787 +or- 9,
5,AM 1,43 +or- 12,0.16 +or- 0.06,1.08 +or- 0.13,0.46 +or- 0.03,16.5 +or- 1.1,
6,Eridanus,35 +or- 25,0.09 +or- 0.04,1.18 +or- 0.14,0.64 +or- 0.04,16.8 +or- 1.1,
7,Palomar 2,71 +or- 12,0.05 +or- 0.02,1.69 +or- 0.04,0.99 +or- 0.02,7.83 +or- 0.16,
8,Carina,60 +or- 1,0.37 +or- 0.01,0.94 +or- 0.01,11.43 +or- 0.12,349 +or- 4,
9,NGC 2419,104 +or- 5,0.05 +or- 0.01,1.71 +or- 0.02,1.07 +or- 0.01,25.7 +or- 0.2,
10,Koposov 2,-36 +or- 25,0.48 +or- 0.12,1.35 +or- 0.70,0.43 +or- 0.09,4.34 +or- 0.91,
11,UMa II,-77 +or- 2,0.56 +or- 0.03,0.89 +or- 0.10,13.95 +or- 0.46,130 +or- 4,
12,Pyxis,-10 +or- 14,0.04 +or- 0.02,0.99 +or- 0.05,1.62 +or- 0.04,18.6 +or- 0.5,
13,Leo T,-107 +or- 16,0.23 +or- 0.09,1.03 +or- 0.26,1.25 +or- 0.14,152 +or- 17,
14,Palomar 3,23 +or- 16,0.07 +or- 0.03,0.87 +or- 0.05,0.72 +or- 0.02,19.4 +or- 0.5,
15,Segue 1,75 +or- 16,0.34 +or- 0.11,0.85 +or- 0.28,3.95 +or- 0.48,26.4 +or- 3.2,
16,Leo I,78 +or- 1,0.30 +or- 0.01,0.77 +or- 0.02,3.30 +or- 0.03,244 +or- 2,
17,Sextans,58 +or- 1,0.30 +or- 0.01,0.60 +or- 0.01,17.67 +or- 0.17,442 +or- 4,
18,UMa I,67 +or- 2,0.57 +or- 0.03,0.47 +or- 0.08,8.34 +or- 0.34,235 +or- 10,
19,Willman 1,74 +or- 4,0.47 +or- 0.06,1.34 +or- 0.20,2.53 +or- 0.22,28.0 +or- 2.4,
20,Leo II,43 +or- 8,0.07 +or- 0.02,0.71 +or- 0.02,2.48 +or- 0.03,168 +or- 2,
21,Palomar 4,80 +or- 15,0.03 +or- 0.02,1.12 +or- 0.08,0.64 +or- 0.02,20.2 +or- 0.6,
22,Leo V,-65 +or- 21,0.35 +or- 0.07,1.70 +or- 0.36,1.00 +or- 0.22,51.8 +or- 11.4,
23,Leo IV,-29 +or- 27,0.19 +or- 0.09,0.86 +or- 0.26,2.61 +or- 0.31,117 +or- 14,
24,Koposov 1,1 +or- 17,0.55 +or- 0.15,1.27 +or- 0.56,0.72 +or- 0.18,10.1 +or- 2.5,
25,ComBer,-58 +or- 4,0.37 +or- 0.05,0.93 +or- 0.12,5.63 +or- 0.30,72.1 +or- 3.8,
