Z,elem,photosphere_logeps,photosphere_logeps_err,meteorite_logeps,meteorite_logeps_err,photosphere-meteorite_logeps_diff
1,H,12,,,,
2,He,10.93,0.004,,,
3,Li,1.1,0.1,3.31,0.04,-2.21
4,Be,1.4,0.09,1.42,0.04,0.02
5,B,2.55,0.3,2.79,0.05,-0.24
6,C,8.52,0.06,,,
7,N,7.92,0.06,,,
8,O,8.83,0.06,,,
9,F,4.56,0.3,4.48,0.06,0.08
10,Ne,8.08,0.06,,,
11,Na,6.33,0.03,6.32,0.02,0.01
12,Mg,7.58,0.05,7.58,0.01,0
13,Al,6.47,0.07,6.49,0.01,-0.02
14,Si,7.55,0.05,7.56,0.01,-0.01
15,P,5.45,0.04,5.56,0.06,-0.11
16,S,7.33,0.11,7.2,0.06,0.13
17,Cl,5.5,0.3,5.28,0.06,0.22
18,Ar,6.4,0.06,,,
19,K,5.12,0.13,5.13,0.02,-0.01
20,Ca,6.36,0.02,6.35,0.01,0.01
21,Sc,3.17,0.1,3.1,0.01,0.07
22,Ti,5.02,0.06,4.94,0.02,0.08
23,V,4,0.02,4.02,0.02,-0.02
24,Cr,5.67,0.03,5.69,0.01,-0.02
25,Mn,5.39,0.03,5.53,0.01,-0.14
26,Fe,7.5,0.05,7.5,0.01,0
27,Co,4.92,0.04,4.91,0.01,0.01
28,Ni,6.25,0.04,6.25,0.01,0
29,Cu,4.21,0.04,4.29,0.04,-0.08
30,Zn,4.6,0.08,4.67,0.04,-0.07
31,Ga,2.88,0.1,3.13,0.02,-0.25
32,Ge,3.41,0.14,3.63,0.04,-0.22
33,As,,,2.37,0.02,
34,Se,,,3.41,0.03,
35,Br,,,2.63,0.04,
36,Kr,,,3.31,0.08,
37,Rb,2.6,0.15,2.41,0.02,0.19
38,Sr,2.97,0.07,2.92,0.02,0.05
39,Y,2.24,0.03,2.23,0.02,0.01
40,Zr,2.6,0.02,2.61,0.02,-0.01
41,Nb,1.42,0.06,1.4,0.02,0.02
42,Mo,1.92,0.05,1.97,0.02,-0.05
44,Ru,1.84,0.07,1.83,0.04,0.01
45,Rh,1.12,0.12,1.1,0.04,0.02
46,Pd,1.69,0.04,1.7,0.04,-0.01
47,Ag,0.94,0.25,1.24,0.04,-0.3
48,Cd,1.77,0.11,1.76,0.04,0.01
49,In,1.66,0.15,0.82,0.04,0.84
50,Sn,2,0.3,2.14,0.04,-0.14
51,Sb,1,0.3,1.03,0.07,-0.03
52,Te,,,2.24,0.04,
53,I,,,1.51,0.08,
54,Xe,,,2.17,0.08,
55,Cs,,,1.13,0.02,
56,Ba,2.13,0.05,2.22,0.02,-0.09
57,La,1.17,0.07,1.22,0.02,-0.05
58,Ce,1.58,0.09,1.63,0.02,-0.05
59,Pr,0.71,0.08,0.8,0.02,-0.09
60,Nd,1.5,0.06,1.49,0.02,0.01
62,Sm,1.01,0.06,0.98,0.02,0.03
63,Eu,0.51,0.08,0.55,0.02,-0.04
64,Gd,1.12,0.04,1.09,0.02,0.03
65,Tb,-0.1,0.3,0.35,0.02,-0.45
66,Dy,1.14,0.08,1.17,0.02,-0.03
67,Ho,0.26,0.16,0.51,0.02,-0.25
68,Er,0.93,0.06,0.97,0.02,-0.04
69,Tm,0,0.15,0.15,0.02,-0.15
70,Yb,1.08,0.15,0.96,0.02,0.12
71,Lu,0.06,0.1,0.13,0.02,-0.07
72,Hf,0.88,0.08,0.75,0.02,0.13
73,Ta,,,-0.13,0.02,
74,W,1.11,0.15,0.69,0.03,0.42
75,Re,,,0.28,0.03,
76,Os,1.45,0.1,1.39,0.02,0.06
77,Ir,1.35,0.1,1.37,0.02,-0.02
78,Pt,1.8,0.3,1.69,0.04,0.11
79,Au,1.01,0.15,0.85,0.04,0.16
80,Hg,,,1.13,0.08,
81,Tl,0.9,0.2,0.83,0.04,0.07
82,Pb,1.95,0.08,2.06,0.02,-0.11
83,Bi,,,0.71,0.04,
90,Th,,,0.09,0.02,
92,U,-0.47,,-0.5,0.04,
